"Date","Open","High","Low","Close","Volume"
#1998-01-01#,13.297,13.625,13.188,13.531,10373600
#1998-01-02#,13.516,13.531,13.344,13.484,4234800
#1998-01-05#,13.5,13.672,13.375,13.438,9889200
#1998-01-06#,13.281,13.422,13.219,13.281,5937200
#1998-01-07#,13.219,13.438,13.188,13.297,9192000
#1998-01-08#,13.281,13.375,13.219,13.344,4592800
#1998-01-09#,13.344,13.344,13.094,13.156,6326000
#1998-01-12#,12.844,13.25,12.813,13.234,8958000
#1998-01-13#,13.344,13.375,12.906,12.984,10221600
#1998-01-14#,12.969,12.969,12.391,12.5,19163600
#1998-01-15#,12.484,12.5,12.031,12.25,13699200
#1998-01-16#,12.375,12.438,12.188,12.25,10442400
#1998-01-19#,12.375,12.438,12.188,12.25,10442400
#1998-01-20#,12.281,12.484,12.25,12.484,10464000
#1998-01-21#,12.469,12.563,12.375,12.391,9232800
#1998-01-22#,12.188,12.313,11.75,11.781,12380000
#1998-01-23#,11.875,12.453,11.656,12.125,18146800
#1998-01-26#,12.125,12.25,12.109,12.172,5227200
#1998-01-27#,12.188,12.469,12.141,12.281,9728800
#1998-01-28#,12.344,12.578,12.313,12.578,9439600
#1998-01-29#,12.516,12.656,12.313,12.359,9356800
#1998-01-30#,12.391,12.523,12.359,12.5,5610400
#1998-02-02#,12.719,13.531,12.719,13.5,31596800
#1998-02-03#,13.406,13.406,13.281,13.391,13042800
#1998-02-04#,13.344,13.344,13.125,13.234,8476800
#1998-02-05#,13.25,13.313,12.781,12.813,8952000
#1998-02-06#,12.891,13.5,12.875,13.484,16141200
#1998-02-09#,13.516,13.516,13.078,13.234,7793600
#1998-02-10#,13.234,14.188,13.219,13.766,22757200
#1998-02-11#,13.75,14.094,13.609,13.703,11126000
#1998-02-12#,13.594,13.844,13.563,13.75,7297600
#1998-02-13#,13.703,13.813,13.328,13.422,5320000
#1998-02-16#,13.703,13.813,13.328,13.422,5320000
#1998-02-17#,13.469,13.656,13.25,13.453,7024400
#1998-02-18#,13.438,13.75,13.391,13.75,7753600
#1998-02-19#,13.75,13.797,13.594,13.75,6699200
#1998-02-20#,13.797,13.875,13.375,13.563,7293600
#1998-02-23#,13.547,13.75,13.406,13.609,6553600
#1998-02-24#,13.469,13.609,13.25,13.25,8544400
#1998-02-25#,13.266,13.438,13.094,13.328,7748800
#1998-02-26#,13.328,13.469,13.281,13.391,8223600
#1998-02-27#,13.375,13.391,13.281,13.281,7722800
#1998-03-02#,13.297,13.313,13,13.102,7698800
#1998-03-03#,13,13.375,12.969,13.359,8882000
#1998-03-04#,13.25,13.301,13.094,13.188,6633200
#1998-03-05#,13.094,13.313,13.063,13.109,5751200
#1998-03-06#,13.125,13.313,13.125,13.219,5908000
#1998-03-09#,13.188,13.734,13.125,13.594,16648400
#1998-03-10#,13.625,13.625,13.438,13.594,7916000
#1998-03-11#,13.625,13.891,13.594,13.75,15078400
#1998-03-12#,14.809,15.156,14.531,14.594,68866000
#1998-03-13#,14.656,14.719,14.484,14.609,19850000
#1998-03-16#,14.594,15,14.563,14.906,14490400
#1998-03-17#,15,15.406,14.906,15.055,26913200
#1998-03-18#,14.984,15.297,14.844,15.281,15673200
#1998-03-19#,15.156,15.344,15.125,15.25,12201200
#1998-03-20#,15.234,15.313,15.172,15.188,11324000
#1998-03-23#,15.125,15.281,15.094,15.266,10903600
#1998-03-24#,15.281,15.5,15.25,15.297,10124800
#1998-03-25#,15.344,15.406,15.266,15.406,11188000
#1998-03-26#,15.344,15.375,15.203,15.344,7846400
#1998-03-27#,15.359,15.391,14.938,15.141,7476800
#1998-03-30#,15.063,15.078,14.922,15.031,6428800
#1998-03-31#,15,15.281,14.969,15.219,8257600
#1998-04-01#,15.219,15.234,14.938,15.031,8989600
#1998-04-02#,14.969,14.969,14.531,14.781,7858400
#1998-04-03#,14.75,14.781,14.5,14.563,9324000
#1998-04-06#,14.625,14.625,14.125,14.363,16268400
#1998-04-07#,14.688,14.688,14.281,14.547,15662000
#1998-04-08#,14.625,14.625,14.344,14.422,5740800
#1998-04-09#,14.438,14.5,14.344,14.391,4165200
#1998-04-10#,14.438,14.5,14.344,14.391,4165200
#1998-04-13#,14.375,14.406,14.266,14.359,5728800
#1998-04-14#,14.328,14.531,14.313,14.5,9479600
#1998-04-15#,14.5,14.625,14.438,14.484,11195200
#1998-04-16#,14.125,14.25,13.625,13.953,17860800
#1998-04-17#,14.063,14.594,14,14.406,14444800
#1998-04-20#,14.344,14.625,14.313,14.422,6522000
#1998-04-21#,14.422,14.422,14.063,14.406,6174400
#1998-04-22#,14.375,14.656,14.094,14.313,5622000
#1998-04-23#,14.281,14.5,13.875,14.406,18824800
#1998-04-24#,14.453,14.672,14.359,14.563,13713200
#1998-04-27#,14.375,14.469,14,14.203,11970400
#1998-04-28#,14.281,14.344,13.922,14.203,6524000
#1998-04-29#,14.219,14.594,14.188,14.516,12390800
#1998-04-30#,14.531,14.953,14.531,14.906,16231600
#1998-05-01#,14.922,14.953,14.625,14.688,5236000
#1998-05-04#,14.688,14.719,14.5,14.516,4649200
#1998-05-05#,14.531,15.016,14.5,14.953,9730000
#1998-05-06#,14.875,14.906,14.391,14.531,7518400
#1998-05-07#,14.594,14.625,14.313,14.313,4572800
#1998-05-08#,14.344,14.828,14.344,14.781,10131600
#1998-05-11#,14.844,14.953,14.828,14.953,7373600
#1998-05-12#,14.781,15.016,14.594,14.969,7629200
#1998-05-13#,14.984,15.25,14.984,15.172,9438400
#1998-05-14#,15.063,15.344,14.938,15.219,12668400
#1998-05-15#,15.266,15.609,15.234,15.422,17007600
#1998-05-18#,15.406,15.516,15.188,15.5,9618800
#1998-05-19#,15.719,15.891,15.453,15.531,14765600
#1998-05-20#,15.531,15.563,15.375,15.453,5545200
#1998-05-21#,15.438,15.484,15.406,15.453,4561600
#1998-05-22#,15.844,16.781,15.75,16.391,44537600
#1998-05-25#,15.844,16.781,15.75,16.391,44537600
#1998-05-26#,15.938,16,15.125,15.156,17544000
#1998-05-27#,15.016,15.313,14.781,15.047,10360000
#1998-05-28#,15.063,15.344,14.969,15.172,6866000
#1998-05-29#,15.219,15.438,15.109,15.125,8228000
#1998-06-01#,15.109,15.266,14.938,14.938,7576000
#1998-06-02#,14.906,15.688,14.906,15.5,12789600
#1998-06-03#,15.531,15.656,15.219,15.406,7257200
#1998-06-04#,15.375,15.516,15.188,15.516,5218000
#1998-06-05#,15.516,15.922,15.438,15.828,9120000
#1998-06-08#,15.813,16.063,15.781,15.922,7450000
#1998-06-09#,15.906,16.063,15.875,16.047,5090000
#1998-06-10#,15.938,16.125,15.75,15.875,10424000
#1998-06-11#,15.891,16.188,15.75,15.828,8678800
#1998-06-12#,15.844,15.938,15.422,15.891,8114400
#1998-06-15#,15.656,15.906,15.5,15.516,6061600
#1998-06-16#,15.625,15.688,15.375,15.531,5861200
#1998-06-17#,15.563,15.688,15.484,15.578,5654400
#1998-06-18#,15.469,15.563,15.438,15.5,4208000
#1998-06-19#,15.578,15.594,15.219,15.391,7725200
#1998-06-22#,15.25,15.266,14.969,15.031,7261200
#1998-06-23#,15.313,15.766,15.172,15.672,14370000
#1998-06-24#,15.625,16.813,15.547,16.688,28066000
#1998-06-25#,16.531,16.563,16.063,16.125,10864800
#1998-06-26#,16.109,16.531,16,16.25,6213600
#1998-06-29#,16.297,16.531,16.25,16.375,5605600
#1998-06-30#,16.344,16.594,16.266,16.344,8828800
#1998-07-01#,16.344,16.391,16.125,16.375,5849600
#1998-07-02#,16.328,16.781,16.281,16.719,6337600
#1998-07-03#,16.328,16.781,16.281,16.719,6337600
#1998-07-06#,16.781,16.969,16.656,16.969,13846800
#1998-07-07#,16.953,17.219,16.938,17.109,8902800
#1998-07-08#,17.078,17.281,16.875,17.25,6982400
#1998-07-09#,17.234,17.375,16.813,16.844,6268000
#1998-07-10#,16.797,17.109,16.781,17.016,6044000
#1998-07-13#,17.016,17.125,17,17.125,2762000
#1998-07-14#,17.094,17.5,17.063,17.484,8130000
#1998-07-15#,17.453,18.094,17.344,17.719,18042400
#1998-07-16#,17.719,17.734,17.5,17.625,5152800
#1998-07-17#,17.672,18.188,17.547,18.125,7684400
#1998-07-20#,18.172,18.547,17.969,18.172,10100400
#1998-07-21#,18.203,18.688,18.188,18.547,17837200
#1998-07-22#,18.422,18.547,17.563,17.891,11611600
#1998-07-23#,18.844,19.844,18.813,19.078,47771600
#1998-07-24#,19.156,19.188,18.688,18.891,17140000
#1998-07-27#,18.719,18.875,18.438,18.641,13402800
#1998-07-28#,18.563,18.594,18.344,18.516,13934400
#1998-07-29#,18.531,18.75,18.234,18.734,16183200
#1998-07-30#,18.781,19.094,18.609,19,17542000
#1998-07-31#,19,19.031,18.344,18.359,9973200
#1998-08-03#,18.25,18.375,18,18.078,9010000
#1998-08-04#,18.094,18.172,17.156,17.156,11658800
#1998-08-05#,17.156,17.625,16.844,17.391,13051600
#1998-08-06#,17.031,17.25,16.938,17.078,10510800
#1998-08-07#,17.219,18,17.219,17.672,13372000
#1998-08-10#,17.75,18.063,17.688,17.953,10637200
#1998-08-11#,17.531,17.625,17.281,17.406,8442000
#1998-08-12#,17.563,17.688,17.219,17.391,5564400
#1998-08-13#,17.359,17.781,16.969,16.984,12189200
#1998-08-14#,17.063,17.578,17.063,17.406,6367600
#1998-08-17#,17.406,17.75,17.391,17.719,6397600
#1998-08-18#,17.656,17.844,17.438,17.625,9128000
#1998-08-19#,17.609,17.672,17.375,17.516,7437600
#1998-08-20#,17.438,17.578,17.344,17.359,5981600
#1998-08-21#,17.125,17.172,16.438,16.766,12822800
#1998-08-24#,16.875,17.5,16.875,17.344,9080800
#1998-08-25#,17.406,18.109,17.406,17.656,16223600
#1998-08-26#,17.406,17.797,17.344,17.5,5687600
#1998-08-27#,17.25,17.375,16.5,16.938,12593200
#1998-08-28#,16.844,16.969,16,16.281,11854800
#1998-08-31#,16.281,16.625,15,15.219,12002800
#1998-09-01#,15.281,15.625,14.484,15.313,19679600
#1998-09-02#,15.469,16.563,15.438,15.875,15342400
#1998-09-03#,15.469,16.281,15.375,16,9315600
#1998-09-04#,16.125,16.297,15.703,15.953,7236800
#1998-09-07#,16.125,16.297,15.703,15.953,7236800
#1998-09-08#,17.125,17.438,16.547,17.438,13080400
#1998-09-09#,17.219,17.438,17.094,17.109,9877600
#1998-09-10#,16.688,17.781,16.641,17.75,16263600
#1998-09-11#,17.297,18.359,16.875,18.125,22100400
#1998-09-14#,18.281,18.563,17.781,17.984,10130800
#1998-09-15#,17.688,18.406,17.672,17.906,10981200
#1998-09-16#,18.125,18.188,17.484,17.781,10936400
#1998-09-17#,17.375,18.234,17.344,17.906,10125200
#1998-09-18#,18.094,18.328,17.906,18.313,10760800
#1998-09-21#,17.875,18.813,17.813,18.813,21921200
#1998-09-22#,18.969,19.063,18.594,18.625,19374800
#1998-09-23#,18.719,19.531,18.688,19.5,14709200
#1998-09-24#,19.25,19.25,18.75,18.875,8889600
#1998-09-25#,18.719,19.375,18.688,19.125,13053200
#1998-09-28#,19.25,19.938,19.219,19.906,13312000
#1998-09-29#,19.688,19.719,19.281,19.328,10910000
#1998-09-30#,19.219,19.469,18.875,18.891,10816800
#1998-10-01#,18.625,18.656,18.063,18.469,11954400
