"Date","Open","High","Low","Close","Volume"
#1996-01-01#,20.374,20.4335,20.1063,20.4335,2558000
#1996-01-02#,20.374,20.5524,20.255,20.374,3852400
#1996-01-03#,20.1955,20.1955,19.9576,19.9576,4769600
#1996-01-04#,20.1955,20.2253,19.7196,19.8089,5550000
#1996-01-05#,19.7196,19.7791,19.5412,19.7196,2793600
#1996-01-08#,19.6601,20.0171,19.6601,19.9576,1350400
#1996-01-09#,20.1063,20.1658,19.8386,19.8386,3238000
#1996-01-10#,19.7791,19.8386,19.5709,19.6899,3803600
#1996-01-11#,19.6304,19.6601,19.333,19.4222,3865600
#1996-01-12#,19.5412,19.6007,19.3032,19.4817,3880800
#1996-01-15#,19.4519,19.6007,19.4222,19.6007,2999200
#1996-01-16#,19.6899,20.2253,19.6601,20.2253,3954800
#1996-01-17#,20.2253,20.4037,20.0171,20.0171,3636000
#1996-01-18#,20.1063,20.1063,19.7791,19.9278,2932800
#1996-01-19#,19.8386,20.1658,19.8386,20.136,4936400
#1996-01-22#,20.136,20.136,19.8386,20.0171,2815200
#1996-01-23#,19.9873,20.4929,19.8089,20.4929,3608000
#1996-01-24#,20.4929,20.7309,20.2847,20.6119,4833200
#1996-01-25#,20.5524,20.6119,20.4037,20.4632,3234400
#1996-01-26#,20.4335,20.8796,20.3442,20.6417,3980800
#1996-01-29#,20.6417,20.7904,20.6119,20.7606,2848800
#1996-01-30#,20.7309,21.0283,20.7011,20.9688,3052800
#1996-01-31#,20.8796,21.0581,20.7606,21.0581,2951600
#1996-02-01#,20.9688,21.0283,20.8499,20.9986,3086400
#1996-02-02#,20.7606,20.9688,20.7606,20.8796,4001200
#1996-02-05#,20.8499,21.2068,20.8499,21.177,2664000
#1996-02-06#,21.177,21.177,20.8201,21.0581,3906000
#1996-02-07#,21.0581,21.3555,21.0283,21.296,3979200
#1996-02-08#,21.296,21.3852,21.2068,21.296,4128400
#1996-02-09#,21.3555,21.4745,21.0581,21.2068,4620400
#1996-02-12#,21.0581,21.0878,20.5822,20.8499,10012400
#1996-02-13#,20.6714,21.1176,20.6714,21.0878,5030800
#1996-02-14#,20.8201,21.0581,20.7904,20.8796,3338800
#1996-02-15#,20.8796,20.9986,20.7011,20.8499,3759200
#1996-02-16#,20.8499,20.8499,20.6119,20.6417,6431600
#1996-02-19#,20.8499,20.8499,20.6119,20.6417,6431600
#1996-02-20#,20.374,20.6119,20.374,20.4037,4322000
#1996-02-21#,20.5227,20.7606,20.4632,20.4929,3834000
#1996-02-22#,20.6119,20.9094,20.5822,20.8499,3266800
#1996-02-23#,21.0581,21.0581,20.6714,20.6714,3770000
#1996-02-26#,20.6417,20.6714,20.374,20.4037,3256400
#1996-02-27#,20.4037,20.4335,20.1658,20.3145,4338000
#1996-02-28#,20.4929,20.7011,20.2253,20.374,3076400
#1996-02-29#,20.255,20.6417,20.2253,20.255,3683200
#1996-03-01#,20.4335,20.5822,20.1955,20.5822,3482400
#1996-03-04#,20.6714,20.8499,20.6417,20.7309,2902800
#1996-03-05#,20.6714,20.8796,20.6417,20.8796,2904400
#1996-03-06#,20.8796,21.0283,20.5822,20.6417,3076400
#1996-03-07#,20.7606,20.9094,20.6714,20.7904,4258400
#1996-03-08#,20.6119,20.8796,20.136,20.136,6771200
#1996-03-11#,20.136,20.4632,20.1063,20.4632,4481200
#1996-03-12#,20.3442,20.6119,20.3145,20.4037,5510800
#1996-03-13#,20.374,20.5822,20.1955,20.1955,6348400
#1996-03-14#,20.255,20.3145,19.8683,20.0468,6781600
#1996-03-15#,19.8683,20.1658,19.8386,20.1063,6072000
#1996-03-18#,20.2253,20.2847,19.9873,20.0765,3530400
#1996-03-19#,20.136,20.2847,20.136,20.2253,4045600
#1996-03-20#,20.374,20.374,20.136,20.2847,2883600
#1996-03-21#,20.3442,20.7606,20.3442,20.5524,4220000
#1996-03-22#,20.6119,20.6119,20.3145,20.5822,2834000
#1996-03-25#,20.5227,20.6417,20.3145,20.4037,3533200
#1996-03-26#,20.4929,20.8201,20.4335,20.7011,3248000
#1996-03-27#,20.8201,20.8201,20.1063,20.1955,3782400
#1996-03-28#,20.0765,20.4037,20.0765,20.4037,2679200
#1996-03-29#,20.4632,20.5822,20.255,20.3665,3074400
#1996-04-01#,20.5524,20.8499,20.4632,20.8201,3563600
#1996-04-02#,20.6417,20.6714,20.4929,20.5524,2957600
#1996-04-03#,20.6119,20.6417,20.4929,20.5822,3471600
#1996-04-04#,20.7011,20.8201,20.6714,20.7904,3579600
#1996-04-05#,20.7011,20.8201,20.6714,20.7904,3579600
#1996-04-08#,20.4037,20.5524,20.2847,20.374,5672800
#1996-04-09#,20.374,20.374,19.8089,19.8386,3622800
#1996-04-10#,19.6899,19.6899,18.9761,19.0355,7614000
#1996-04-11#,19.0058,19.2735,18.5597,19.2437,7406400
#1996-04-12#,19.2735,19.6304,19.2735,19.6304,2782800
#1996-04-15#,19.6304,19.7196,19.3627,19.4222,3527200
#1996-04-16#,19.4519,19.6007,19.333,19.6007,3638800
#1996-04-17#,19.4519,19.4817,19.2437,19.3032,2854400
#1996-04-18#,19.3032,19.6007,19.3032,19.5114,3343200
#1996-04-19#,19.5114,19.6007,19.4519,19.4817,2988000
#1996-04-22#,19.5412,19.6007,19.3627,19.3925,2840800
#1996-04-23#,19.4222,19.5412,19.1843,19.2437,4669600
#1996-04-24#,19.3627,19.3627,19.1248,19.2437,4949600
#1996-04-25#,19.2437,19.5412,19.214,19.4222,3626400
#1996-04-26#,19.3925,19.6007,19.333,19.5114,4290800
#1996-04-29#,19.4519,19.7494,19.4519,19.7494,3307600
#1996-04-30#,19.6899,21.0581,19.4519,19.5709,3042400
#1996-05-01#,19.5412,19.7196,19.5114,19.5709,3058400
#1996-05-02#,19.5412,19.5412,19.2735,19.333,3758000
#1996-05-03#,19.3032,19.4817,19.3032,19.3627,3972000
#1996-05-06#,19.3627,19.4817,18.9166,18.9761,3859600
#1996-05-07#,19.0058,19.0653,18.8868,18.9761,4170400
#1996-05-08#,18.7976,19.3032,18.6638,19.3032,4498000
#1996-05-09#,19.2735,19.2735,19.0058,19.1843,4070800
#1996-05-10#,19.2437,19.4222,19.095,19.3627,3838400
#1996-05-13#,19.3032,19.7196,19.214,19.7196,3218000
#1996-05-14#,19.6601,19.7196,19.4817,19.6007,3164400
#1996-05-15#,19.5412,19.8386,19.3925,19.6601,5057200
#1996-05-16#,19.6304,19.8981,19.5412,19.6899,3768800
#1996-05-17#,19.7494,19.9576,19.6601,19.9278,4091600
#1996-05-20#,20.0468,20.2253,19.9576,20.0171,2511600
#1996-05-21#,20.0765,20.0765,19.6899,19.6899,2441200
#1996-05-22#,19.6601,20.3145,19.6601,20.1658,3433600
#1996-05-23#,20.1955,20.4632,20.1658,20.3442,3566000
#1996-05-24#,20.374,20.6714,20.374,20.6417,3351200
#1996-05-27#,20.374,20.6714,20.374,20.6417,3351200
#1996-05-28#,20.6417,20.6417,20.3145,20.6119,3626800
#1996-05-29#,20.5822,20.6714,20.1658,20.1658,3916400
#1996-05-30#,20.1955,20.4929,20.0468,20.4335,3392400
#1996-05-31#,20.374,20.4632,20.255,20.3145,3242800
#1996-06-03#,20.1658,20.255,19.9576,20.255,3130000
#1996-06-04#,20.2847,20.8796,20.255,20.8499,4970400
#1996-06-05#,20.9094,21.1473,20.9094,21.0581,4364000
#1996-06-06#,21.0283,21.3555,20.9688,21.0283,5127600
#1996-06-07#,20.6119,20.8499,20.6119,20.8499,3354000
#1996-06-10#,20.8499,21.0581,20.8201,21.0283,1960000
#1996-06-11#,20.9688,21.1176,20.8201,20.9391,4039600
#1996-06-12#,20.9391,20.9391,20.7011,20.7011,2411200
#1996-06-13#,20.7606,21.1176,20.7309,21.0581,3619600
#1996-06-14#,21.0283,21.0878,20.8796,21.0581,2744800
#1996-06-17#,21.0581,21.3852,21.0581,21.2365,2672000
#1996-06-18#,21.1176,21.3258,21.0878,21.2068,3004800
#1996-06-19#,21.1473,21.2068,20.9094,21.0581,2509600
#1996-06-20#,21.0581,21.3258,21.0581,21.3258,3312400
#1996-06-21#,21.3852,21.415,21.2068,21.415,6201200
#1996-06-24#,21.415,21.4745,20.9391,20.9688,3831600
#1996-06-25#,20.9986,21.3555,20.9986,21.2068,4901600
#1996-06-26#,21.177,21.2068,21.0283,21.177,2842400
#1996-06-27#,21.0581,21.2068,20.9986,21.177,3064000
#1996-06-28#,21.2365,21.415,21.0878,21.415,2258800
#1996-07-01#,21.415,21.4745,21.2663,21.4745,3084000
#1996-07-02#,21.2365,21.296,21.0878,21.296,2302400
#1996-07-03#,21.296,21.5042,21.2365,21.3852,4329600
#1996-07-04#,21.296,21.5042,21.2365,21.3852,4329600
#1996-07-05#,20.9391,21.0283,20.7011,20.7309,2522800
#1996-07-08#,20.6714,20.9986,20.6119,20.9688,4236000
#1996-07-09#,21.1176,21.2365,20.9986,21.2068,4001200
#1996-07-10#,21.2068,21.296,21.1176,21.2068,3966800
#1996-07-11#,21.2365,21.3852,21.0878,21.2663,6813200
#1996-07-12#,21.177,21.2365,20.7606,20.8499,6552800
#1996-07-15#,20.8499,21.0878,20.5524,20.5822,4032400
#1996-07-16#,20.4929,20.5822,19.7494,20.4037,5743600
#1996-07-17#,20.5822,20.5822,20.255,20.3145,4692800
#1996-07-18#,20.3442,20.8201,20.3442,20.7606,3705600
#1996-07-19#,20.7904,20.9391,20.6119,20.9391,4412400
#1996-07-22#,20.8201,20.9986,20.5822,20.9094,2929600
#1996-07-23#,20.8796,20.9094,20.6119,20.6119,2871600
#1996-07-24#,20.4037,20.7309,20.374,20.6119,5040000
#1996-07-25#,20.7011,20.7011,20.5227,20.5822,4236000
#1996-07-26#,20.6417,20.7606,20.5524,20.6417,3298800
#1996-07-29#,20.5227,20.6119,20.4335,20.6119,3415600
#1996-07-30#,20.6119,20.6714,20.4929,20.6119,3009200
#1996-07-31#,20.6417,20.7904,20.5822,20.6119,3703600
#1996-08-01#,20.5822,21.177,20.5822,21.0581,3766000
#1996-08-02#,21.177,21.2663,21.0878,21.2663,2600000
#1996-08-05#,21.2365,21.2663,21.0283,21.0581,2005600
#1996-08-06#,21.0878,21.0878,20.9391,21.0283,3337600
#1996-08-07#,21.0283,21.0283,20.6417,20.8499,2781200
#1996-08-08#,20.7904,20.8201,20.7309,20.7606,1904800
#1996-08-09#,20.9094,21.0581,20.8201,21.0581,1558800
#1996-08-12#,20.9094,21.3852,20.8796,21.3852,2920400
#1996-08-13#,21.296,21.3555,21.1473,21.2663,1824000
#1996-08-14#,21.1176,21.2068,20.9391,20.9391,1682000
#1996-08-15#,20.9094,21.0283,20.8499,20.8796,2337600
#1996-08-16#,20.9094,21.1473,20.9094,21.0878,3525600
#1996-08-19#,21.1176,21.2365,21.0878,21.1473,1626000
#1996-08-20#,21.0878,21.1176,20.9688,20.9986,2035600
#1996-08-21#,21.0878,21.2663,21.0581,21.1473,2976000
#1996-08-22#,21.1176,21.1473,21.0283,21.0581,2194800
#1996-08-23#,20.9391,20.9986,20.9094,20.9391,2791600
#1996-08-26#,20.8796,20.9688,20.8499,20.9094,2068800
#1996-08-27#,20.9986,21.0283,20.9094,20.9391,2091600
#1996-08-28#,20.9094,20.9688,20.8796,20.9391,2138400
#1996-08-29#,20.9094,20.9391,20.8499,20.8796,2208800
#1996-08-30#,20.9094,20.9688,20.8499,20.8796,2557600
