"Date","Open","High","Low","Close","Volume"
#2014-01-01#,106.34,106.83,105.83,106.46,493109
#2014-01-02#,103.67,104.05,102.89,103.55,1488203
#2014-01-03#,103.33,104.41,103.25,103.74,512190
#2014-01-06#,103.17,103.33,102.26,102.54,1805299
#2014-01-07#,103.77,104.6,103.74,104.48,1332863
#2014-01-08#,104.05,105.01,103.85,104.93,965445
#2014-01-09#,105.56,105.87,104.47,104.93,1101430
#2014-01-10#,105.22,105.29,104.29,105.2,788261
#2014-01-13#,103.56,104.11,102.36,102.53,1496502
#2014-01-14#,102.7,103.31,102.47,102.93,1488173
#2014-01-15#,101.97,103.62,101.75,103.11,1541878
#2014-01-16#,103.55,103.71,102.7,103.45,911451
#2014-01-17#,102.05,102.17,101.29,101.47,2721091
#2014-01-20#,102.05,102.17,101.29,101.47,2721091
#2014-01-21#,104.57,104.63,102.66,103.75,1913549
#2014-01-22#,104.09,104.31,103.54,103.56,959141
#2014-01-23#,104.01,104.05,102.1,102.42,1492942
#2014-01-24#,100.18,100.25,98.01,98.05,2816134
#2014-01-27#,99.21,99.26,98.15,98.23,1499647
#2014-01-28#,98.69,98.86,98.165,98.58,1795466
#2014-01-29#,97.62,98.016,96.65,96.72,2718065
#2014-01-30#,96.51,96.995,95.9,96.59,1516225
#2014-01-31#,94.31,96.39,94.17,95.89,2385945
#2014-02-03#,95.51,95.82,94.09,94.31,3157417
#2014-02-04#,93.8,94.74,93.72,94.26,2712459
#2014-02-05#,93.92,94.43,93.85,94.17,1716070
#2014-02-06#,95.34,96.4,95.2391,96.27,1266208
#2014-02-07#,97.45,97.55,96.92,97.41,1346347
#2014-02-10#,97.93,98,97.18,97.55,991736
#2014-02-11#,98.65,99.73,98.5,99.57,1570193
#2014-02-12#,99.91,100.07,99.53,99.68,1126861
#2014-02-13#,99.21,100.28,99.04,100.25,765474
#2014-02-14#,100.29,101.8,100.178,101.61,1223177
#2014-02-17#,100.29,101.8,100.178,101.61,1223177
#2014-02-18#,101.77,101.93,100.55,100.82,1333916
#2014-02-19#,101.35,102.02,101.09,101.36,919862
#2014-02-20#,101.41,101.68,100.89,101.33,824295
#2014-02-21#,101.5,101.83,101.27,101.48,958734
#2014-02-24#,102.11,103.26,102.05,103.15,2210538
#2014-02-25#,102.3,102.61,101.52,102.17,2018637
#2014-02-26#,102.93,104.75,102.87,103.75,2933958
#2014-02-27#,104.02,104.17,103.35,103.99,851322
#2014-02-28#,104.53,105.52,104.26,104.61,1565187
#2014-03-03#,102.29,103.03,101.85,102.12,1901510
#2014-03-04#,104.25,104.28,103.5,103.76,792049
#2014-03-05#,103.04,103.67,102.915,103.5,1183636
#2014-03-06#,103.57,104.83,103.54,104.51,1001549
#2014-03-07#,103.55,104.17,102.82,103.39,1064076
#2014-03-10#,102.89,103.38,102.47,103.27,646976
#2014-03-11#,103.3,103.86,102.99,103.07,757325
#2014-03-12#,101.25,102.38,101.16,102.16,1375274
#2014-03-13#,102.49,103.71,100.4,100.76,2096569
#2014-03-14#,100.23,100.75,99.7,99.8,1528602
#2014-03-17#,100.02,100.97,99.96,100.53,1360740
#2014-03-18#,100.75,102.05,100.75,101.9,1621669
#2014-03-19#,100.48,101.26,99.59,100.07,1601054
#2014-03-20#,99.66,100.73,99.4,100.53,886806
#2014-03-21#,101.06,102.25,100.99,101.94,1157085
#2014-03-24#,101.26,101.98,101,101.5,881857
#2014-03-25#,102.45,103.26,102.135,102.92,728591
#2014-03-26#,103.34,104.26,103.07,103.07,840958
#2014-03-27#,104.23,104.5125,103.895,104.25,1033418
#2014-03-28#,105.76,106.36,105.4425,105.81,1203495
#2014-03-31#,106.1,106.17,104.73,105.3,1348993
#2014-04-01#,105.9,106.68,105.82,106.59,1297800
#2014-04-02#,106.79,107.27,106.63,106.94,651905
#2014-04-03#,107.04,107.27,106.68,107.07,1225054
#2014-04-04#,106.79,107.46,106.23,106.63,1365210
#2014-04-07#,107.02,107.1,105.29,105.7,2462090
#2014-04-08#,105.72,106.41,105.37,106.09,1779785
#2014-04-09#,107.61,107.66,106.42,107.57,1267302
#2014-04-10#,107.8,107.84,105.53,105.53,1062716
#2014-04-11#,105.69,106.06,105.51,105.6,1099731
#2014-04-14#,107.63,108.34,107.13,108.23,1717539
#2014-04-15#,108.18,108.26,106.856,108.23,2029624
#2014-04-16#,109.04,109.25,108.51,108.96,1038580
#2014-04-17#,108.57,109.41,108.37,109.2,970719
#2014-04-18#,108.57,109.41,108.37,109.2,970719
#2014-04-21#,109.21,109.38,108.63,108.91,521776
#2014-04-22#,109.78,109.79,109.19,109.72,547691
#2014-04-23#,108.99,109.04,108.155,108.4,736866
#2014-04-24#,108.89,109.3995,108.33,109.14,793304
#2014-04-25#,109.37,109.69,108.28,109.1,789498
#2014-04-28#,110.16,110.75,109.6901,110.19,1594158
#2014-04-29#,111.04,111.38,110.73,111.1,1719725
#2014-04-30#,108.22,108.24,105.69,105.82,2849522
#2014-05-01#,106.68,107.23,106.11,106.69,990322
#2014-05-02#,106.01,106.84,105.86,106.26,711045
#2014-05-05#,106.51,107.44,106.18,107.38,649604
#2014-05-06#,106.95,107.27,106.42,106.46,703980
#2014-05-07#,106.27,108.46,106.27,108.32,1413387
#2014-05-08#,109.74,110.4,108.81,109.21,1099070
#2014-05-09#,109.89,109.91,108.55,109,739004
#2014-05-12#,109.79,110.1475,109.59,109.97,653101
#2014-05-13#,109.63,110.18,108.99,109.94,995349
#2014-05-14#,109.53,109.81,109.11,109.14,674481
#2014-05-15#,109.29,109.3,108.13,108.34,1199544
#2014-05-16#,110.63,110.9,109.862,110.85,1360417
#2014-05-19#,110.41,110.51,109.73,110.22,1860612
#2014-05-20#,109.85,110.43,109.76,110.21,799054
#2014-05-21#,109.68,110.78,109.62,110.75,552216
#2014-05-22#,110.59,110.82,110.03,110.5,537866
#2014-05-23#,109.22,110.2,109.09,110.05,549269
#2014-05-26#,109.22,110.2,109.09,110.05,549269
#2014-05-27#,110.67,111.31,110.52,110.97,827865
#2014-05-28#,109.18,110.485,109.18,109.93,1319578
#2014-05-29#,109.77,110.26,109.5501,110.03,1361910
#2014-05-30#,109.96,110.14,109.68,109.92,1160476
#2014-06-02#,109.54,109.9,109.21,109.65,752895
#2014-06-03#,109.86,110.13,109.58,109.91,395935
#2014-06-04#,110.79,110.8,109.71,110.15,712510
#2014-06-05#,110.15,110.69,109.87,110.41,671213
#2014-06-06#,110.69,111.17,110.38,111.09,829609
#2014-06-09#,110.02,111.03,109.9,110.91,971477
#2014-06-10#,112.23,114.23,112.09,114.07,3141562
#2014-06-11#,113.02,113.1677,112.24,112.92,1419790
#2014-06-12#,111.76,112.56,111.53,111.84,1296569
#2014-06-13#,111.17,111.4699,110.925,111.1,797728
#2014-06-16#,111.47,111.93,110.97,111.58,751645
#2014-06-17#,111.8,112.37,111.45,112.11,795619
#2014-06-18#,111.87,113.45,111.79,113.33,775669
#2014-06-19#,114.83,114.93,114.2,114.75,782292
#2014-06-20#,115.2,116.65,115.17,116.17,5125124
#2014-06-23#,115.35,115.64,114.89,115.49,2490623
#2014-06-24#,114.68,115.5,114.6305,115.07,1264681
#2014-06-25#,114.72,115.58,114.48,115.48,1378431
#2014-06-26#,114.29,114.41,113.14,114.11,2005257
#2014-06-27#,113.89,114.89,113.51,114.87,733922
#2014-06-30#,114.87,115.48,114.56,114.94,963991
#2014-07-01#,114.68,115.33,114.44,114.78,1114739
#2014-07-02#,114.39,114.73,114.07,114.33,1046212
#2014-07-03#,115.16,115.84,114.81,115.65,440063
#2014-07-04#,115.16,115.84,114.81,115.65,440063
#2014-07-07#,114.94,115.36,114.73,115.1,711388
#2014-07-08#,115.12,115.23,114.09,114.25,816012
#2014-07-09#,114.65,115.18,114.302,114.75,618132
#2014-07-10#,113.23,114.04,113.17,113.44,822643
#2014-07-11#,112.95,113.3,112.62,113.06,905996
#2014-07-14#,113.58,113.87,113.25,113.29,548262
#2014-07-15#,113.01,113.27,112.14,112.66,879256
#2014-07-16#,112.72,113.07,112.29,112.71,703144
#2014-07-17#,111.68,112.43,110.77,110.89,1199280
#2014-07-18#,111.74,112.84,111.62,112.65,741763
#2014-07-21#,111.41,112.11,111.23,111.84,865040
#2014-07-22#,112.73,113.08,112.44,112.82,638961
#2014-07-23#,113.41,113.41,112.31,112.85,509774
#2014-07-24#,112.72,113.23,112.37,113.01,776708
#2014-07-25#,111.72,112.04,110.57,110.88,1054081
#2014-07-28#,110.06,110.17,109.23,109.79,1290079
#2014-07-29#,110.4,110.58,109.68,109.69,1222353
#2014-07-30#,110.47,110.5399,109,109.68,821398
#2014-07-31#,109.97,110,107.83,107.98,1728268
#2014-08-01#,106.58,107.6,106.37,107.04,1925443
#2014-08-04#,107.72,108.82,107.43,108.51,1450893
#2014-08-05#,108.07,108.5,107.61,107.8,1761742
#2014-08-06#,106.19,108.09,106.1,107.89,1025641
#2014-08-07#,108.09,108.31,106.47,106.79,747405
#2014-08-08#,106.29,107.75,105.84,107.68,924023
#2014-08-11#,108.22,108.68,108.17,108.47,737083
#2014-08-12#,107.71,108.439,107.52,108.33,1263418
#2014-08-13#,107.98,108.62,107.72,108.08,911529
#2014-08-14#,109.06,109.37,108.89,109.37,521071
#2014-08-15#,110.68,110.87,109.07,110.08,863731
#2014-08-18#,110.33,110.93,109.77,110.73,832982
#2014-08-19#,111.01,111.41,110.975,111.14,422490
#2014-08-20#,110.33,110.92,110.22,110.37,816075
#2014-08-21#,110.65,111.55,110.39,111.14,519076
#2014-08-22#,110.61,111.12,110.09,110.14,563239
#2014-08-25#,110.78,112.17,110.475,111.7,696279
#2014-08-26#,112.14,112.67,111.92,112.01,795614
#2014-08-27#,112.24,112.31,111.81,111.92,924969
#2014-08-28#,110.75,111.4018,110.73,111.28,487695
#2014-08-29#,111.24,111.84,110.28,111.78,937030
#2014-09-01#,111.24,111.84,110.28,111.78,937030
#2014-09-02#,111.35,111.62,110.9,111.3,859552
#2014-09-03#,112.74,112.79,111.95,112.41,802621
#2014-09-04#,113.1,114.2,112.99,113.42,1438620
#2014-09-05#,112.94,113.16,112.3,113.05,580744
