"Date","Open","High","Low","Close","Volume"
#2008-01-01#,49.4708,50.0995,49.2646,49.6182,203831
#2008-01-02#,49.6575,50.2469,47.791,48.2331,271143
#2008-01-03#,47.8696,49.0877,47.8696,48.5671,183553
#2008-01-04#,48.4492,48.4689,46.455,46.7006,331172
#2008-01-07#,47.9973,51.2292,46.514,50.5907,470519
#2008-01-08#,50.8363,53.7342,50.3942,51.0819,554016
#2008-01-09#,51.7695,53.7146,51.4846,53.3413,530743
#2008-01-10#,53.243,54.4219,52.5752,54.0289,271779
#2008-01-11#,54.1763,54.913,52.5849,52.9975,237711
#2008-01-14#,53.3904,53.5181,52.5554,52.8108,169117
#2008-01-15#,52.0839,52.0839,49.628,50.2272,436507
#2008-01-16#,48.2822,48.6359,45.5709,46.4943,1002090
#2008-01-17#,46.4649,46.9069,41.2584,41.6023,870855
#2008-01-18#,43.5178,45.5415,43.1151,45.2762,553496
#2008-01-21#,43.5178,45.5415,43.1151,45.2762,553496
#2008-01-22#,40.6494,43.6063,39.6867,43.4196,649733
#2008-01-23#,41.7496,45.5808,41.2781,45.3352,531110
#2008-01-24#,44.8931,46.514,44.8931,45.2861,380535
#2008-01-25#,46.956,47.5553,44.7163,45.1878,247415
#2008-01-28#,43.6161,44.6896,42.5453,44.4314,343952
#2008-01-29#,44.3037,44.6475,42.9089,44.0876,168323
#2008-01-30#,43.341,44.1268,41.9952,42.2899,365847
#2008-01-31#,41.3076,42.231,39.9421,41.6317,620639
#2008-02-01#,40.9932,41.897,40.0698,41.2388,550389
#2008-02-04#,43.4982,44.1858,43.2231,43.6259,440293
#2008-02-05#,42.6632,43.4884,42.005,42.005,364019
#2008-02-06#,41.897,42.8891,41.6417,41.9363,210617
#2008-02-07#,41.4549,43.3214,41.1406,42.7811,214669
#2008-02-08#,42.7811,42.7909,41.6121,42.1819,130261
#2008-02-11#,42.0934,42.0934,40.5708,41.3567,281067
#2008-02-12#,41.8479,42.6632,41.3665,42.1917,236289
#2008-02-13#,42.6043,43.1053,41.6514,43.0856,257024
#2008-02-14#,43.3214,43.8125,42.2408,42.2703,252930
#2008-02-15#,42.2997,42.7123,41.7987,42.5355,262136
#2008-02-18#,42.2997,42.7123,41.7987,42.5355,262136
#2008-02-19#,43.9599,45.2565,43.6063,45.0405,627677
#2008-02-20#,43.7143,44.4805,43.0463,44.235,176837
#2008-02-21#,44.3037,44.3577,42.6436,42.8302,179408
#2008-02-22#,42.2408,43.3705,41.4647,43.1249,252218
#2008-02-25#,42.3292,43.0365,41.8479,42.899,251441
#2008-02-26#,42.2408,43.2231,41.897,42.5158,227890
#2008-02-27#,42.2604,45.1878,42.2604,44.6377,418443
#2008-02-28#,44.1858,45.7281,43.6237,44.2644,607285
#2008-02-29#,44.0581,44.2055,43.3017,43.3214,228077
#2008-03-03#,43.7143,44.4511,43.0168,44.1269,179790
#2008-03-04#,43.0954,43.2624,41.396,42.1524,473811
#2008-03-05#,42.3881,43.1151,42.2604,42.5551,218862
#2008-03-06#,42.3881,42.5355,41.2584,41.2584,124482
#2008-03-07#,40.2761,41.0129,39.3036,39.8635,252623
#2008-03-10#,41.003,41.003,36.1994,36.3762,413585
#2008-03-11#,37.6238,39.2348,37.6238,39.2348,307084
#2008-03-12#,38.3507,38.3507,36.3271,36.612,294753
