"Date","Open","High","Low","Close","Volume"
#2018-01-01#,5430,5430,5430,5430,710
#2018-01-02#,5430,5430,5430,5430,710
#2018-01-03#,5430,5430,5430,5430,710
#2018-01-04#,5430,5430,5430,5430,341
#2018-01-05#,5430,5430,5430,5430,341
#2018-01-08#,5430,5430,5430,5430,341
#2018-01-09#,5430,5430,5430,5430,341
#2018-01-10#,5430,5430,5430,5430,341
#2018-01-11#,5430,5430,5430,5430,341
#2018-01-12#,5430,5430,5430,5430,341
#2018-01-15#,5430,5430,5430,5430,341
#2018-01-16#,5430,5430,5430,5430,341
#2018-01-17#,5500,5500,5500,5500,1700
#2018-01-18#,5500,5500,5500,5500,30950
#2018-01-19#,5320,5320,5320,5320,1957
#2018-01-22#,5380,5380,5380,5380,39037
#2018-01-23#,5380,5380,5380,5380,39037
#2018-01-24#,5420,5500,5420,5500,43336
#2018-01-25#,5420,5500,5420,5500,43336
#2018-01-26#,5420,5500,5420,5500,43336
#2018-01-29#,5420,5500,5420,5500,43336
#2018-01-30#,5420,5500,5420,5500,43336
#2018-01-31#,5420,5500,5420,5500,43336
#2018-02-01#,5420,5500,5420,5500,43336
#2018-02-02#,5500,5500,5500,5500,1000
#2018-02-05#,5500,5500,5500,5500,1000
#2018-02-06#,5500,5500,5500,5500,1000
#2018-02-07#,5500,5500,5500,5500,1000
#2018-02-08#,5380,5380,5380,5380,3664
#2018-02-09#,5380,5380,5380,5380,3664
#2018-02-12#,5380,5380,5380,5380,3664
#2018-02-13#,5380,5380,5380,5380,3664
#2018-02-14#,5380,5380,5380,5380,3664
#2018-02-15#,5380,5380,5380,5380,3664
#2018-02-16#,5380,5380,5380,5380,191
#2018-02-19#,5380,5380,5380,5380,191
#2018-02-20#,5380,5380,5380,5380,6767
#2018-02-21#,5380,5380,5380,5380,78
#2018-02-22#,5380,5380,5380,5380,78
#2018-02-23#,5380,5380,5380,5380,78
#2018-02-26#,5380,5380,5380,5380,12047
#2018-02-27#,5380,5380,5380,5380,12047
#2018-02-28#,5380,5380,5380,5380,12047
#2018-03-01#,5380,5380,5380,5380,12047
#2018-03-02#,5400,5400,5400,5400,328143
#2018-03-05#,5400,5400,5400,5400,44
#2018-03-06#,5400,5400,5400,5400,44
#2018-03-07#,5540,5540,5530,5530,11000
#2018-03-08#,5530,5530,5530,5530,14000
#2018-03-09#,5530,5530,5530,5530,14000
#2018-03-12#,5530,5530,5530,5530,14000
#2018-03-13#,5490,5500,5490,5500,17800
#2018-03-14#,5490,5500,5490,5500,17800
#2018-03-15#,5490,5500,5490,5500,17800
#2018-03-16#,5490,5500,5490,5500,17800
#2018-03-19#,5490,5500,5490,5500,17800
#2018-03-20#,5490,5500,5490,5500,17800
#2018-03-21#,5410,5410,5400,5400,4816
#2018-03-22#,5410,5410,5400,5400,139
#2018-03-23#,5410,5410,5400,5400,139
#2018-03-26#,5410,5410,5400,5400,139
#2018-03-27#,5690,5690,5690,5690,9500
#2018-03-28#,5690,5690,5690,5690,9500
#2018-03-29#,5690,5690,5690,5690,9500
#2018-03-30#,5690,5690,5690,5690,9500
#2018-04-02#,5690,5690,5690,5690,9500
#2018-04-03#,5690,5690,5690,5690,9500
#2018-04-04#,5690,5690,5690,5690,9500
#2018-04-05#,5690,5690,5690,5690,9500
#2018-04-06#,5690,5690,5690,5690,9500
#2018-04-09#,5690,5690,5690,5690,9500
#2018-04-10#,5650,5650,5650,5650,13128
#2018-04-11#,5650,5650,5650,5650,1983
#2018-04-12#,5650,5650,5650,5650,1983
#2018-04-13#,5650,5650,5650,5650,1983
#2018-04-16#,5720,5720,5720,5720,2000
#2018-04-17#,5720,5720,5720,5720,686
#2018-04-18#,5720,5720,5720,5720,686
#2018-04-19#,5720,5720,5720,5720,686
#2018-04-20#,5720,5720,5720,5720,686
#2018-04-23#,5720,5720,5720,5720,686
#2018-04-24#,5720,5720,5720,5720,686
#2018-04-25#,5720,5720,5720,5720,686
#2018-04-26#,5720,5720,5720,5720,686
#2018-04-27#,5720,5720,5720,5720,686
#2018-04-30#,5720,5720,5720,5720,686
#2018-05-01#,5720,5720,5720,5720,686
#2018-05-02#,5800,5800,5800,5800,2500
#2018-05-03#,5800,5800,5800,5800,2500
#2018-05-04#,5800,5800,5800,5800,311
#2018-05-07#,5800,5800,5800,5800,311
#2018-05-08#,5800,5800,5800,5800,311
#2018-05-09#,5800,5800,5800,5800,12650
#2018-05-10#,5670,5800,5670,5800,13298
#2018-05-11#,5670,5800,5670,5800,544
#2018-05-14#,5670,5800,5670,5800,544
#2018-05-15#,5670,5800,5670,5800,544
#2018-05-16#,5800,5800,5800,5800,1513
#2018-05-17#,5800,5800,5800,5800,1513
#2018-05-18#,5650,5650,5650,5650,4848
#2018-05-21#,5650,5650,5650,5650,4848
#2018-05-22#,5650,5650,5650,5650,4848
#2018-05-23#,5650,5650,5650,5650,4848
#2018-05-24#,5650,5650,5650,5650,4848
#2018-05-25#,5650,5650,5650,5650,4848
#2018-05-28#,5650,5650,5650,5650,4848
#2018-05-29#,5650,5650,5650,5650,4848
#2018-05-30#,5650,5650,5650,5650,4848
#2018-05-31#,5650,5650,5650,5650,4848
#2018-06-01#,5650,5650,5650,5650,4848
#2018-06-04#,5650,5650,5650,5650,4848
#2018-06-05#,5800,6000,5800,6000,3300
#2018-06-06#,6200,6200,6200,6200,2000
#2018-06-07#,6200,6200,6200,6200,2000
#2018-06-08#,6200,6200,6200,6200,2000
#2018-06-11#,6200,6200,6200,6200,2000
#2018-06-12#,6200,6200,6200,6200,2000
#2018-06-13#,6200,6200,6200,6200,2000
#2018-06-14#,6200,6200,6200,6200,2000
#2018-06-15#,6200,6200,6200,6200,2000
#2018-06-18#,6200,6200,6200,6200,2000
#2018-06-19#,6200,6200,6200,6200,2900
#2018-06-20#,6000,6000,6000,6000,2863
#2018-06-21#,6000,6000,6000,6000,2863
#2018-06-22#,5910,5910,5910,5910,2000
#2018-06-25#,5910,5910,5910,5910,2000
#2018-06-26#,5910,5910,5910,5910,2000
#2018-06-27#,6000,6000,6000,6000,4829
#2018-06-28#,6000,6000,6000,6000,273
#2018-06-29#,6000,6000,6000,6000,273
#2018-07-02#,6000,6000,6000,6000,273
#2018-07-03#,6000,6000,6000,6000,273
#2018-07-04#,6000,6000,6000,6000,273
#2018-07-05#,6000,6000,6000,6000,265
#2018-07-06#,6000,6000,6000,6000,265
#2018-07-09#,6000,6000,6000,6000,265
#2018-07-10#,6000,6000,6000,6000,265
#2018-07-11#,6000,6000,6000,6000,325
#2018-07-12#,6000,6000,6000,6000,325
#2018-07-13#,5710,5710,5710,5710,20000
#2018-07-16#,5710,5710,5710,5710,20000
#2018-07-17#,5700,5700,5700,5700,2500
#2018-07-18#,5700,5700,5700,5700,2500
#2018-07-19#,5700,5700,5700,5700,2500
#2018-07-20#,5700,5700,5700,5700,2500
#2018-07-23#,5700,5700,5700,5700,1839
#2018-07-24#,5700,5700,5700,5700,1839
#2018-07-25#,5700,5700,5700,5700,970
#2018-07-26#,5800,5800,5800,5800,6438
#2018-07-27#,5800,5800,5800,5800,6438
#2018-07-30#,5800,5800,5800,5800,6438
#2018-07-31#,5800,5800,5800,5800,6438
