"Date","Open","High","Low","Close","Volume"
#2006-01-02#,2140,2192,2070,2090,3302310
#2006-01-03#,2064,2172,2040,2160,4933420
#2006-01-04#,2160,2190,2160,2184,1616240
#2006-01-05#,2182,2182,2160,2170,666600
#2006-01-06#,2164,2180,2160,2160,1390600
#2006-01-09#,2164,2180,2160,2160,1390600
#2006-01-10#,2170,2200,2160,2180,2525240
#2006-01-11#,2200,2260,2200,2240,5909240
#2006-01-12#,2242,2288,2220,2272,4746130
#2006-01-13#,2292,2320,2280,2310,6313360
#2006-01-16#,2320,2352,2282,2350,6527450
#2006-01-17#,2350,2400,2348,2350,7803630
#2006-01-18#,2340,2360,2298,2298,8583370
#2006-01-19#,2300,2310,2280,2286,5295980
#2006-01-20#,2292,2316,2242,2306,5091220
#2006-01-23#,2300,2350,2300,2330,4408740
#2006-01-24#,2350,2380,2350,2380,6441840
#2006-01-25#,2380,2380,2380,2380,250000
#2006-01-26#,2380,2550,2380,2530,11058360
#2006-01-27#,2570,2640,2504,2610,10743400
#2006-01-30#,2610,2620,2444,2550,5453070
#2006-01-31#,2560,2570,2490,2512,6335710
#2006-02-01#,2512,2512,2380,2390,6859550
#2006-02-02#,2400,2460,2400,2428,2253370
#2006-02-03#,2550,2570,2446,2494,4694490
#2006-02-06#,2500,2518,2370,2418,4211560
#2006-02-07#,2400,2478,2302,2312,5120400
#2006-02-08#,2290,2402,2240,2310,7466340
#2006-02-09#,2338,2400,2328,2386,3881280
#2006-02-10#,2394,2480,2394,2470,6819800
#2006-02-13#,2500,2530,2500,2504,4640330
#2006-02-14#,2504,2520,2480,2482,3676180
#2006-02-15#,2496,2500,2484,2494,2510140
#2006-02-16#,2498,2502,2450,2490,3881260
#2006-02-17#,2490,2498,2470,2482,2753020
#2006-02-20#,2500,2520,2490,2510,5056750
#2006-02-21#,2532,2558,2528,2550,4667250
#2006-02-22#,2576,2602,2560,2600,7681580
#2006-02-23#,2654,2672,2618,2642,12423220
#2006-02-24#,2670,2676,2658,2658,5021830
#2006-02-27#,2660,2660,2564,2590,4881870
#2006-02-28#,2580,2682,2560,2586,2852160
#2006-03-01#,2598,2640,2588,2600,2519310
#2006-03-02#,2620,2658,2580,2600,5031140
#2006-03-03#,2600,2600,2550,2560,1830550
#2006-03-06#,2500,2520,2460,2492,3672560
#2006-03-07#,2486,2492,2380,2420,3343390
#2006-03-08#,2420,2470,2410,2410,2267290
#2006-03-09#,2460,2572,2420,2450,4748930
#2006-03-10#,2450,2572,2418,2440,7208390
#2006-03-13#,2470,2470,2450,2450,2410760
#2006-03-14#,2440,2470,2440,2464,1725690
#2006-03-15#,2462,2520,2462,2518,2748320
#2006-03-16#,2518,2550,2518,2550,5221670
#2006-03-17#,2550,2620,2550,2612,4553180
#2006-03-20#,2550,2620,2550,2612,4553180
#2006-03-21#,2618,2618,2582,2590,1367490
#2006-03-22#,2598,2598,2546,2556,3838980
#2006-03-23#,2550,2556,2446,2544,1417220
#2006-03-24#,2548,2562,2548,2556,3926470
#2006-03-27#,2560,2572,2554,2560,2421820
#2006-03-28#,2568,2666,2562,2580,6218860
#2006-03-29#,2600,2640,2350,2638,5230730
#2006-03-30#,2636,2642,2620,2638,5864870
#2006-03-31#,2644,2662,2600,2660,4183020
#2006-04-03#,2650,2650,2600,2630,3733690
#2006-04-04#,2630,2650,2630,2646,5044020
#2006-04-05#,2634,2638,2620,2630,3490950
#2006-04-06#,2600,2608,2506,2586,2562350
#2006-04-07#,2578,2580,2490,2498,3168310
#2006-04-10#,2490,2506,2490,2490,412340
#2006-04-11#,2500,2528,2492,2510,1533110
#2006-04-12#,2586,2586,2534,2540,667710
#2006-04-13#,2586,2586,2534,2540,667710
#2006-04-14#,2586,2586,2534,2540,667710
#2006-04-17#,2490,2510,2488,2500,560330
#2006-04-18#,2504,2504,2494,2500,1750560
#2006-04-19#,2500,2530,2500,2520,2605060
#2006-04-20#,2530,2562,2530,2558,3043030
#2006-04-21#,2550,2592,2550,2592,4375910
#2006-04-24#,2600,2642,2600,2628,8886150
#2006-04-25#,2636,2636,2604,2610,5034360
#2006-04-26#,2570,2616,2552,2612,4131930
#2006-04-27#,2758,2758,2692,2710,16629590
#2006-04-28#,2720,2736,2716,2716,7963330
#2006-05-01#,2720,2736,2716,2716,7963330
#2006-05-02#,2720,2720,2676,2702,5476070
#2006-05-03#,2706,2768,2700,2700,4809170
#2006-05-04#,2700,2702,2680,2694,12699010
#2006-05-05#,2708,2710,2700,2704,2242340
#2006-05-08#,2700,2700,2680,2680,1750550
#2006-05-09#,2680,2682,2660,2660,5376350
#2006-05-10#,2668,2690,2668,2690,2040150
#2006-05-11#,2680,2686,2630,2640,2432580
#2006-05-12#,2622,2624,2560,2600,1868010
#2006-05-15#,2564,2572,2500,2530,3026170
#2006-05-16#,2552,2566,2482,2494,7525360
#2006-05-17#,2474,2474,2260,2290,3935370
#2006-05-18#,2300,2322,2096,2096,2601010
#2006-05-19#,2006,2130,1744,2070,4568730
#2006-05-22#,2000,2000,1848,1850,3346950
#2006-05-23#,1942,1992,1890,1978,4094150
#2006-05-24#,1940,1988,1880,1888,3139470
#2006-05-25#,1900,1972,1870,1964,5246050
#2006-05-26#,2012,2290,2012,2220,5398280
#2006-05-29#,2012,2290,2012,2220,5398280
#2006-05-30#,2250,2250,2090,2090,4849560
#2006-05-31#,2104,2120,2080,2080,1153460
#2006-06-01#,2090,2112,2050,2050,866730
#2006-06-02#,2140,2144,2062,2062,1758400
#2006-06-05#,2140,2144,2062,2062,1758400
#2006-06-06#,2000,2012,1954,1954,1395230
#2006-06-07#,1950,1958,1790,1790,3742920
#2006-06-08#,1664,1670,1498,1514,3698040
#2006-06-09#,1658,1658,1486,1486,3862040
#2006-06-12#,1480,1480,1234,1234,2673960
#2006-06-13#,1302,1302,1042,1056,5121860
#2006-06-14#,1160,1200,1098,1130,5537860
#2006-06-15#,1222,1374,1222,1374,2330150
#2006-06-16#,1422,1564,1422,1436,5747390
#2006-06-19#,1422,1564,1422,1436,5747390
#2006-06-20#,1400,1450,1368,1430,2700340
#2006-06-21#,1450,1544,1436,1450,1312650
#2006-06-22#,1490,1550,1440,1460,819740
#2006-06-23#,1418,1450,1370,1436,872220
#2006-06-26#,1418,1450,1370,1436,872220
#2006-06-27#,1402,1428,1350,1350,935040
#2006-06-28#,1330,1340,1300,1340,2503600
#2006-06-29#,1382,1412,1350,1390,4315840
#2006-06-30#,1500,1522,1440,1500,3020100
#2006-07-03#,1500,1522,1440,1500,3020100
#2006-07-04#,1520,1630,1520,1630,3224250
#2006-07-05#,1550,1738,1500,1690,3346890
#2006-07-06#,1750,1770,1730,1740,3620640
#2006-07-07#,1740,1810,1740,1786,4688720
#2006-07-10#,1846,1942,1830,1934,7139700
#2006-07-11#,1900,1950,1900,1906,4402050
#2006-07-12#,1880,1930,1860,1872,3335620
#2006-07-13#,1870,1870,1790,1820,3905810
#2006-07-14#,1800,1818,1720,1732,2725380
#2006-07-17#,1716,1728,1674,1674,1476620
#2006-07-18#,1730,1730,1700,1700,883690
#2006-07-19#,1770,1872,1762,1868,5550910
#2006-07-20#,1770,1872,1762,1868,5550910
#2006-07-21#,1880,1900,1846,1870,2426110
#2006-07-24#,1900,1926,1900,1902,2743040
#2006-07-25#,1922,1928,1870,1886,2543740
#2006-07-26#,1880,1916,1880,1896,1329720
#2006-07-27#,1920,1940,1888,1934,2946360
#2006-07-28#,1960,1970,1910,1910,4552410
#2006-07-31#,1940,1940,1866,1870,1026030
#2006-08-01#,1850,1900,1820,1880,1768530
#2006-08-02#,1890,1988,1868,1874,3598830
#2006-08-03#,1882,1914,1880,1902,2808700
#2006-08-04#,1926,1948,1920,1926,5097520
#2006-08-07#,1926,1948,1920,1926,5097520
#2006-08-08#,1930,1974,1930,1960,2766790
