"Date","Open","High","Low","Close","Volume"
#1994-01-03#,7.75,7.7813,7.5938,7.6094,4948000
#1994-01-04#,7.6094,7.625,7.4844,7.5,5761600
#1994-01-05#,7.4688,7.4688,7.375,7.4688,4335200
#1994-01-06#,7.4375,7.4531,7.3906,7.3906,1756800
#1994-01-07#,7.375,7.5,7.3125,7.5,2869600
#1994-01-10#,7.5,7.625,7.4844,7.5938,2499200
#1994-01-11#,7.5938,7.6563,7.5781,7.6406,3343200
#1994-01-12#,7.6094,7.7031,7.5781,7.6406,4645600
#1994-01-13#,7.6406,7.6406,7.5625,7.5938,2952000
#1994-01-14#,7.5938,7.625,7.5781,7.6094,2965600
#1994-01-17#,7.6094,7.6094,7.5156,7.5313,1998400
#1994-01-18#,7.5156,7.5469,7.5,7.5156,2364800
#1994-01-19#,7.4375,7.4531,7.3906,7.4219,3060800
#1994-01-20#,7.4219,7.5781,7.4063,7.5625,3961600
#1994-01-21#,7.625,7.625,7.5,7.5313,4025600
#1994-01-24#,7.5313,7.5313,7.5,7.5156,3232000
#1994-01-25#,7.5,7.5156,7.4063,7.4375,4670400
#1994-01-26#,7.4219,7.4375,7.3438,7.3438,2643200
#1994-01-27#,7.3438,7.4219,7.3125,7.4063,8829600
#1994-01-28#,7.4219,7.4688,7.4063,7.4375,2386400
#1994-01-31#,7.4688,7.5156,7.4531,7.4531,2157600
#1994-02-01#,7.4844,7.4844,7.4219,7.4375,2233600
#1994-02-02#,7.4688,7.6094,7.4531,7.5938,2113600
#1994-02-03#,7.5938,7.7031,7.5938,7.6563,4738400
#1994-02-04#,7.6875,7.7344,7.6094,7.6094,4036800
#1994-02-07#,7.5469,7.6875,7.5469,7.6406,4610400
#1994-02-08#,7.6406,7.6875,7.5938,7.6719,4412000
#1994-02-09#,7.7031,7.75,7.6563,7.7344,4430400
#1994-02-10#,7.75,7.75,7.6094,7.6094,3728800
#1994-02-11#,7.6406,7.6719,7.5938,7.6563,2375200
#1994-02-14#,7.6719,7.7813,7.6719,7.75,3418400
#1994-02-15#,7.7344,7.9688,7.7344,7.9531,5403200
#1994-02-16#,7.9531,8.1094,7.9375,8.1094,3892000
#1994-02-17#,8.0938,8.1094,7.9688,8.0156,4147200
#1994-02-18#,8.0156,8.0313,7.9219,7.9531,3417600
#1994-02-21#,8.0156,8.0313,7.9219,7.9531,3417600
#1994-02-22#,7.9844,8.1094,7.9844,8.1094,2520000
#1994-02-23#,8.1094,8.1094,8.0313,8.0781,2462400
#1994-02-24#,8.0938,8.1094,8.0156,8.0625,3008000
#1994-02-25#,8.0781,8.1719,8.0469,8.1563,4156800
#1994-02-28#,8.1719,8.1719,8.1094,8.1406,4858400
#1994-03-01#,8.1094,8.1406,8.0156,8.0781,2436800
#1994-03-02#,7.9688,8.0938,7.9063,8.0781,4339200
