"Date","Open","High","Low","Close","Volume"
#2011-01-03#,1452.68,1455.59,1433.85,1439.16,"#N/A N/A"
#2011-01-04#,1439.16,1442.12,1426.97,1436.65,"#N/A N/A"
#2011-01-05#,1436.65,1437.84,1426.18,1427.41,"#N/A N/A"
#2011-01-06#,1427.41,1427.41,1405.84,1405.84,"#N/A N/A"
#2011-01-07#,1405.84,1412.28,1401.14,1412.28,"#N/A N/A"
#2011-01-10#,1405.84,1412.28,1401.14,1412.28,"#N/A N/A"
#2011-01-11#,1412.28,1412.28,1398.63,1406.9,"#N/A N/A"
#2011-01-12#,1406.9,1423.39,1406.9,1419.8,"#N/A N/A"
#2011-01-13#,1419.8,1431.41,1419.71,1427.52,"#N/A N/A"
#2011-01-14#,1427.52,1430.78,1424.9,1426.5,"#N/A N/A"
#2011-01-17#,1426.5,1436.55,1426.5,1433.62,"#N/A N/A"
#2011-01-18#,1433.62,1441.54,1424.44,1427.31,"#N/A N/A"
#2011-01-19#,1427.31,1429.7,1411.88,1412.76,"#N/A N/A"
#2011-01-20#,1412.76,1414.27,1393.12,1398.77,"#N/A N/A"
#2011-01-21#,1398.77,1424.46,1398.77,1417.65,"#N/A N/A"
#2011-01-24#,1417.65,1427.89,1416.79,1419.62,"#N/A N/A"
#2011-01-25#,1419.62,1433.61,1415.53,1427.58,"#N/A N/A"
#2011-01-26#,1427.58,1443.83,1427.58,1442.22,"#N/A N/A"
#2011-01-27#,1442.22,1461.87,1441.86,1452.33,"#N/A N/A"
#2011-01-28#,1452.33,1458.32,1439.04,1445.22,"#N/A N/A"
#2011-01-31#,1445.22,1455.15,1445.22,1447,"#N/A N/A"
#2011-02-01#,1447,1454.36,1437.74,1437.74,"#N/A N/A"
#2011-02-02#,1437.74,1440.08,1428.51,1428.51,"#N/A N/A"
#2011-02-03#,1428.51,1438.79,1427.33,1432.92,"#N/A N/A"
#2011-02-04#,1432.92,1438.19,1398.74,1405.7,"#N/A N/A"
#2011-02-07#,1405.7,1410.58,1383.63,1390.99,"#N/A N/A"
#2011-02-08#,1390.99,1402.8,1384.52,1402.3,"#N/A N/A"
