"Date","Open","High","Low","Close","Volume"
#2012-01-02#,1326.24,1326.24,1326.24,1326.24,46347
#2012-01-03#,1326.24,1326.24,1326.24,1326.24,4162
#2012-01-04#,1326.24,1326.24,1326.24,1326.24,6761
#2012-01-05#,1326.24,1326.24,1326.24,1326.24,3642
#2012-01-06#,1326.24,1326.24,1326.24,1326.24,3469
#2012-01-09#,1326.24,1326.24,1326.24,1326.24,3469
#2012-01-10#,1307.02,1340.66,1307.02,1335.85,256319
#2012-01-11#,1307.02,1340.66,1307.02,1335.85,8296
#2012-01-12#,1307.02,1340.66,1307.02,1335.85,8296
#2012-01-13#,1307.02,1340.66,1307.02,1335.85,9939
#2012-01-16#,1326.24,1331.05,1326.24,1331.05,145116
#2012-01-17#,1326.24,1331.05,1326.24,1331.05,17876
#2012-01-18#,1283,1297.41,1283,1297.41,67843
#2012-01-19#,1307.02,1331.05,1297.41,1331.05,176944
#2012-01-20#,1316.63,1316.63,1316.63,1316.63,280089
#2012-01-23#,1258.97,1258.97,1258.97,1258.97,22539
#2012-01-24#,1191.7,1191.7,1191.7,1191.7,110473
#2012-01-25#,1210.92,1210.92,1210.92,1210.92,68919
#2012-01-26#,1210.92,1210.92,1210.92,1210.92,8624
#2012-01-27#,1210.92,1210.92,1210.92,1210.92,44541
#2012-01-30#,1210.92,1210.92,1210.92,1210.92,17787
#2012-01-31#,1177.28,1249.36,1177.28,1201.31,63633
#2012-02-01#,1239.75,1239.75,1239.75,1239.75,31216
#2012-02-02#,1239.75,1239.75,1239.75,1239.75,21393
#2012-02-03#,1201.31,1210.92,1201.31,1210.92,221990
#2012-02-06#,1210.92,1210.92,1172.48,1191.7,186428
#2012-02-07#,1201.31,1201.31,1201.31,1201.31,69924
#2012-02-08#,1201.31,1201.31,1201.31,1201.31,13144
#2012-02-09#,1201.31,1201.31,1201.31,1201.31,898
#2012-02-10#,1201.31,1201.31,1201.31,1201.31,16001
#2012-02-13#,1201.31,1201.31,1201.31,1201.31,15729
#2012-02-14#,1186.89,1186.89,1186.89,1186.89,56446
#2012-02-15#,1186.89,1186.89,1186.89,1186.89,21669
#2012-02-16#,1186.89,1186.89,1186.89,1186.89,32858
#2012-02-17#,1162.86,1186.89,1162.86,1186.89,91006
#2012-02-20#,1162.86,1186.89,1162.86,1186.89,23581
#2012-02-21#,1182.09,1201.31,1182.09,1201.31,95986
#2012-02-22#,1201.31,1201.31,1167.67,1167.67,96536
#2012-02-23#,1167.67,1172.48,1153.25,1172.48,658258
#2012-02-24#,1153.25,1177.28,1138.84,1153.25,1953741
#2012-02-27#,1153.25,1177.28,1138.84,1153.25,32306
#2012-02-28#,1153.25,1177.28,1138.84,1153.25,39688
#2012-02-29#,1153.25,1177.28,1138.84,1153.25,5246
#2012-03-01#,1153.25,1177.28,1138.84,1153.25,8294
#2012-03-02#,1114.81,1153.25,1114.81,1153.25,114093
#2012-03-05#,1138.84,1153.25,1138.84,1153.25,344838
#2012-03-06#,1153.25,1153.25,1153.25,1153.25,124864
#2012-03-07#,1153.25,1153.25,1105.2,1105.2,476472
#2012-03-08#,1100.4,1100.4,1085.98,1085.98,368634
#2012-03-09#,1085.98,1085.98,1018.71,1052.34,329219
#2012-03-12#,1081.18,1110.01,1081.18,1110.01,260942
#2012-03-13#,1114.81,1167.67,1114.81,1167.67,1067080
#2012-03-14#,1177.28,1177.28,1172.48,1177.28,168077
#2012-03-15#,1172.48,1172.48,1162.86,1162.86,126818
#2012-03-16#,1153.25,1153.25,1134.03,1153.25,404085
#2012-03-19#,1153.25,1153.25,1134.03,1153.25,404085
#2012-03-20#,1153.25,1153.25,1153.25,1153.25,41185
#2012-03-21#,1153.25,1153.25,1153.25,1153.25,119249
#2012-03-22#,1172.48,1201.31,1172.48,1191.7,169661
#2012-03-23#,1201.31,1249.36,1201.31,1249.36,793105
#2012-03-26#,1201.31,1249.36,1201.31,1249.36,15512
#2012-03-27#,1239.75,1239.75,1239.75,1239.75,61342
#2012-03-28#,1273.39,1273.39,1273.39,1273.39,90028
#2012-03-29#,1254.16,1254.16,1249.36,1249.36,72792
#2012-03-30#,1283,1292.61,1283,1292.61,97630
#2012-04-02#,1278.19,1278.19,1278.19,1278.19,21005
#2012-04-03#,1278.19,1297.41,1278.19,1297.41,72651
#2012-04-04#,1278.19,1283,1278.19,1283,365686
#2012-04-05#,1278.19,1283,1278.19,1283,365686
#2012-04-06#,1278.19,1283,1278.19,1283,365686
#2012-04-09#,1287.8,1287.8,1287.8,1287.8,23816
#2012-04-10#,1287.8,1287.8,1273.39,1273.39,236774
#2012-04-11#,1249.36,1249.36,1249.36,1249.36,97589
#2012-04-12#,1239.75,1244.55,1230.14,1244.55,297832
#2012-04-13#,1239.75,1244.55,1230.14,1244.55,6843
#2012-04-16#,1258.97,1263.77,1258.97,1263.77,299847
#2012-04-17#,1258.97,1258.97,1258.97,1258.97,389436
#2012-04-18#,1254.16,1254.16,1249.36,1249.36,105889
#2012-04-19#,1249.36,1249.36,1249.36,1249.36,289675
#2012-04-20#,1249.36,1292.61,1249.36,1292.61,534379
#2012-04-23#,1254.16,1254.16,1249.36,1249.36,197600
#2012-04-24#,1268.58,1292.61,1249.36,1249.36,1942352
#2012-04-25#,1268.58,1268.58,1249.36,1249.36,209078
#2012-04-26#,1244.55,1244.55,1234.94,1234.94,164460
#2012-04-27#,1201.31,1234.94,1201.31,1206.11,827040
#2012-04-30#,1249.36,1263.77,1249.36,1263.77,78799
#2012-05-01#,1249.36,1263.77,1249.36,1263.77,78799
#2012-05-02#,1249.36,1263.77,1249.36,1263.77,8309
#2012-05-03#,1244.55,1249.36,1239.75,1244.55,834242
#2012-05-04#,1244.55,1249.36,1239.75,1244.55,834242
#2012-05-07#,1249.36,1249.36,1249.36,1249.36,447594
#2012-05-08#,1244.55,1249.36,1244.55,1249.36,635554
#2012-05-09#,1239.75,1249.36,1239.75,1249.36,289938
#2012-05-10#,1239.75,1249.36,1239.75,1249.36,11045
#2012-05-11#,1249.36,1249.36,1249.36,1249.36,21851
#2012-05-14#,1220.53,1258.97,1220.53,1258.97,101405
#2012-05-15#,1210.92,1230.14,1210.92,1210.92,115058
#2012-05-16#,1210.92,1230.14,1210.92,1210.92,13083
#2012-05-17#,1210.92,1230.14,1210.92,1210.92,18199
#2012-05-18#,1210.92,1210.92,1210.92,1210.92,29810
#2012-05-21#,1210.92,1210.92,1210.92,1210.92,29810
#2012-05-22#,1210.92,1215.72,1210.92,1210.92,195273
#2012-05-23#,1201.31,1210.92,1201.31,1210.92,88083
#2012-05-24#,1201.31,1201.31,1201.31,1201.31,110617
#2012-05-25#,1201.31,1201.31,1201.31,1201.31,110617
#2012-05-28#,1201.31,1201.31,1201.31,1201.31,14371
#2012-05-29#,1196.5,1230.14,1196.5,1230.14,91231
#2012-05-30#,1230.14,1230.14,1230.14,1230.14,293962
#2012-05-31#,1230.14,1230.14,1230.14,1230.14,10509
#2012-06-01#,1172.48,1230.14,1172.48,1230.14,89136
#2012-06-04#,1172.48,1230.14,1172.48,1230.14,12486
#2012-06-05#,1215.72,1215.72,1172.48,1172.48,212642
#2012-06-06#,1153.25,1153.25,1153.25,1153.25,27383
#2012-06-07#,1153.25,1153.25,1153.25,1153.25,27383
#2012-06-08#,1153.25,1153.25,1153.25,1153.25,2652
#2012-06-11#,1153.25,1153.25,1153.25,1153.25,2652
#2012-06-12#,1153.25,1153.25,1153.25,1153.25,2652
#2012-06-13#,1190.65,1190.65,1190.65,1190.65,109034
#2012-06-14#,1190.65,1190.65,1190.65,1190.65,46338
#2012-06-15#,1190.65,1190.65,1190.65,1190.65,46338
#2012-06-18#,1190.65,1190.65,1190.65,1190.65,46338
#2012-06-19#,1190.65,1190.65,1190.65,1190.65,1330
#2012-06-20#,1190.65,1190.65,1190.65,1190.65,1330
#2012-06-21#,1190.65,1190.65,1190.65,1190.65,1330
#2012-06-22#,1190.65,1190.65,1190.65,1190.65,3694
#2012-06-25#,1190.65,1190.65,1190.65,1190.65,6135
#2012-06-26#,1131.12,1180.73,1131.12,1180.73,1744051
#2012-06-27#,1131.12,1180.73,1131.12,1180.73,5285
#2012-06-28#,1121.2,1121.2,1121.2,1121.2,38903
#2012-06-29#,1091.43,1091.43,1061.67,1061.67,85257
#2012-07-02#,1091.43,1091.43,1061.67,1061.67,85257
#2012-07-03#,1071.59,1071.59,1061.67,1061.67,928040
#2012-07-04#,1061.67,1061.67,1061.67,1061.67,117014
#2012-07-05#,1061.67,1061.67,1061.67,1061.67,467420
#2012-07-06#,1061.67,1061.67,1061.67,1061.67,595022
#2012-07-09#,1061.67,1061.67,1061.67,1061.67,1008
#2012-07-10#,1061.67,1061.67,1061.67,1061.67,7113
#2012-07-11#,1061.67,1061.67,1061.67,1061.67,5213
#2012-07-12#,1061.67,1061.67,1061.67,1061.67,8670
#2012-07-13#,1061.67,1061.67,1061.67,1061.67,5832
#2012-07-16#,1021.98,1031.9,1021.98,1021.98,165752
#2012-07-17#,1021.98,1031.9,1021.98,1021.98,11087
#2012-07-18#,1026.94,1026.94,1026.94,1026.94,56072
#2012-07-19#,1051.74,1051.74,1041.82,1041.82,128207
#2012-07-20#,1051.74,1051.74,1041.82,1041.82,128207
#2012-07-23#,1051.74,1051.74,1041.82,1041.82,13516
#2012-07-24#,1051.74,1051.74,1041.82,1041.82,13516
#2012-07-25#,1051.74,1051.74,1041.82,1041.82,24688
#2012-07-26#,1041.82,1066.63,1041.82,1041.82,120486
#2012-07-27#,1041.82,1066.63,1041.82,1041.82,6458
#2012-07-30#,1041.82,1041.82,1041.82,1041.82,47411
#2012-07-31#,1041.82,1051.74,1041.82,1051.74,97294
#2012-08-01#,1081.51,1086.47,1066.63,1066.63,375342
#2012-08-02#,1066.63,1066.63,1066.63,1066.63,41322
#2012-08-03#,1071.59,1076.55,1066.63,1076.55,130284
#2012-08-06#,1076.55,1076.55,1061.67,1076.55,4051213
#2012-08-07#,1076.55,1076.55,1061.67,1076.55,4051213
#2012-08-08#,1071.59,1076.55,1071.59,1076.55,311510
#2012-08-09#,1076.55,1076.55,1076.55,1076.55,714233
#2012-08-10#,1081.51,1091.43,1081.51,1091.43,379348
#2012-08-13#,1101.35,1101.35,1101.35,1101.35,54294
#2012-08-14#,1111.28,1111.28,1111.28,1111.28,61703
#2012-08-15#,1116.24,1116.24,1116.24,1116.24,71296
#2012-08-16#,1111.28,1126.16,1111.28,1126.16,193598
#2012-08-17#,1111.28,1126.16,1111.28,1126.16,13687
#2012-08-20#,1111.28,1126.16,1111.28,1126.16,13687
#2012-08-21#,1111.28,1126.16,1111.28,1126.16,13687
#2012-08-22#,1111.28,1126.16,1111.28,1126.16,20157
#2012-08-23#,1101.35,1200.58,1101.35,1185.69,1750260
#2012-08-24#,1150.96,1220.42,1150.96,1220.42,1264308
#2012-08-27#,1240.26,1250.19,1210.5,1210.5,4325626
#2012-08-28#,1240.26,1260.11,1225.38,1225.38,1116030
#2012-08-29#,1265.07,1279.95,1190.65,1210.5,2715618
#2012-08-30#,1265.07,1279.95,1190.65,1210.5,10545
#2012-08-31#,1210.5,1210.5,1190.65,1210.5,162327
#2012-09-03#,1210.5,1210.5,1190.65,1210.5,1950
#2012-09-04#,1170.81,1210.5,1170.81,1210.5,609312
#2012-09-05#,1240.26,1240.26,1230.34,1230.34,214646
#2012-09-06#,1255.15,1255.15,1240.26,1245.22,150075
#2012-09-07#,1270.03,1270.03,1220.42,1220.42,59087
#2012-09-10#,1240.26,1240.26,1240.26,1240.26,33936
#2012-09-11#,1240.26,1240.26,1240.26,1240.26,17149
#2012-09-12#,1250.19,1250.19,1250.19,1250.19,160816
#2012-09-13#,1250.19,1250.19,1250.19,1250.19,22575
#2012-09-14#,1250.19,1289.87,1250.19,1289.87,1075440
#2012-09-17#,1279.95,1279.95,1279.95,1279.95,20499
#2012-09-18#,1274.99,1274.99,1274.99,1274.99,59396
#2012-09-19#,1265.07,1265.07,1255.15,1255.15,159280
#2012-09-20#,1270.03,1279.95,1270.03,1279.95,255847
#2012-09-21#,1279.95,1284.91,1279.95,1284.91,372080
#2012-09-24#,1270.03,1270.03,1245.22,1245.22,312233
#2012-09-25#,1260.11,1270.03,1250.19,1260.11,548981
#2012-09-26#,1274.99,1279.95,1274.99,1274.99,134044
#2012-09-27#,1279.95,1279.95,1265.07,1265.07,129909
#2012-09-28#,1279.95,1279.95,1265.07,1265.07,129909
#2012-10-01#,1255.15,1265.07,1255.15,1265.07,88203
#2012-10-02#,1265.07,1265.07,1265.07,1265.07,20664
#2012-10-03#,1265.07,1274.99,1260.11,1274.99,370119
#2012-10-04#,1284.91,1289.87,1284.91,1284.91,122777
#2012-10-05#,1250.19,1250.19,1210.5,1210.5,564188
