"Date","Open","High","Low","Close","Volume"
#1991-01-01#,9.9578,10.0055,9.9102,9.9578,298000
#1991-01-02#,9.9578,10.0055,9.7672,9.7672,565800
#1991-01-03#,9.8149,9.8149,9.4814,9.529,891200
#1991-01-04#,9.4337,9.5766,9.2908,9.4814,798800
#1991-01-07#,9.4337,9.529,9.3861,9.4814,446200
#1991-01-08#,9.529,9.7672,9.4337,9.6719,412400
#1991-01-09#,9.6719,9.7196,9.4337,9.529,1056600
#1991-01-10#,9.529,9.5766,9.4814,9.529,508600
#1991-01-11#,9.529,9.5766,9.2908,9.3384,659400
#1991-01-14#,9.4814,9.6719,9.4337,9.6243,349400
#1991-01-15#,9.6243,9.7196,9.5766,9.6243,887800
#1991-01-16#,9.7196,9.7196,9.4814,9.4814,279000
#1991-01-17#,9.4337,9.6243,9.3384,9.4337,1151000
#1991-01-18#,9.4814,9.6243,9.3384,9.4814,991600
#1991-01-21#,9.4337,9.4337,9.2908,9.3384,624000
#1991-01-22#,9.3861,9.6243,9.3861,9.5766,621200
#1991-01-23#,9.5766,9.9102,9.5766,9.9102,776600
#1991-01-24#,9.8625,9.9102,9.8625,9.9102,830000
#1991-01-25#,9.9102,10.0531,9.9102,10.0055,685200
#1991-01-28#,10.0055,10.196,9.8149,9.8149,632200
#1991-01-29#,9.9102,9.9102,9.7672,9.8149,222400
#1991-01-30#,9.8149,9.9102,9.6719,9.6719,511600
#1991-01-31#,9.7196,9.7672,9.6719,9.7196,799200
#1991-02-01#,9.8149,10.0531,9.6243,9.9102,1775400
#1991-02-04#,9.7196,9.8625,9.7196,9.7672,412600
#1991-02-05#,9.7672,9.9102,9.7196,9.8625,1056000
#1991-02-06#,9.8149,10.4343,9.8149,10.3866,2072600
#1991-02-07#,10.4819,10.5772,10.1484,10.2437,1410600
#1991-02-08#,10.196,10.4343,10.1007,10.4343,613800
#1991-02-11#,10.4343,10.6725,10.4343,10.6248,864600
#1991-02-12#,10.5295,10.8154,10.4819,10.8154,1018200
#1991-02-13#,10.8154,10.9107,10.6248,10.8631,1769800
#1991-02-14#,10.7678,10.8154,10.5772,10.7678,1127800
#1991-02-15#,10.7678,10.7678,10.3866,10.5772,927200
#1991-02-18#,10.7678,10.7678,10.3866,10.5772,927200
#1991-02-19#,10.4343,10.4819,10.2913,10.3866,743400
#1991-02-20#,10.2913,10.4343,10.196,10.4343,919200
#1991-02-21#,10.4343,10.4343,10.1484,10.196,737000
#1991-02-22#,10.1484,10.1484,9.8149,9.9102,1411200
#1991-02-25#,10.0055,10.0055,9.7196,9.7672,1105200
#1991-02-26#,9.7672,10.1007,9.7672,10.1007,2611400
#1991-02-27#,10.196,10.5772,10.1484,10.4343,2043400
#1991-02-28#,10.5772,10.5772,10.3866,10.4343,818600
#1991-03-01#,10.4343,10.6725,10.339,10.6725,1317400
#1991-03-04#,10.6725,10.7201,10.5295,10.5295,691400
#1991-03-05#,10.6248,10.9584,10.5772,10.8631,1216000
#1991-03-06#,11.006,11.1013,10.9107,11.006,1511000
#1991-03-07#,10.9584,11.1966,10.8154,10.8154,923000
#1991-03-08#,10.8631,10.9107,10.6725,10.7678,610800
#1991-03-11#,10.7201,10.7201,10.3866,10.4343,418800
