"Date","Open","High","Low","Close","Volume"
#1995-01-02#,22.3125,22.5,22.3125,22.3125,1634200
#1995-01-03#,22.4375,22.625,22.25,22.25,2240800
#1995-01-04#,22.1875,22.5,22.1875,22.5,2031000
#1995-01-05#,22.375,22.5,22.25,22.5,1377800
#1995-01-06#,22.4375,22.5,21.875,22.125,2206000
#1995-01-09#,22,22.125,21.9375,22.0625,966000
#1995-01-10#,22.0625,22.25,21.875,22.125,1525600
#1995-01-11#,22.1875,22.375,21.8125,21.875,3214600
#1995-01-12#,21.875,21.9375,21.6875,21.6875,1900200
#1995-01-13#,21.875,22.0625,21.6875,22.0625,1818800
#1995-01-16#,22,22.125,22,22.0625,685000
#1995-01-17#,22.0625,22.375,22.0625,22.375,1218400
#1995-01-18#,22.3125,22.8125,22.3125,22.8125,1861400
#1995-01-19#,22.6875,22.875,22.625,22.8125,1412200
#1995-01-20#,22.75,23.125,22.75,23.125,2689000
#1995-01-23#,22.875,23.1875,22.875,23.0625,2295200
#1995-01-24#,23,23.25,22.9375,23.125,2766600
#1995-01-25#,23.1875,23.6875,23.0625,23.4375,2899200
#1995-01-26#,23.375,23.375,23.1875,23.25,1561200
#1995-01-27#,23.1875,23.1875,22.9375,23.125,1448200
#1995-01-30#,23,23.0625,22.25,22.6875,1620600
#1995-01-31#,22.625,22.625,22.1875,22.3125,2221000
#1995-02-01#,22.4375,22.5625,22.0625,22.4375,1917000
#1995-02-02#,22.4375,22.75,22.4375,22.6875,1051400
#1995-02-03#,22.6875,22.9375,22.625,22.875,1409600
#1995-02-06#,22.75,23.375,22.75,23.375,1534400
#1995-02-07#,23.3125,23.375,23.1875,23.1875,1121400
#1995-02-08#,23.1875,23.5,23.1875,23.4375,1692200
#1995-02-09#,23.5,23.5,23.3125,23.375,1071000
#1995-02-10#,23.4375,23.4375,22.8125,22.8125,1306400
#1995-02-13#,22.6875,23.375,22.625,23.1875,1490200
#1995-02-14#,23.1875,23.4375,23.1875,23.375,1220000
#1995-02-15#,23.375,23.5625,23.25,23.5,1953400
#1995-02-16#,23.5,23.5625,23.4375,23.5,1980400
#1995-02-17#,23.5,23.625,23.5,23.5,3164000
#1995-02-20#,23.5,23.625,23.5,23.5,3164000
#1995-02-21#,23.4375,23.6875,23.4375,23.625,2316400
#1995-02-22#,23.5625,23.6875,23.5625,23.5625,1012000
#1995-02-23#,23.5,23.5,23.1875,23.375,2307000
#1995-02-24#,23.3125,23.6875,23.25,23.5,1421000
#1995-02-27#,23.625,23.8125,23.5625,23.625,1606400
#1995-02-28#,23.6875,23.875,23.5625,23.8125,1838200
#1995-03-01#,23.625,23.75,23.5,23.625,1539800
#1995-03-02#,23.5625,23.6875,23.5,23.6875,894800
#1995-03-03#,23.5625,23.625,23.3125,23.4375,1498200
#1995-03-06#,23.4375,23.75,23.375,23.75,2383600
#1995-03-07#,23.75,23.75,23.4375,23.5625,1347200
#1995-03-08#,23.625,23.9375,23.5625,23.8125,2229000
#1995-03-09#,23.875,23.875,23.5625,23.75,1279400
#1995-03-10#,23.8125,24.0625,23.6875,24,2327200
#1995-03-13#,23.9375,23.9375,23.75,23.8125,1497400
#1995-03-14#,23.8125,23.875,23.25,23.375,1981200
#1995-03-15#,23.375,23.6875,23.3125,23.5,1743200
#1995-03-16#,23.5,23.75,23.5,23.6875,2199200
#1995-03-17#,23.8125,24,23.75,24,4927800
#1995-03-20#,23.9375,24,23.875,23.9375,1333600
#1995-03-21#,23.8125,24,23.6875,23.875,1472600
#1995-03-22#,23.875,24.25,23.875,24.0625,3156800
#1995-03-23#,24.125,24.1875,23.75,24,1176800
#1995-03-24#,24.125,24.25,24,24.25,2145200
#1995-03-27#,24.25,24.25,23.875,24.0625,2288600
#1995-03-28#,23.8125,23.875,23.5,23.625,2185400
#1995-03-29#,23.75,23.9375,23.625,23.75,2474200
#1995-03-30#,23.875,23.875,23.3125,23.625,2109200
#1995-03-31#,23.5,24.25,23.1875,24,4300400
#1995-04-03#,23.875,23.875,23.1875,23.1875,2165200
#1995-04-04#,23.25,23.6875,23.1875,23.5,2781800
#1995-04-05#,23.5,23.6875,23.3125,23.4375,1809800
#1995-04-06#,23.5,23.5,23.125,23.125,1061400
#1995-04-07#,23.125,23.125,22.5,22.75,2250400
#1995-04-10#,22.75,22.875,22.625,22.8125,2354800
#1995-04-11#,22.9375,23,22.4375,22.5625,1805600
#1995-04-12#,22.625,22.6875,22.375,22.5,2030200
#1995-04-13#,22.5,22.5625,22.3125,22.4375,1800600
#1995-04-14#,22.5,22.5625,22.3125,22.4375,1800600
#1995-04-17#,22.6875,22.8125,22.125,22.25,1969800
#1995-04-18#,22.4375,22.75,22.3125,22.75,2285200
#1995-04-19#,22.75,22.8125,22.4375,22.75,1403000
#1995-04-20#,22.9375,23.4375,22.625,23.375,2578400
#1995-04-21#,23.5,23.5,23.125,23.25,2584200
#1995-04-24#,23.25,23.4375,22.875,23.25,1823200
#1995-04-25#,23.25,23.8125,23.1875,23.75,1882600
#1995-04-26#,23.5625,23.75,23.4375,23.5,1645600
#1995-04-27#,23.4375,24.125,23.4375,24,2368000
#1995-04-28#,23.875,23.875,23.375,23.6875,2088000
#1995-05-01#,24,24.5625,24,24.4375,3515400
#1995-05-02#,24.375,24.4375,24.25,24.375,3028600
#1995-05-03#,24.3125,24.375,24,24.375,2329200
#1995-05-04#,24.375,24.5625,24.0625,24.25,1965800
#1995-05-05#,24.3125,24.375,23.9375,24.375,1718000
#1995-05-08#,24.375,24.4375,24.0625,24.375,1214200
#1995-05-09#,24.5,24.9375,24.125,24.25,1564600
#1995-05-10#,24.25,24.625,24,24.625,3593400
#1995-05-11#,24.4375,24.4375,23.6875,23.8125,2351800
#1995-05-12#,23.8125,23.9375,23.5625,23.6875,2127800
#1995-05-15#,23.75,24.3125,23.6875,24.3125,1496200
#1995-05-16#,24.3125,24.625,24.25,24.5625,1448600
#1995-05-17#,24.5625,24.5625,24,24.375,1123000
#1995-05-18#,24.375,24.4375,23.875,23.875,1150200
#1995-05-19#,23.75,24.125,23.4375,23.8125,2414800
#1995-05-22#,23.875,23.9375,23.625,23.8125,1921200
#1995-05-23#,23.8125,24.375,23.75,24.3125,1399400
#1995-05-24#,24.25,24.5,24,24.3125,1804600
#1995-05-25#,24.25,24.375,23.9375,24.125,1266400
#1995-05-26#,24.0625,24.125,23.375,23.8125,1274600
#1995-05-29#,24.0625,24.125,23.375,23.8125,1274600
#1995-05-30#,23.8125,24.1875,23.5,24.1875,1097200
#1995-05-31#,24.125,24.5625,24.0625,24.5625,1773600
#1995-06-01#,24.5625,24.875,24.5,24.75,2387200
#1995-06-02#,24.625,24.875,24.3125,24.375,1751800
#1995-06-05#,24.375,24.5,24.0625,24.4375,1248600
#1995-06-06#,24.4375,24.75,24.1875,24.25,1167800
#1995-06-07#,24.0625,24.125,23.875,24,984000
#1995-06-08#,24.125,24.1875,23.9375,24,1062800
#1995-06-09#,24,24.0625,23.875,23.9375,930200
#1995-06-12#,24.25,24.375,24.125,24.3125,1419800
#1995-06-13#,24.4375,24.5,24.25,24.5,960400
#1995-06-14#,24.5,24.5,24.3125,24.5,1198000
#1995-06-15#,24.5625,24.6875,24.5,24.625,1232600
#1995-06-16#,24.6875,24.75,24.4375,24.5,3078200
#1995-06-19#,24.5,24.5,24.125,24.3125,1139400
#1995-06-20#,24.25,24.25,23.6875,23.6875,2014000
#1995-06-21#,23.625,23.625,23.1875,23.375,2851800
#1995-06-22#,23.375,23.375,23,23.25,2775400
#1995-06-23#,23.25,23.8125,23.1875,23.75,2064200
#1995-06-26#,23.75,23.875,23.125,23.375,1383800
#1995-06-27#,23.375,23.8125,23.375,23.625,1383600
#1995-06-28#,23.8125,24.375,23.6875,24.1875,2011000
#1995-06-29#,24.125,24.25,23.4375,23.5,1604200
#1995-06-30#,23.5625,23.75,23.0625,23.1875,1246800
