"Date","Open","High","Low","Close","Volume"
#1992-01-01#,21.9678,22.2053,21.4335,22.146,2429400
#1992-01-02#,22.0272,22.146,21.7304,22.0866,1638400
#1992-01-03#,22.0272,22.146,21.7897,22.0272,1944400
#1992-01-06#,21.8491,21.9678,21.5522,21.6116,1827200
#1992-01-07#,21.3741,22.0866,21.3147,21.9085,1795600
#1992-01-08#,21.7897,22.5616,21.7304,22.0272,2508600
#1992-01-09#,22.2053,22.3835,21.7304,22.0866,2054600
#1992-01-10#,21.9678,22.146,21.671,21.9678,1922400
#1992-01-13#,21.7897,22.146,21.7897,21.9678,1448600
#1992-01-14#,21.9678,22.3835,21.7897,22.3835,1717800
#1992-01-15#,22.4428,22.7397,22.3241,22.7397,2627400
#1992-01-16#,22.9178,23.5115,22.7991,23.274,3687200
#1992-01-17#,23.5115,23.9865,23.5115,23.9865,4731000
#1992-01-20#,23.8678,23.8678,23.5115,23.6303,1787200
#1992-01-21#,23.5115,23.8084,23.1553,23.6303,2041800
#1992-01-22#,23.4522,23.6896,23.274,23.3928,1424200
#1992-01-23#,23.274,23.5709,22.8584,22.8584,1754800
#1992-01-24#,22.7991,23.274,22.7991,22.9178,1522000
#1992-01-27#,22.8584,22.9178,22.5616,22.9178,1188600
#1992-01-28#,22.7397,23.2147,22.5616,23.1553,1564400
#1992-01-29#,22.9178,23.9865,22.7991,22.9178,2499200
#1992-01-30#,23.2147,23.2147,22.5616,22.6209,1409600
#1992-01-31#,22.5616,22.5616,21.9085,22.0866,1542200
#1992-02-03#,22.0866,22.2053,21.8491,21.8491,1262000
#1992-02-04#,21.9085,22.8584,21.9085,22.7991,1759400
#1992-02-05#,22.7991,22.8584,22.3241,22.3835,1690800
#1992-02-06#,22.3241,22.9178,22.2647,22.9178,1073600
#1992-02-07#,22.8584,23.0959,22.146,22.8584,1633800
#1992-02-10#,22.7397,22.7397,22.0866,22.5022,849200
#1992-02-11#,22.2647,22.5616,22.0866,22.2053,2020800
#1992-02-12#,22.146,22.7991,21.9678,22.4428,2030200
#1992-02-13#,22.5022,22.7397,22.3241,22.5616,1895400
#1992-02-14#,22.4428,22.9178,22.3241,22.6803,1630400
#1992-02-17#,22.4428,22.9178,22.3241,22.6803,1630400
#1992-02-18#,22.3835,22.6803,21.7304,22.0866,1579800
#1992-02-19#,22.0272,22.5022,22.0272,22.2053,1184800
#1992-02-20#,22.2647,22.6209,21.9678,22.4428,1594000
#1992-02-21#,22.3835,22.9178,22.3835,22.9178,2722400
#1992-02-24#,22.5616,22.6209,22.2647,22.3835,1908600
#1992-02-25#,22.3241,22.6209,21.9678,22.3241,1767200
#1992-02-26#,22.3241,22.3835,21.9085,21.9678,1854600
#1992-02-27#,21.9678,22.146,21.8491,22.0866,1273000
#1992-02-28#,22.146,22.2053,21.9085,21.9678,1655600
#1992-03-02#,22.0272,22.0272,21.4929,21.4929,1289000
#1992-03-03#,21.6116,21.7304,21.2554,21.5522,2207000
#1992-03-04#,21.6116,21.7304,21.196,21.196,2000800
#1992-03-05#,21.0773,21.3741,20.8991,21.0773,2122600
#1992-03-06#,21.3147,21.3147,20.8398,20.8991,1571000
#1992-03-09#,21.0773,21.0773,20.6616,20.7804,1146200
#1992-03-10#,20.8991,21.0773,20.8398,20.8991,1783800
#1992-03-11#,20.8991,21.0179,20.6616,20.8991,1931400
#1992-03-12#,20.8991,21.1366,20.7804,20.9585,1644800
#1992-03-13#,20.9585,21.1366,20.8398,21.1366,1748000
#1992-03-16#,21.1366,21.1366,20.8398,21.1366,1282600
#1992-03-17#,21.1366,21.6116,21.1366,21.5522,1622200
#1992-03-18#,21.4929,21.5522,21.2554,21.4335,1158800
#1992-03-19#,21.4929,21.7304,21.4335,21.671,1267000
#1992-03-20#,21.7304,22.0272,21.5522,21.9085,3952200
#1992-03-23#,21.9678,22.3241,21.9085,22.2647,1696600
#1992-03-24#,22.3241,22.6803,22.3241,22.4428,2428000
#1992-03-25#,22.4428,22.4428,22.0866,22.3241,1991800
#1992-03-26#,22.4428,22.5022,22.2647,22.4428,1865800
#1992-03-27#,22.3835,22.7991,22.3241,22.6803,2085800
#1992-03-30#,22.5616,22.6803,22.4428,22.4428,1302000
#1992-03-31#,22.3835,22.7397,22.3241,22.6209,1367400
#1992-04-01#,22.5616,22.8584,22.4428,22.4428,1851000
#1992-04-02#,22.5616,22.5616,21.9678,22.0866,1320200
#1992-04-03#,22.0866,22.3241,21.7897,22.146,2175400
#1992-04-06#,22.3241,22.9178,22.3241,22.9178,2529800
#1992-04-07#,22.8584,22.8584,21.9678,22.0272,1847400
#1992-04-08#,21.8491,22.3835,21.7897,22.3241,2116400
#1992-04-09#,22.3241,22.7397,22.2053,22.5616,1660200
#1992-04-10#,22.7397,22.9178,22.3835,22.5022,1409200
#1992-04-13#,22.5022,22.6209,22.4428,22.5022,923000
#1992-04-14#,22.5022,22.8584,22.3835,22.8584,1743000
#1992-04-15#,22.7991,23.5115,22.7397,23.4522,2198800
#1992-04-16#,23.6303,23.9865,23.6303,23.8678,4081800
#1992-04-17#,23.6303,23.9865,23.6303,23.8678,4081800
#1992-04-20#,23.5115,23.8678,23.5115,23.5115,1931400
#1992-04-21#,23.5115,24.1646,23.5115,24.0459,1668200
#1992-04-22#,23.9271,24.0459,23.6303,23.6303,1343600
#1992-04-23#,23.5115,24.699,23.5115,24.699,2116600
#1992-04-24#,24.4615,24.5802,23.9865,24.224,1856800
#1992-04-27#,24.224,24.224,23.6303,23.6303,1666200
#1992-04-28#,23.6303,24.5209,23.6303,24.224,2271600
#1992-04-29#,24.5209,25.1146,24.4021,24.9958,4673200
#1992-04-30#,25.0552,26.0646,25.0552,25.7677,5032800
#1992-05-01#,25.6489,25.8864,25.5302,25.6489,3141000
#1992-05-04#,25.6489,25.8864,25.5896,25.7083,2312200
#1992-05-05#,25.6489,25.7677,25.4708,25.4708,1699400
#1992-05-06#,25.4708,25.7083,25.4115,25.4708,2314400
#1992-05-07#,25.5302,25.5896,25.0552,25.174,2190600
#1992-05-08#,25.2927,25.3521,24.9958,25.1146,1310600
#1992-05-11#,24.8771,25.2927,24.8177,25.2333,1577400
#1992-05-12#,25.2927,25.2927,24.5209,24.699,2034600
#1992-05-13#,24.7584,25.3521,24.699,25.2333,1514800
#1992-05-14#,25.174,25.2333,24.9958,25.2333,1477200
#1992-05-15#,25.174,25.4708,25.1146,25.3521,3263800
#1992-05-18#,25.3521,25.4708,24.9365,25.0552,1136400
#1992-05-19#,25.0552,25.2927,24.699,25.2333,1332200
#1992-05-20#,25.3521,25.6489,25.2333,25.4708,1483000
#1992-05-21#,25.2927,25.4115,25.0552,25.2333,2115400
#1992-05-22#,25.174,25.174,24.8771,24.9365,1110200
#1992-05-25#,25.174,25.174,24.8771,24.9365,1110200
#1992-05-26#,24.8771,25.4708,24.7584,25.4708,2901800
#1992-05-27#,25.2333,25.2927,24.9958,24.9958,1197200
#1992-05-28#,25.0552,25.1146,24.9365,25.0552,1493400
#1992-05-29#,25.1146,25.2927,24.9958,25.0552,1695000
#1992-06-01#,24.8771,25.174,24.7584,25.174,1318200
#1992-06-02#,25.174,25.4708,25.0552,25.3521,1579800
#1992-06-03#,25.174,25.2927,24.8771,24.8771,1947800
#1992-06-04#,24.8771,24.8771,24.5802,24.6396,2143600
#1992-06-05#,24.2834,24.6396,24.224,24.4021,2127800
#1992-06-08#,24.3427,24.4615,24.1646,24.2834,1318200
#1992-06-09#,24.4021,24.6396,24.1646,24.5802,1582000
#1992-06-10#,24.4615,24.5802,24.3427,24.3427,1834200
#1992-06-11#,24.5802,24.699,24.4021,24.699,1609800
#1992-06-12#,24.7584,24.9365,24.5802,24.5802,1312800
#1992-06-15#,24.5209,25.0552,24.4615,25.0552,1342600
#1992-06-16#,24.7584,25.0552,24.7584,24.9365,1303200
#1992-06-17#,24.8177,25.1146,24.4615,24.5802,2295200
#1992-06-18#,24.4021,24.4021,23.9271,23.9865,1919400
#1992-06-19#,24.0459,24.2834,23.8678,24.1053,3556800
#1992-06-22#,23.8678,23.9271,23.4522,23.6303,2013000
#1992-06-23#,23.8084,23.9865,23.749,23.8678,1604200
#1992-06-24#,23.8678,24.1053,23.8084,24.0459,1216800
#1992-06-25#,24.1053,24.4615,24.1053,24.224,1594200
#1992-06-26#,24.1053,24.2834,23.9865,24.1646,611200
#1992-06-29#,24.1053,24.3427,23.9865,23.9865,1119400
#1992-06-30#,24.1053,24.224,23.9271,23.9865,1211600
#1992-07-01#,23.9865,24.3427,23.9865,24.2834,1664200
#1992-07-02#,24.2834,24.3427,23.8084,23.8678,1548800
#1992-07-03#,24.2834,24.3427,23.8084,23.8678,1548800
#1992-07-06#,23.9271,23.9865,23.6303,23.749,1481800
#1992-07-07#,23.6896,23.8084,23.2147,23.2147,1971400
#1992-07-08#,23.1553,23.3928,23.0959,23.2147,1472600
#1992-07-09#,23.274,23.3928,23.0959,23.3928,1220200
#1992-07-10#,23.5115,23.5115,23.0959,23.1553,1109200
#1992-07-13#,23.1553,23.274,23.0959,23.274,615200
#1992-07-14#,23.2147,23.6896,23.1553,23.6303,1743600
#1992-07-15#,23.6303,23.749,23.3928,23.4522,1297600
#1992-07-16#,23.3334,23.8678,23.2147,23.8678,1510200
#1992-07-17#,23.749,23.8084,23.4522,23.5709,2325800
#1992-07-20#,23.274,23.5115,23.1553,23.4522,991800
#1992-07-21#,23.4522,23.6303,23.3928,23.5115,625400
