"Date","Open","High","Low","Close","Volume"
#1997-01-01#,40.6087,40.6087,40.3904,40.3904,270800
#1997-01-02#,40.4996,40.4996,39.7354,39.8446,249133
#1997-01-03#,39.9538,39.9538,39.6263,39.8446,400933
#1997-01-06#,39.8446,39.8446,39.2988,39.408,721533
#1997-01-07#,39.2988,39.8446,39.1896,39.8446,269400
#1997-01-08#,39.9538,39.9538,39.408,39.6263,322133
#1997-01-09#,39.7354,39.9538,39.5171,39.8446,426000
#1997-01-10#,39.408,39.6263,39.2988,39.5171,394600
#1997-01-13#,39.5171,39.7354,39.2988,39.7354,914867
#1997-01-14#,39.9538,40.0629,39.7354,40.0629,600533
#1997-01-15#,40.0629,40.4996,39.9538,40.3904,427200
#1997-01-16#,40.3904,40.4996,40.1721,40.3904,578267
#1997-01-17#,40.3904,40.9362,40.3904,40.9362,446200
#1997-01-20#,41.0454,41.0454,40.7179,40.9362,274400
#1997-01-21#,40.8271,41.1546,40.7179,40.9362,577267
#1997-01-22#,40.9362,41.2637,40.8271,41.2637,759933
#1997-01-23#,41.4821,41.9187,41.3729,41.7004,506133
#1997-01-24#,41.7004,41.7004,41.3729,41.5912,590200
#1997-01-27#,41.4821,41.5912,41.1546,41.3729,740600
#1997-01-28#,41.4821,41.7004,41.0454,41.2637,1181400
#1997-01-29#,41.2637,41.3729,41.0454,41.1546,321333
#1997-01-30#,41.1546,41.3729,41.0454,41.2637,432400
#1997-01-31#,41.2637,41.2637,40.9362,40.9362,270600
#1997-02-03#,40.9362,41.0454,40.6087,40.7179,98600
#1997-02-04#,40.7179,40.7179,40.2813,40.4996,456400
#1997-02-05#,40.4996,40.4996,39.8446,40.0629,271400
#1997-02-06#,39.9538,39.9538,39.408,39.5171,800333
#1997-02-07#,39.7354,39.7354,39.2988,39.6263,708467
#1997-02-10#,39.6263,39.7354,39.5171,39.7354,364533
#1997-02-11#,39.7354,40.0629,39.6263,39.9538,850067
#1997-02-12#,39.6263,39.9538,39.4898,39.9538,568867
#1997-02-13#,39.9538,40.4996,39.9538,40.3904,724733
#1997-02-14#,40.3904,40.3904,39.7354,40.1721,536067
#1997-02-17#,40.3904,40.3904,39.7354,40.1721,536067
#1997-02-18#,40.1721,40.2813,39.8446,39.9538,284333
#1997-02-19#,39.9538,40.1721,39.7354,40.0629,299200
#1997-02-20#,39.9538,40.0629,39.7354,39.8446,340067
#1997-02-21#,39.8446,39.9538,39.6263,39.7354,421067
#1997-02-24#,39.6263,39.9538,39.5171,39.7354,398333
#1997-02-25#,39.6263,39.6263,39.2988,39.5171,623400
#1997-02-26#,39.408,39.5171,38.753,38.8621,659267
#1997-02-27#,38.753,38.9713,38.6438,38.753,484533
#1997-02-28#,38.5346,39.0805,38.5346,38.6438,494533
#1997-03-03#,38.4255,38.753,38.3163,38.6438,617133
#1997-03-04#,38.6438,38.8621,38.5346,38.753,484067
#1997-03-05#,38.753,39.0805,38.753,38.8621,616533
#1997-03-06#,38.8621,38.9713,38.4255,38.753,574600
#1997-03-07#,38.753,38.9713,38.6438,38.9713,570667
#1997-03-10#,38.9713,39.2988,38.8621,39.2988,325267
#1997-03-11#,39.1896,39.2988,38.4255,38.5346,355400
#1997-03-12#,38.4255,38.6438,38.098,38.3163,389800
#1997-03-13#,38.098,38.2072,37.8797,37.9888,348600
#1997-03-14#,37.9888,38.5346,37.9888,38.5346,382267
#1997-03-17#,38.4255,38.5346,38.098,38.5346,244000
#1997-03-18#,38.753,38.8621,38.4255,38.5346,494400
#1997-03-19#,38.5346,38.5346,38.098,38.4255,276667
#1997-03-20#,38.4255,38.5346,38.098,38.3163,459133
#1997-03-21#,38.3163,38.4255,38.2072,38.3163,448933
#1997-03-24#,38.4255,38.4255,38.3163,38.4255,470733
#1997-03-25#,38.5346,39.1896,38.5346,38.753,543333
#1997-03-26#,38.9713,39.0805,38.753,38.9713,451533
#1997-03-27#,39.0805,39.0805,38.753,38.753,558800
#1997-03-28#,39.0805,39.0805,38.753,38.753,558800
#1997-03-31#,38.753,38.8621,38.3163,38.5346,350200
#1997-04-01#,38.5346,38.753,38.3163,38.753,973400
#1997-04-02#,38.5346,39.0805,38.5346,38.753,345867
#1997-04-03#,38.6438,38.753,38.4255,38.6438,308267
#1997-04-04#,38.3163,38.5346,38.2072,38.3163,151067
#1997-04-07#,38.4255,38.5346,38.2072,38.4255,170000
#1997-04-08#,38.3163,38.4255,37.9888,38.098,462000
#1997-04-09#,38.2072,38.2072,37.8797,37.9888,478400
#1997-04-10#,37.8797,38.098,37.8797,38.098,577667
#1997-04-11#,37.6613,37.6613,37.3338,37.5522,327533
#1997-04-14#,37.443,37.5522,37.0064,37.0064,468200
#1997-04-15#,37.1155,37.2247,36.6789,36.788,431000
#1997-04-16#,36.788,37.443,36.5697,37.443,803867
#1997-04-17#,37.3338,37.9888,37.3338,37.6613,605733
#1997-04-18#,37.7705,37.9888,37.7705,37.7705,277867
#1997-04-21#,37.9888,37.9888,37.2247,37.443,281133
#1997-04-22#,37.3338,37.5522,36.8972,37.3338,219200
#1997-04-23#,37.443,37.9888,37.443,37.7705,433267
#1997-04-24#,37.7705,37.9888,37.2247,37.3338,322200
#1997-04-25#,37.3338,37.3338,36.6789,36.788,277000
#1997-04-28#,36.6789,37.6613,36.6789,37.5522,453933
#1997-04-29#,38.098,38.2072,37.7705,38.098,553733
#1997-04-30#,38.098,38.3163,37.7705,38.3163,429133
#1997-05-01#,38.4255,38.5346,38.2072,38.5346,389200
#1997-05-02#,38.6438,39.2988,38.5346,39.2988,283067
#1997-05-05#,39.408,40.3904,39.1896,40.1721,444333
#1997-05-06#,40.2813,40.2813,39.7354,39.8446,521400
#1997-05-07#,39.8446,39.9538,39.1896,39.2988,375333
#1997-05-08#,39.2988,39.7354,39.2988,39.408,432267
#1997-05-09#,39.7354,39.9538,39.2988,39.8446,479333
#1997-05-12#,39.9538,40.8271,39.9538,40.1721,334667
#1997-05-13#,40.1721,40.2813,39.6263,39.7354,970867
#1997-05-14#,39.408,39.6263,39.0805,39.2988,709333
#1997-05-15#,39.2988,39.408,39.0805,39.408,759400
#1997-05-16#,39.2988,39.408,38.8621,39.0805,725800
#1997-05-19#,39.0805,39.2988,39.0805,39.1896,213267
#1997-05-20#,38.9713,39.2988,38.753,39.2988,229800
#1997-05-21#,39.2988,39.408,38.6438,39.2988,253000
#1997-05-22#,39.2988,39.2988,38.8621,39.0805,643067
#1997-05-23#,39.1896,39.2988,38.8621,38.9713,455933
#1997-05-26#,39.1896,39.2988,38.8621,38.9713,455933
#1997-05-27#,38.6438,39.0805,38.5346,38.8621,263267
#1997-05-28#,38.753,38.9167,38.6438,38.8621,548200
#1997-05-29#,38.8621,38.8621,38.6438,38.753,494067
#1997-05-30#,38.6438,39.408,38.6438,39.408,812000
#1997-06-02#,39.5171,39.5171,39.1896,39.408,510867
#1997-06-03#,39.2988,39.6263,39.2988,39.408,240267
#1997-06-04#,39.2988,39.408,39.1896,39.1896,203733
#1997-06-05#,39.2988,39.5171,39.2988,39.408,369733
#1997-06-06#,39.2988,39.6263,39.2988,39.5171,360200
#1997-06-09#,39.5171,39.6263,39.1896,39.2988,516867
#1997-06-10#,39.408,39.5171,39.0805,39.0805,384733
