"Date","Open","High","Low","Close","Volume"
#2004-01-01#,27.5577,27.9946,27.4971,27.9476,2384400
#2004-01-02#,27.9476,28.0686,27.5845,27.6518,2251100
#2004-01-05#,27.6719,28.6266,27.6518,28.1762,2635400
#2004-01-06#,28.035,28.0955,27.5308,27.8535,2132200
#2004-01-07#,27.6988,27.9678,27.3627,27.914,3489500
#2004-01-08#,27.8871,28.5258,27.8736,28.4989,2977700
#2004-01-09#,28.2703,28.277,27.5644,27.6182,2474200
#2004-01-12#,27.5039,27.9678,27.403,27.9274,3398800
#2004-01-13#,28.035,28.1022,27.5711,27.7324,3042200
#2004-01-14#,27.7728,27.8333,27.4971,27.5913,2331800
#2004-01-15#,27.6988,27.7324,27.3358,27.356,2548900
#2004-01-16#,27.5577,27.6787,27.4299,27.6383,3089200
#2004-01-19#,27.5577,27.6787,27.4299,27.6383,3089200
#2004-01-20#,27.2282,27.5509,27.2148,27.3022,3237500
#2004-01-21#,27.2484,27.8938,26.7912,27.7661,5107500
#2004-01-22#,27.6988,27.6988,27.3627,27.4232,4041900
#2004-01-23#,27.3358,27.5106,26.9929,27.0669,3820200
#2004-01-26#,27.0265,27.3963,27.0265,27.356,3428500
#2004-01-27#,27.3627,27.5577,27.1744,27.282,3755700
#2004-01-28#,27.282,28.3039,27.2282,27.6316,6658000
#2004-01-29#,28.7409,28.7409,27.4299,27.7392,7125100
#2004-01-30#,27.8333,28.2905,27.7795,28.2031,4623400
#2004-02-02#,27.9005,28.2703,27.8938,28.0215,4363900
#2004-02-03#,28.0484,28.0686,27.3896,27.5577,4142200
#2004-02-04#,27.3963,27.9476,27.356,27.7324,3798900
#2004-02-05#,27.7324,28.3308,27.6383,28.1762,3460400
#2004-02-06#,28.0686,28.5728,27.9678,28.2837,2937200
#2004-02-09#,28.3039,28.3711,28.0686,28.0955,3001200
#2004-02-10#,28.3711,28.5661,27.9678,28.3711,2442500
#2004-02-11#,28.2367,29.3796,28.2031,29.3325,5444000
#2004-02-12#,29.1107,29.5544,29.0838,29.467,4633800
#2004-02-13#,29.3124,29.5813,28.8955,29.1039,3100400
#2004-02-16#,29.3124,29.5813,28.8955,29.1039,3100400
#2004-02-17#,28.909,29.346,28.909,28.9964,2620900
#2004-02-18#,28.9426,29.4872,28.909,29.2451,2548100
#2004-02-19#,29.2317,29.5544,28.9964,29.0165,2770300
#2004-02-20#,29.2115,29.4401,28.6266,28.788,3828600
#2004-02-23#,28.8417,28.9359,28.788,28.8821,2402600
#2004-02-24#,28.7073,28.9762,28.5728,28.8014,2667300
#2004-02-25#,28.8014,29.5006,28.7543,29.4132,3864000
#2004-02-26#,29.0233,29.1712,28.9493,29.0031,2364100
#2004-02-27#,29.0031,29.4804,28.9829,29.225,2940000
#2004-03-01#,29.2586,29.7292,29.2586,29.4266,3328100
#2004-03-02#,29.4266,29.5275,28.9829,28.9964,2841600
#2004-03-03#,28.909,28.9762,28.7275,28.909,3286200
#2004-03-04#,28.9224,29.1913,28.7745,29.1107,1994300
#2004-03-05#,28.7409,28.909,28.3375,28.4451,4298700
#2004-03-08#,28.2972,28.5594,28.1089,28.1291,4811200
#2004-03-09#,29.0771,29.0771,27.2215,27.5039,6086000
#2004-03-10#,27.3829,27.4568,26.5895,26.8316,5293900
#2004-03-11#,26.0719,27.087,25.8836,26.2063,7408100
#2004-03-12#,26.6904,26.8921,26.2198,26.4685,3954800
#2004-03-15#,26.3139,26.3139,25.6147,25.7693,3453700
#2004-03-16#,26.0988,26.3542,25.7492,26.0382,3780500
#2004-03-17#,25.9172,26.6568,25.9172,26.361,3619700
#2004-03-18#,26.3004,26.4887,26.1862,26.408,2818300
#2004-03-19#,26.408,26.5559,26.2803,26.3206,4059800
#2004-03-22#,26.0046,26.213,25.2046,25.3659,4471400
#2004-03-23#,25.655,26.5358,25.5475,26.2332,4732700
#2004-03-24#,26.1189,26.5425,25.9576,26.2736,4014100
#2004-03-25#,26.3946,27.0736,26.3273,26.8585,3062000
#2004-03-26#,26.7307,26.9526,26.4887,26.7173,2100600
#2004-03-29#,26.919,27.4971,26.8921,27.3358,3980700
#2004-03-30#,27.2282,27.2955,27.0333,27.1274,2636600
#2004-03-31#,27.1744,27.2148,26.8853,27.0803,1706500
#2004-04-01#,27.087,27.7324,27.087,27.2484,2144300
#2004-04-02#,27.5173,28.1291,27.5173,27.8266,2731300
#2004-04-05#,27.793,27.8871,27.3156,27.6114,2752300
#2004-04-06#,27.5375,27.8333,27.4097,27.8333,1815100
#2004-04-07#,27.6182,27.6921,27.1207,27.3829,2018500
#2004-04-08#,27.6249,27.7526,27.2081,27.4165,1757600
#2004-04-09#,27.6249,27.7526,27.2081,27.4165,1757600
#2004-04-12#,27.4165,28.0283,27.3963,27.8333,1624500
#2004-04-13#,28.0014,28.0484,27.2887,27.4232,3186500
#2004-04-14#,27.3358,28.1426,27.3358,27.5644,2731700
#2004-04-15#,27.7862,27.8804,27.3963,27.6383,2964200
#2004-04-16#,27.84,28.035,27.5913,28.0283,2391700
#2004-04-19#,28.0215,28.0955,27.6988,28.035,2078600
#2004-04-20#,27.9946,28.1896,27.2753,27.2753,1995300
#2004-04-21#,27.0938,27.4904,26.7643,27.4703,3033600
#2004-04-22#,27.4703,28.4048,27.3694,28.1426,2823000
#2004-04-23#,27.8535,28.5123,27.4635,27.8333,2105400
#2004-04-26#,27.9879,28.3846,27.9409,28.0417,2304600
#2004-04-27#,28.1358,28.5392,27.961,28.156,2905100
#2004-04-28#,27.9745,28.0619,27.4232,27.5106,2628700
#2004-04-29#,27.5442,27.6047,26.2198,26.6702,5978100
#2004-04-30#,26.8921,26.9795,26.4954,26.6837,3879700
#2004-05-03#,26.9391,26.9526,26.5223,26.7643,3203900
#2004-05-04#,26.8853,27.1946,26.5963,27.1475,3445100
#2004-05-05#,27.1475,27.1475,26.7576,26.8719,1987500
#2004-05-06#,26.5895,26.7307,26.2736,26.4551,2723600
#2004-05-07#,26.2534,26.4618,25.4735,25.4735,4905800
#2004-05-10#,25.3054,25.3928,24.6735,24.9424,7127900
#2004-05-11#,25.0701,25.6013,25.0365,25.6013,4185900
#2004-05-12#,25.4601,25.4601,24.7071,25.0769,5998200
