"Date","Open","High","Low","Close","Volume"
#2017-01-02#,11.7,11.7,11.7,11.7,165000
#2017-01-03#,11.7,11.7,11.7,11.7,165000
#2017-01-04#,11.7,11.7,11.7,11.7,165000
#2017-01-05#,11.7,11.7,11.7,11.7,165000
#2017-01-06#,11.4,11.4,11.4,11.4,1370000
#2017-01-09#,11.4,11.4,11.4,11.4,1370000
#2017-01-10#,11.4,11.4,11.4,11.4,1370000
#2017-01-11#,11.4,11.4,11.4,11.4,200000
#2017-01-12#,11.4,11.4,11.4,11.4,330000
#2017-01-13#,11.4,11.4,11.4,11.4,330000
#2017-01-16#,11.4,11.4,11.4,11.4,330000
#2017-01-17#,11.4,11.4,11.4,11.4,330000
#2017-01-18#,11.4,11.4,11.4,11.4,330000
#2017-01-19#,11.4,11.4,11.4,11.4,440000
#2017-01-20#,11.4,11.4,11.4,11.4,440000
#2017-01-23#,11.5,11.6,11.5,11.6,2480000
#2017-01-24#,11.5,11.6,11.5,11.6,2480000
#2017-01-25#,11.5,11.6,11.5,11.6,2480000
#2017-01-26#,11.5,11.6,11.5,11.6,200000
#2017-01-27#,11.5,11.6,11.5,11.6,200000
#2017-01-30#,11.5,11.6,11.5,11.6,477667
#2017-01-31#,11.5,11.6,11.5,11.6,477667
#2017-02-01#,11.5,11.6,11.5,11.6,477667
#2017-02-02#,11.5,11.6,11.5,11.6,477667
#2017-02-03#,11.5,11.6,11.5,11.6,477667
#2017-02-06#,11.5,11.6,11.5,11.6,477667
#2017-02-07#,11.5,11.6,11.5,11.6,174000
#2017-02-08#,11.5,11.5,11.5,11.5,827517
#2017-02-09#,11.5,11.5,11.5,11.5,827517
#2017-02-10#,11.5,11.5,11.5,11.5,4172483
#2017-02-13#,11.5,11.5,11.5,11.5,4172483
#2017-02-14#,11.5,11.5,11.5,11.5,4172483
#2017-02-15#,11,11,11,11,5170000
#2017-02-16#,11,11,11,11,5170000
#2017-02-17#,11,11,11,11,5170000
#2017-02-20#,11,11,11,11,5170000
#2017-02-21#,11,11,11,11,5170000
#2017-02-22#,10.5,10.5,10.5,10.5,1918500
#2017-02-23#,10.5,10.5,10.5,10.5,1918500
#2017-02-24#,10.5,10.5,10.5,10.5,4805000
#2017-02-27#,10.5,10.5,10.5,10.5,800708
#2017-02-28#,10.5,10.5,10.5,10.5,800708
#2017-03-01#,10.5,10.5,10.5,10.5,800708
#2017-03-02#,10.5,10.5,10.5,10.5,800708
#2017-03-03#,10.5,10.5,10.5,10.5,800708
#2017-03-06#,10.6,10.6,10.6,10.6,3119000
#2017-03-07#,10.6,10.6,10.6,10.6,500000
#2017-03-08#,10.6,10.6,10.6,10.6,500000
#2017-03-09#,10.6,10.6,10.6,10.6,500000
#2017-03-10#,10.6,10.6,10.6,10.6,500000
#2017-03-13#,10.6,10.6,10.6,10.6,500000
#2017-03-14#,10.6,10.6,10.6,10.6,500000
#2017-03-15#,10.6,10.6,10.6,10.6,300000
#2017-03-16#,10.6,10.6,10.6,10.6,300000
#2017-03-17#,9.9,10.2,9.9,10.2,12000000
#2017-03-20#,9.9,10.2,9.9,10.2,12000000
#2017-03-21#,10.3,10.3,10.2,10.2,9404000
#2017-03-22#,10.3,10.3,10.2,10.2,196000
#2017-03-23#,10.3,10.3,10.2,10.2,196000
#2017-03-24#,10.2,10.2,10.2,10.2,4192205
#2017-03-27#,10.3,10.3,10.2,10.2,5500000
#2017-03-28#,10.3,10.3,10.3,10.3,5170000
#2017-03-29#,10.3,10.3,10.2,10.2,8235315
#2017-03-30#,10.4,10.4,10.3,10.3,3135000
#2017-03-31#,10.4,10.4,10.3,10.3,3135000
#2017-04-03#,10.4,10.4,10.4,10.4,1302544
#2017-04-04#,10.4,10.4,10.4,10.4,1302544
#2017-04-05#,10.4,10.4,10.4,10.4,1302544
#2017-04-06#,10.4,10.4,10.4,10.4,1302544
#2017-04-07#,10.4,10.9,10.4,10.9,3375466
#2017-04-10#,10.4,10.9,10.4,10.9,3375466
#2017-04-11#,10.4,10.9,10.4,10.9,611000
#2017-04-12#,10.4,10.9,10.4,10.9,611000
#2017-04-13#,10.4,10.9,10.4,10.9,611000
#2017-04-14#,10.4,10.9,10.4,10.9,611000
#2017-04-17#,10.4,10.9,10.4,10.9,250000
#2017-04-18#,10.7,10.7,10.6,10.6,2000000
#2017-04-19#,10.7,10.7,10.6,10.6,2000000
#2017-04-20#,10.5,10.5,10.4,10.4,3573091
#2017-04-21#,10.7,10.7,10.7,10.7,1350000
#2017-04-24#,10.7,10.7,10.7,10.7,478300
#2017-04-25#,10.6,10.6,10.6,10.6,8070034
#2017-04-26#,10.6,10.6,10.6,10.6,30540
#2017-04-27#,10.6,10.6,10.6,10.6,445000
#2017-04-28#,10.6,10.6,10.6,10.6,445000
#2017-05-01#,10.6,10.6,10.6,10.6,445000
#2017-05-02#,10.6,10.6,10.6,10.6,445000
#2017-05-03#,10.6,10.6,10.6,10.6,445000
#2017-05-04#,10.9,10.9,10.9,10.9,1580000
#2017-05-05#,10.9,10.9,10.9,10.9,1580000
#2017-05-08#,10.9,10.9,10.9,10.9,1580000
#2017-05-09#,10.9,10.9,10.9,10.9,1580000
#2017-05-10#,10.9,10.9,10.9,10.9,1580000
#2017-05-11#,10.9,10.9,10.8,10.8,7220000
#2017-05-12#,10.6,10.6,10.5,10.6,3834000
#2017-05-15#,10.6,10.7,10.6,10.6,9322971
#2017-05-16#,10.7,10.7,10.7,10.7,2400000
#2017-05-17#,10.7,10.7,10.7,10.7,2400000
#2017-05-18#,10.6,10.6,10.6,10.6,3000000
#2017-05-19#,10.6,10.6,10.6,10.6,272000
#2017-05-22#,10.6,10.6,10.6,10.6,272000
#2017-05-23#,10.6,10.6,10.6,10.6,272000
#2017-05-24#,10.6,10.6,10.6,10.6,272000
#2017-05-25#,10.6,10.6,10.6,10.6,272000
#2017-05-26#,10.6,10.6,10.6,10.6,272000
#2017-05-29#,10.6,10.6,10.6,10.6,272000
#2017-05-30#,10.6,10.6,10.6,10.6,272000
#2017-05-31#,10.5,10.5,10.5,10.5,2731907
#2017-06-01#,10.5,10.5,10.5,10.5,2731907
#2017-06-02#,10.5,10.5,10.5,10.5,2731907
#2017-06-05#,10.5,10.5,10.5,10.5,2731907
#2017-06-06#,10.5,10.5,10.5,10.5,2428655
#2017-06-07#,10.5,10.5,10.5,10.5,59308
#2017-06-08#,10.5,10.5,10.5,10.5,59308
#2017-06-09#,10.5,10.5,10.5,10.5,59308
#2017-06-12#,10.5,10.5,10.5,10.5,59308
#2017-06-13#,10.5,10.5,10.5,10.5,59308
#2017-06-14#,10.5,10.5,10,10.2,8727546
#2017-06-15#,10.1,10.1,10.1,10.1,3600000
#2017-06-16#,10.2,10.2,10,10.1,8100000
#2017-06-19#,10.2,10.2,10,10.1,8100000
