"Date","Open","High","Low","Close","Volume"
#1992-01-01#,2.4375,2.4844,2.4219,2.4375,116000
#1992-01-02#,2.4219,2.4219,2.3906,2.3906,732000
#1992-01-03#,2.3906,2.3906,2.375,2.375,277600
#1992-01-06#,2.3906,2.3906,2.3125,2.3281,528000
#1992-01-07#,2.3125,2.3125,2.1406,2.1406,584000
#1992-01-08#,2.125,2.2031,2.1094,2.125,692800
#1992-01-09#,2.125,2.1719,2.1094,2.1719,348000
#1992-01-10#,2.1563,2.2344,2.1406,2.2344,840800
#1992-01-13#,2.2344,2.3281,2.2344,2.2969,456000
#1992-01-14#,2.2969,2.3125,2.2188,2.2188,281600
#1992-01-15#,2.2344,2.2969,2.2344,2.2813,377600
#1992-01-16#,2.2813,2.3281,2.2813,2.3281,80800
#1992-01-17#,2.3594,2.4219,2.3594,2.4219,47200
#1992-01-20#,2.4219,2.5313,2.4219,2.5156,91200
#1992-01-21#,2.5313,2.5469,2.5156,2.5156,578400
#1992-01-22#,2.5156,2.5156,2.4844,2.4844,300000
#1992-01-23#,2.4688,2.5,2.4531,2.4531,313600
#1992-01-24#,2.4531,2.4531,2.3125,2.3125,1104800
#1992-01-27#,2.2969,2.2969,2.25,2.2656,292800
#1992-01-28#,2.2656,2.2656,2.1875,2.1875,2736800
#1992-01-29#,2.2031,2.25,2.1563,2.2031,463200
#1992-01-30#,2.1406,2.2188,2.1406,2.1875,405600
#1992-01-31#,2.2031,2.2969,2.1875,2.25,714400
#1992-02-03#,2.2656,2.2656,2.2188,2.2344,96800
#1992-02-04#,2.2188,2.2344,2.1875,2.2031,355200
#1992-02-05#,2.2031,2.2031,2.1563,2.1719,604000
#1992-02-06#,2.1875,2.1875,2.0938,2.0938,492800
#1992-02-07#,2.0781,2.2188,2.0781,2.2188,704000
#1992-02-10#,2.2344,2.3438,2.2344,2.3281,782400
#1992-02-11#,2.3281,2.3438,2.3125,2.3125,241600
#1992-02-12#,2.3125,2.3281,2.2813,2.3125,446400
#1992-02-13#,2.3125,2.3125,2.2969,2.2969,161600
#1992-02-14#,2.2969,2.3281,2.2813,2.3281,190400
#1992-02-17#,2.2969,2.3281,2.2813,2.3281,190400
#1992-02-18#,2.3125,2.3125,2.2813,2.2969,504800
#1992-02-19#,2.2813,2.2813,2.2656,2.2656,20800
#1992-02-20#,2.2656,2.2969,2.2656,2.2969,260800
#1992-02-21#,2.2969,2.3281,2.2969,2.3125,311200
#1992-02-24#,2.3281,2.3438,2.3125,2.3125,249600
#1992-02-25#,2.3125,2.3125,2.2813,2.2813,144000
#1992-02-26#,2.2656,2.2656,2.25,2.2656,835200
#1992-02-27#,2.25,2.2969,2.25,2.2656,67200
#1992-02-28#,2.2344,2.2656,2.2344,2.2344,321600
#1992-03-02#,2.25,2.2969,2.25,2.25,588800
#1992-03-03#,2.2656,2.2813,2.25,2.25,608800
#1992-03-04#,2.2344,2.25,2.2344,2.25,488000
#1992-03-05#,2.2656,2.2813,2.2656,2.2813,607200
#1992-03-06#,2.2813,2.2969,2.2813,2.2813,404800
#1992-03-09#,2.2813,2.3281,2.2813,2.3281,348000
#1992-03-10#,2.3281,2.4063,2.3281,2.3906,348000
#1992-03-11#,2.4063,2.4063,2.3906,2.4063,376000
#1992-03-12#,2.4375,2.4375,2.4063,2.4063,347200
#1992-03-13#,2.4375,2.4688,2.4219,2.4688,138400
#1992-03-16#,2.5,2.5,2.4063,2.4063,122400
#1992-03-17#,2.4375,2.4375,2.4219,2.4375,569600
#1992-03-18#,2.4219,2.4219,2.4063,2.4063,46400
#1992-03-19#,2.4375,2.4375,2.375,2.4063,394400
#1992-03-20#,2.4688,2.4844,2.4531,2.4688,232000
#1992-03-23#,2.5,2.5469,2.5,2.5,545600
#1992-03-24#,2.5,2.5781,2.5,2.5625,618400
#1992-03-25#,2.5781,2.5781,2.5625,2.5781,116800
#1992-03-26#,2.6094,2.7344,2.6094,2.6875,959200
#1992-03-27#,2.625,2.6563,2.6094,2.625,236800
#1992-03-30#,2.625,2.625,2.6094,2.625,324800
#1992-03-31#,2.6406,2.6563,2.6406,2.6563,307200
#1992-04-01#,2.6563,2.6563,2.6094,2.6094,172800
#1992-04-02#,2.6094,2.6094,2.5781,2.5938,878400
#1992-04-03#,2.5625,2.5625,2.5469,2.5625,109600
#1992-04-06#,2.5781,2.7344,2.5781,2.7344,336000
#1992-04-07#,2.7344,2.7344,2.6875,2.6875,612000
#1992-04-08#,2.6719,2.6719,2.625,2.625,771200
#1992-04-09#,2.6094,2.75,2.6094,2.75,170400
#1992-04-10#,2.7344,2.75,2.7344,2.7344,213600
#1992-04-13#,2.7656,2.7813,2.75,2.7656,141600
#1992-04-14#,2.7813,2.8125,2.7813,2.8125,228000
#1992-04-15#,2.8125,2.8281,2.8125,2.8281,312000
#1992-04-16#,2.8125,2.8281,2.8125,2.8125,39200
#1992-04-17#,2.8125,2.8281,2.8125,2.8125,39200
#1992-04-20#,2.8125,2.8906,2.8125,2.8906,245600
#1992-04-21#,2.9219,2.9219,2.875,2.9063,337600
#1992-04-22#,2.8906,2.8906,2.875,2.875,8800
#1992-04-23#,2.875,2.9844,2.8438,2.875,1366400
#1992-04-24#,3.0313,3.1719,3,3,687200
#1992-04-27#,3.0625,3.0938,3.0313,3.0469,511200
#1992-04-28#,3.0469,3.0469,3.0156,3.0313,234400
#1992-04-29#,3.0469,3.0469,3.0313,3.0313,237600
#1992-04-30#,3.0469,3.0625,3.0313,3.0469,1008800
#1992-05-01#,3.0313,3.0469,3.0313,3.0469,146400
#1992-05-04#,3.0625,3.0781,3.0625,3.0625,251200
#1992-05-05#,3.0469,3.0781,3.0469,3.0781,532000
#1992-05-06#,3.0781,3.0781,3.0156,3.0156,792800
#1992-05-07#,3.0156,3.0156,2.9688,2.9688,61600
#1992-05-08#,3,3,2.9375,2.9531,42400
#1992-05-11#,2.9531,2.9531,2.9063,2.9063,91200
#1992-05-12#,2.9219,2.9219,2.75,2.7969,1191200
#1992-05-13#,2.7969,2.7969,2.7656,2.7656,261600
#1992-05-14#,2.7656,2.8438,2.6875,2.8438,1236800
#1992-05-15#,2.8281,2.9063,2.8125,2.8906,509600
#1992-05-18#,2.9063,3.0156,2.9063,3,431200
#1992-05-19#,3,3.0469,2.9531,3.0469,572000
#1992-05-20#,3.0625,3.0938,3.0625,3.0938,200800
#1992-05-21#,3.0781,3.1563,3.0781,3.0938,946400
#1992-05-22#,3.0938,3.1563,3.0781,3.1406,230400
#1992-05-25#,3.0938,3.1563,3.0781,3.1406,230400
#1992-05-26#,3.1406,3.1875,3.125,3.1875,1300800
#1992-05-27#,3.2031,3.25,3.125,3.125,1122400
#1992-05-28#,3.1406,3.1406,3.0781,3.125,627200
#1992-05-29#,3.125,3.125,3.0781,3.0938,368800
#1992-06-01#,3.0781,3.1719,3.0781,3.1719,348800
#1992-06-02#,3.1406,3.1563,3.125,3.1406,108000
#1992-06-03#,3.1563,3.1875,3.125,3.1563,1278400
#1992-06-04#,3.125,3.1406,3.125,3.1406,1169600
#1992-06-05#,3.1563,3.1875,3.1406,3.1875,816800
#1992-06-08#,3.2188,3.375,3.2188,3.3125,1822400
#1992-06-09#,3.3125,3.3438,3.2813,3.3125,2077600
#1992-06-10#,3.3125,3.3125,3.2188,3.2813,778400
#1992-06-11#,3.2813,3.4063,3.2813,3.4063,438400
#1992-06-12#,3.375,3.375,3.3438,3.3438,2042400
#1992-06-15#,3.3281,3.3281,3.2969,3.3125,2438400
#1992-06-16#,3.3281,3.3281,3.2969,3.2969,660800
#1992-06-17#,3.3125,3.3125,3.2188,3.2188,673600
#1992-06-18#,3.2188,3.2656,3.2188,3.2344,948800
#1992-06-19#,3.25,3.2656,3.2344,3.2344,417600
#1992-06-22#,3.2031,3.2188,3.2031,3.2031,568000
#1992-06-23#,3.2031,3.2188,3.2031,3.2031,518400
#1992-06-24#,3.2188,3.2188,3.1719,3.2188,224000
#1992-06-25#,3.2188,3.2188,3.125,3.125,307200
#1992-06-26#,3.125,3.1406,3.1094,3.1406,629600
#1992-06-29#,3.125,3.1875,3.125,3.1719,1169600
#1992-06-30#,3.1875,3.1875,3.1563,3.1875,1156800
#1992-07-01#,3.2188,3.25,3.1875,3.25,694400
#1992-07-02#,3.2813,3.2969,3.25,3.2813,2007200
#1992-07-03#,3.2813,3.2969,3.25,3.2813,2007200
#1992-07-06#,3.3125,3.3281,3.2969,3.3125,771200
#1992-07-07#,3.3125,3.3594,3.3125,3.3281,655200
#1992-07-08#,3.3281,3.3438,3.3125,3.3281,480800
#1992-07-09#,3.3438,3.375,3.3281,3.3594,424000
#1992-07-10#,3.3906,3.3906,3.3281,3.3281,568800
#1992-07-13#,3.3281,3.3594,3.3281,3.3594,624800
#1992-07-14#,3.3906,3.625,3.3906,3.5781,627200
#1992-07-15#,3.5938,3.6094,3.5156,3.5313,465600
#1992-07-16#,3.5,3.5,3.3906,3.4219,143200
#1992-07-17#,3.4375,3.4531,3.4219,3.4375,45600
#1992-07-20#,3.4375,3.4531,3.3906,3.3906,645600
#1992-07-21#,3.3906,3.4219,3.3906,3.4063,224000
#1992-07-22#,3.4063,3.4844,3.4063,3.4844,235200
#1992-07-23#,3.5,3.5156,3.4688,3.5,112000
#1992-07-24#,3.5,3.6094,3.5,3.6094,329600
#1992-07-27#,3.6094,3.6094,3.5625,3.5938,66400
#1992-07-28#,3.5938,3.5938,3.5313,3.5625,91200
#1992-07-29#,3.5625,3.5781,3.5469,3.5781,84800
#1992-07-30#,3.5625,3.6406,3.5625,3.6406,565600
#1992-07-31#,3.6406,3.6563,3.625,3.6406,500800
#1992-08-03#,3.625,3.7031,3.625,3.7031,492000
#1992-08-04#,3.6875,3.7188,3.6875,3.7188,398400
#1992-08-05#,3.5938,3.5938,3.375,3.4063,268800
#1992-08-06#,3.25,3.2656,3.1719,3.25,1166400
#1992-08-07#,3.25,3.5156,3.25,3.5156,996000
#1992-08-10#,3.5156,3.5625,3.5,3.5469,88000
#1992-08-11#,3.5469,3.5625,3.5469,3.5469,2608000
#1992-08-12#,3.5625,3.5938,3.5625,3.5938,92800
#1992-08-13#,3.625,3.7344,3.6094,3.7344,684800
#1992-08-14#,3.7813,3.8438,3.7344,3.75,1344000
#1992-08-17#,3.7188,3.7188,3.6719,3.6875,1498400
#1992-08-18#,3.6719,3.6875,3.5781,3.5938,823200
#1992-08-19#,3.5,3.6875,3.5,3.5625,844800
#1992-08-20#,3.625,3.6406,3.5625,3.5938,7611200
#1992-08-21#,3.6094,3.6406,3.5938,3.5938,1631200
#1992-08-24#,3.5781,3.6094,3.5781,3.5781,1412000
#1992-08-25#,3.5781,3.7188,3.5781,3.6719,1002400
#1992-08-26#,3.6875,3.75,3.6875,3.75,1988000
#1992-08-27#,3.7344,3.7969,3.7188,3.7813,872800
#1992-08-28#,3.8125,3.9375,3.8125,3.9375,1732800
#1992-08-31#,3.9063,3.9844,3.8438,3.875,1392800
#1992-09-01#,3.875,3.9375,3.8594,3.9063,740000
#1992-09-02#,3.9375,3.9531,3.875,3.8906,458400
#1992-09-03#,3.9063,3.9219,3.8906,3.9219,617600
#1992-09-04#,3.9219,3.9688,3.9219,3.9531,190400
#1992-09-07#,3.9219,3.9688,3.9219,3.9531,190400
#1992-09-08#,3.9531,4.0938,3.9531,4.0781,1150400
#1992-09-09#,4.0781,4.0938,4.0625,4.0938,660000
#1992-09-10#,4.0938,4.1094,4.0625,4.0781,809600
#1992-09-11#,4.0781,4.1094,4.0625,4.1094,549600
#1992-09-14#,4.1406,4.1719,4.1094,4.125,684000
#1992-09-15#,4.125,4.1406,4.1094,4.1094,557600
#1992-09-16#,4.1094,4.1719,4.0938,4.125,723200
#1992-09-17#,4.125,4.2813,4.125,4.2188,565600
#1992-09-18#,4.1875,4.3125,4.1875,4.3125,668000
#1992-09-21#,4.3281,4.3438,4.3281,4.3438,808000
#1992-09-22#,4.3125,4.375,4.2969,4.3594,662400
#1992-09-23#,4.375,4.4688,4.3281,4.375,898400
#1992-09-24#,4.3906,4.4844,4.3906,4.4688,1256800
#1992-09-25#,4.4219,4.4375,4.2031,4.25,1837600
#1992-09-28#,4.25,4.25,4.1094,4.125,1749600
#1992-09-29#,4.2031,4.2344,4.1719,4.2344,276800
#1992-09-30#,4.2188,4.2344,4.1563,4.1563,330400
#1992-10-01#,4.1406,4.1406,4.0313,4.0313,378400
#1992-10-02#,4.0469,4.0781,4.0156,4.0469,772800
#1992-10-05#,4.0469,4.0469,3.9531,3.9688,312000
#1992-10-06#,3.9688,3.9688,3.9063,3.9375,885600
#1992-10-07#,3.9531,4.0156,3.9531,3.9844,649600
#1992-10-08#,3.9688,4.0625,3.9688,4,266400
#1992-10-09#,3.9688,4.0313,3.9063,3.9375,112000
#1992-10-12#,3.9375,3.9531,3.9375,3.9531,351200
#1992-10-13#,3.9375,3.9531,3.8906,3.9375,412000
#1992-10-14#,3.9375,3.9531,3.9219,3.9375,341600
#1992-10-15#,3.9375,3.9375,3.9063,3.9063,205600
#1992-10-16#,3.9219,4.0781,3.9219,4.0625,1151200
#1992-10-19#,4.0625,4.3125,4.0625,4.2813,756000
#1992-10-20#,4.2656,4.2656,4.2031,4.2188,209600
#1992-10-21#,4.2031,4.2031,4.1406,4.1563,104800
#1992-10-22#,4.1406,4.1406,3.9531,3.9531,365600
#1992-10-23#,3.9688,3.9688,3.9375,3.9531,101600
#1992-10-26#,3.9531,4.0156,3.9531,4,396800
#1992-10-27#,3.9844,3.9844,3.8125,3.8594,318400
#1992-10-28#,3.8594,3.8594,3.7188,3.8281,920800
#1992-10-29#,3.8281,3.9063,3.8281,3.8438,348000
#1992-10-30#,3.875,3.875,3.8125,3.8125,143200
#1992-11-02#,3.8281,3.875,3.8281,3.875,156800
#1992-11-03#,3.875,3.875,3.75,3.75,296800
#1992-11-04#,3.7656,3.7813,3.6563,3.6563,464000
#1992-11-05#,3.625,3.625,3.4688,3.4844,1245600
#1992-11-06#,3.5313,3.6719,3.5313,3.6563,1823200
#1992-11-09#,3.625,3.6563,3.5,3.5469,1322400
#1992-11-10#,3.5625,3.625,3.5625,3.625,1669600
#1992-11-11#,3.625,3.625,3.5625,3.5625,551200
#1992-11-12#,3.625,3.6406,3.5625,3.5781,1320800
#1992-11-13#,3.6094,3.6406,3.5938,3.625,324000
#1992-11-16#,3.6094,3.6563,3.6094,3.6563,257600
#1992-11-17#,3.625,3.6406,3.625,3.625,304000
#1992-11-18#,3.625,3.6406,3.625,3.6406,693600
#1992-11-19#,3.6094,3.6406,3.4688,3.5,821600
#1992-11-20#,3.5313,3.5938,3.5313,3.5938,536800
#1992-11-23#,3.5625,3.6719,3.5625,3.625,660000
#1992-11-24#,3.6094,3.625,3.5781,3.5938,503200
#1992-11-25#,3.5781,3.6094,3.5781,3.5938,96000
#1992-11-26#,3.5781,3.6094,3.5781,3.5938,96000
#1992-11-27#,3.5938,3.625,3.5781,3.625,230400
#1992-11-30#,3.625,3.625,3.5313,3.5469,539200
#1992-12-01#,3.5469,3.5469,3.5313,3.5313,1116800
#1992-12-02#,3.5313,3.5781,3.5313,3.5781,721600
#1992-12-03#,3.5625,3.5625,3.4219,3.4375,1191200
#1992-12-04#,3.4375,3.5,3.4219,3.5,1249600
#1992-12-07#,3.4844,3.5469,3.4844,3.5,167200
