"Date","Open","High","Low","Close","Volume"
#2004-01-01#,30.35,30.625,30.25,30.625,150200
#2004-01-02#,30.895,31.015,30.705,30.84,224600
#2004-01-05#,31.27,31.485,31.075,31.45,89200
#2004-01-06#,31.595,31.7,31.475,31.645,458200
#2004-01-07#,31.295,31.295,31,31.075,467600
#2004-01-08#,31.695,31.885,31.45,31.825,288400
#2004-01-09#,31.545,31.775,31.5,31.595,220400
#2004-01-12#,31.495,31.65,31.4,31.575,196000
#2004-01-13#,31.67,31.8,31.205,31.37,147600
#2004-01-14#,31.47,31.72,31.45,31.66,272600
#2004-01-15#,31.595,31.67,31.33,31.5,61200
#2004-01-16#,31.32,31.42,31.13,31.225,97400
#2004-01-19#,31.32,31.42,31.13,31.225,97400
#2004-01-20#,31.77,31.8,31.6,31.65,394600
#2004-01-21#,31.845,32.345,31.235,32.225,113800
#2004-01-22#,32.295,32.345,32.18,32.275,164400
#2004-01-23#,32.27,32.335,31.8,31.8,107400
#2004-01-26#,31.92,31.93,31.635,31.895,192800
#2004-01-27#,32.095,32.175,32,32.025,113000
#2004-01-28#,32.025,32.18,31.225,31.23,136600
#2004-01-29#,31.305,31.46,30.905,31.37,112600
#2004-01-30#,31.195,31.26,30.88,31.25,65800
#2004-02-02#,31.245,31.49,31,31.175,49200
#2004-02-03#,31.27,31.34,31.125,31.25,68400
#2004-02-04#,31.105,31.175,30.95,31.04,57600
#2004-02-05#,31.395,31.465,31.075,31.12,53200
#2004-02-06#,31.495,31.77,31.45,31.76,98800
#2004-02-09#,32.06,32.14,31.93,32.04,110800
#2004-02-10#,32.08,32.215,31.9,32.16,69400
#2004-02-11#,32.125,32.67,31.975,32.67,226800
#2004-02-12#,32.445,32.665,32.375,32.52,53400
#2004-02-13#,32.61,32.62,31.93,32.095,69600
#2004-02-16#,32.61,32.62,31.93,32.095,69600
#2004-02-17#,32.74,32.82,32.475,32.79,46800
#2004-02-18#,32.805,32.82,32.18,32.325,65200
#2004-02-19#,32.72,32.84,32.38,32.38,74200
#2004-02-20#,32.545,32.545,31.83,32,67600
#2004-02-23#,32.275,32.315,31.875,31.975,37000
#2004-02-24#,31.76,32.095,31.625,31.95,180800
#2004-02-25#,31.845,31.845,31.505,31.695,52400
#2004-02-26#,31.545,31.625,31.305,31.6,139000
#2004-02-27#,31.655,31.885,31.48,31.775,94000
#2004-03-01#,31.855,32.11,31.795,32.09,235800
#2004-03-02#,31.88,31.925,31.36,31.48,154000
#2004-03-03#,31.335,31.465,30.925,31.345,138000
#2004-03-04#,31.305,31.7,31.28,31.65,62400
#2004-03-05#,31.87,32.175,31.87,32.14,291200
#2004-03-08#,32.17,32.17,31.905,32.06,290600
#2004-03-09#,31.945,31.945,31.3,31.575,332600
#2004-03-10#,31.3,31.42,30.91,31,266800
