"Date","Open","High","Low","Close","Volume"
#2001-01-01#,6.7969,6.9688,6.7949,6.8594,2651200
#2001-01-02#,6.8594,6.8594,6.4297,6.5078,1956000
#2001-01-03#,6.3848,6.625,6.0625,6.5234,6051200
#2001-01-04#,6.4219,6.4375,6.0625,6.0703,4684000
#2001-01-05#,6.1016,6.2188,6.0469,6.1172,4250400
#2001-01-08#,6.0938,6.1875,5.9297,6.1172,2778400
#2001-01-09#,6.1094,6.25,5.875,5.9141,1900800
#2001-01-10#,5.8828,6.2344,5.875,6.0703,1576000
#2001-01-11#,6.125,6.3125,6.0703,6.2285,1767200
#2001-01-12#,6.1797,6.5156,6.1172,6.1484,2284000
#2001-01-15#,6.1797,6.5156,6.1172,6.1484,2284000
#2001-01-16#,6.0234,6.0625,5.8672,6.0547,4440800
#2001-01-17#,5.9063,6.3906,5.8984,6.0703,3547200
#2001-01-18#,6.0859,6.4688,6,6.3281,2098400
#2001-01-19#,6.3281,6.3828,6.1875,6.3125,1616000
#2001-01-22#,6.3125,6.375,6.1094,6.1641,1390400
#2001-01-23#,6.1719,6.4688,6.166,6.4473,1777600
#2001-01-24#,6.4609,6.5703,6.3125,6.3359,1256800
#2001-01-25#,6.3438,6.6719,6.3281,6.5469,1180000
#2001-01-26#,6.4844,6.5781,6.3906,6.4766,804000
#2001-01-29#,6.4609,6.8281,6.4609,6.8047,1178400
#2001-01-30#,6.7695,7.2344,6.7344,7.1172,3422400
#2001-01-31#,7.1953,7.2656,6.9688,7.0703,1037600
#2001-02-01#,7.0313,7.1094,6.9531,7.1016,642400
#2001-02-02#,7,7.25,7,7.1797,707200
#2001-02-05#,7.1797,7.375,7.1484,7.25,1616800
#2001-02-06#,7.2578,7.375,7.2031,7.2109,1177600
#2001-02-07#,7.1719,7.375,7.1094,7.2813,864800
#2001-02-08#,7.2656,7.2891,7.0469,7.125,824000
#2001-02-09#,7.0859,7.4375,7.0156,7.2344,868000
#2001-02-12#,7.2031,7.2422,7.0938,7.2344,800000
#2001-02-13#,7.1563,7.4141,7.1563,7.2813,1538400
#2001-02-14#,7.3008,7.4688,7.2969,7.375,909600
#2001-02-15#,7.4141,7.7813,7.3594,7.6484,1600000
#2001-02-16#,7.625,7.6328,7.4844,7.5,1759200
#2001-02-19#,7.625,7.6328,7.4844,7.5,1759200
#2001-02-20#,7.4922,7.5137,7.2891,7.3047,1961600
#2001-02-21#,7.2813,7.2813,7.1094,7.1172,1391200
#2001-02-22#,7.0957,7.1094,6.9219,6.9922,1612000
#2001-02-23#,6.9141,7.0156,6.9141,6.9609,1052800
#2001-02-26#,6.9844,7.2422,6.9375,7.2422,1563200
#2001-02-27#,7.25,7.375,7.1406,7.3594,1271200
#2001-02-28#,7.3672,7.5469,7.2891,7.5,7132800
#2001-03-01#,7.3438,7.5703,7.2188,7.5156,5490400
#2001-03-02#,7.4297,7.5938,7.4297,7.5156,4301600
#2001-03-05#,7.1563,7.4609,7.125,7.4453,14020000
#2001-03-06#,7.3906,7.5625,7.3203,7.5234,6507200
#2001-03-07#,7.5156,7.8906,7.5078,7.7969,6023200
#2001-03-08#,7.7344,7.8359,7.7344,7.8047,6924000
#2001-03-09#,7.7188,7.7656,7.5781,7.6641,3189600
#2001-03-12#,7.6074,7.6094,7.4531,7.5156,4775200
#2001-03-13#,7.4531,7.7656,7.4375,7.623,7963200
#2001-03-14#,7.4375,7.6953,7.3906,7.6094,4472000
#2001-03-15#,7.7188,7.916,7.5703,7.8047,7018400
#2001-03-16#,7.75,8.0078,7.6641,7.7031,7196800
#2001-03-19#,7.7031,7.709,7.2734,7.4336,9504800
#2001-03-20#,7.5,7.5625,7.1016,7.1016,6166400
#2001-03-21#,7.1016,7.1563,6.7813,6.8672,7832000
#2001-03-22#,6.8301,6.8594,6.6016,6.6641,7944800
#2001-03-23#,6.7188,6.9063,6.7188,6.7656,3064000
#2001-03-26#,6.7617,7,6.7578,6.998,3295200
#2001-03-27#,6.9922,7.0313,6.875,6.9453,3768000
#2001-03-28#,6.875,6.9453,6.8125,6.8906,3488800
#2001-03-29#,6.875,7.0625,6.875,7.0469,2205600
#2001-03-30#,7.0449,7.0469,6.7969,6.8125,3915200
#2001-04-02#,6.8438,6.9297,6.8438,6.8672,3741600
#2001-04-03#,6.75,6.7949,6.5156,6.5391,7011200
#2001-04-04#,6.3359,6.5703,6.125,6.3438,22424800
#2001-04-05#,6.375,6.7188,6.375,6.6172,6846400
#2001-04-06#,6.5625,6.6406,6.5,6.5781,2944000
#2001-04-09#,6.5375,6.6938,6.3813,6.4013,3425600
#2001-04-10#,6.45,6.8188,6.45,6.7013,2772800
#2001-04-11#,6.7013,6.9838,6.7,6.9063,5126400
#2001-04-12#,6.845,6.9538,6.8125,6.8913,2668800
#2001-04-13#,6.845,6.9538,6.8125,6.8913,2668800
#2001-04-16#,6.875,7,6.875,6.915,1870400
#2001-04-17#,6.9088,7.015,6.875,6.9275,2636800
#2001-04-18#,6.9488,7.75,6.9463,7.715,7087200
#2001-04-19#,7.62,8.1563,7.5538,8.0425,7552800
#2001-04-20#,7.9063,8.0263,7.7313,7.9738,4540800
#2001-04-23#,7.7913,7.8313,7.7313,7.7463,3310400
#2001-04-24#,7.7538,7.85,7.6588,7.6588,3133600
