"Date","Open","High","Low","Close","Volume"
#2000-01-03#,14.8451,14.9831,14.652,14.7347,1688200
#2000-01-04#,14.6244,15.0107,14.1277,14.2381,1946400
#2000-01-05#,14.3484,14.7347,14.3484,14.4588,1618600
#2000-01-06#,14.7899,14.8451,14.514,14.5968,839200
#2000-01-07#,14.514,14.7071,14.4588,14.514,1431400
#2000-01-10#,15.397,17.2181,15.397,17.1629,4721600
#2000-01-11#,17.2181,17.3837,16.6111,16.8318,5765600
#2000-01-12#,16.6387,16.6663,16.004,16.4179,2153800
#2000-01-13#,17.3285,17.4389,16.9146,17.3837,3665800
#2000-01-14#,17.6596,17.9907,16.887,17.1077,3669400
#2000-01-17#,17.6596,17.9907,16.887,17.1077,3669400
#2000-01-18#,17.1905,17.1905,16.7214,16.8318,1076600
#2000-01-19#,16.7766,16.7766,16.4455,16.5283,1179600
#2000-01-20#,17.1629,17.1629,16.6663,16.8594,2203800
#2000-01-21#,16.6663,16.6938,16.4731,16.5283,1184600
#2000-01-24#,16.6663,16.6663,15.7005,15.7557,762400
#2000-01-25#,15.8661,16.004,15.6453,15.9488,561000
#2000-01-26#,15.9212,16.0592,15.8936,16.0592,665600
#2000-01-27#,16.7214,16.7766,16.5559,16.6663,1397600
#2000-01-28#,16.887,17.77,16.887,17.2457,2968600
#2000-01-31#,18.0459,18.1011,17.5216,18.1011,2345400
#2000-02-01#,18.0459,18.2942,17.7148,18.2942,2620200
#2000-02-02#,19.7567,19.8671,18.9289,19.8119,7018800
#2000-02-03#,21.1915,21.1915,20.3361,20.9432,6066800
#2000-02-04#,20.1982,20.2258,19.6463,19.9774,2369200
#2000-02-07#,20.5293,20.5293,20.143,20.4741,2100200
#2000-02-08#,20.6673,21.2467,20.6673,20.9432,1464600
#2000-02-09#,22.6264,23.1782,21.8814,21.8814,8057200
#2000-02-10#,22.4056,22.4056,21.8538,22.1297,3393000
#2000-02-11#,22.2401,22.2401,21.5778,21.6606,1965200
#2000-02-14#,21.1915,21.8814,21.0812,21.5226,2570800
#2000-02-15#,21.9089,22.516,21.8538,22.4332,4660200
#2000-02-16#,22.8471,22.8471,22.378,22.5436,2346200
#2000-02-17#,22.9575,22.9575,22.2401,22.4056,2193600
#2000-02-18#,22.516,22.516,21.5778,21.7434,1129800
#2000-02-21#,22.516,22.516,21.5778,21.7434,1129800
#2000-02-22#,21.4123,21.7986,21.1915,21.771,2092400
#2000-02-23#,22.0745,22.0745,21.7986,21.9641,1566000
#2000-02-24#,21.2467,21.3571,20.888,21.1915,1564400
#2000-02-25#,21.3295,21.5778,21.3019,21.3019,1093800
#2000-02-28#,22.0745,22.654,21.9089,22.5988,1983200
#2000-02-29#,22.1849,22.2401,21.5502,22.2125,1022400
#2000-03-01#,22.7367,23.261,22.5988,23.123,1301400
#2000-03-02#,23.8957,24.1716,23.399,23.7301,1553000
#2000-03-03#,24.7786,25.2477,24.751,24.889,2932400
#2000-03-06#,24.7786,24.7786,24.1716,24.1992,1587800
#2000-03-07#,24.7234,24.7234,23.399,23.4542,2053400
#2000-03-08#,23.9508,24.0612,23.6473,23.9508,2093400
#2000-03-09#,23.399,23.5645,23.0955,23.399,1227400
#2000-03-10#,23.1782,23.399,22.654,22.654,942000
#2000-03-13#,22.2953,22.4056,22.1297,22.2125,1230400
#2000-03-14#,22.1021,22.2401,21.7158,21.8262,1335000
#2000-03-15#,21.6882,21.6882,20.8052,21.0536,3140400
#2000-03-16#,21.3019,22.2677,21.3019,22.2125,1765000
#2000-03-17#,21.9917,22.5988,21.8262,22.5712,1529800
#2000-03-20#,22.6264,23.3162,22.6264,23.1506,893000
#2000-03-21#,23.6197,23.7301,23.5645,23.6197,1562600
#2000-03-22#,23.6197,23.6749,23.123,23.5094,740600
#2000-03-23#,23.0127,23.261,22.2401,23.0679,1851800
#2000-03-24#,23.123,23.3162,22.7367,23.0403,773800
#2000-03-27#,22.9575,22.9575,22.2953,22.4056,982000
#2000-03-28#,22.3504,22.6816,22.3228,22.4056,1250200
#2000-03-29#,22.2953,22.4056,22.1297,22.3228,1339400
#2000-03-30#,21.9089,21.9641,21.2743,21.4675,942200
#2000-03-31#,21.0812,21.2467,20.8328,21.0812,1061000
#2000-04-03#,21.3019,21.4123,20.4189,20.5293,1402600
#2000-04-04#,20.75,20.75,19.4256,20.1706,1338000
#2000-04-05#,19.8671,20.0878,19.4256,19.9222,1293000
#2000-04-06#,20.3085,20.8604,20.3085,20.6397,1732600
#2000-04-07#,20.9156,20.9156,20.6397,20.75,880200
#2000-04-10#,21.1363,21.1363,20.6949,20.6949,1397200
#2000-04-11#,20.4189,20.4189,19.6463,19.6463,1510400
#2000-04-12#,19.5911,19.5911,18.3494,18.8737,3146200
#2000-04-13#,18.7633,18.9565,17.8804,17.9907,1919400
#2000-04-14#,17.8804,17.8804,16.4455,16.6387,1539200
#2000-04-17#,16.9974,17.1905,16.5283,16.9422,3261600
#2000-04-18#,16.5559,17.8252,16.4455,17.8252,3440000
#2000-04-19#,17.9355,18.3218,17.9079,18.1563,2811600
#2000-04-20#,18.1011,18.1011,17.5768,17.632,1207000
#2000-04-21#,18.1011,18.1011,17.5768,17.632,1207000
#2000-04-24#,17.5768,17.77,17.2733,17.5492,698000
#2000-04-25#,17.77,18.7081,17.77,18.5702,1179000
#2000-04-26#,18.653,19.2048,18.653,18.8185,772400
#2000-04-27#,18.7081,19.26,18.653,19.26,1048400
#2000-04-28#,19.3704,19.5359,19.2048,19.4256,1005200
#2000-05-01#,19.4256,19.7843,19.3428,19.6463,582000
#2000-05-02#,19.6463,19.6739,19.2048,19.2048,1149200
#2000-05-03#,19.2048,19.2048,18.515,18.8461,888600
#2000-05-04#,18.7633,18.8185,18.3218,18.4874,1105000
#2000-05-05#,18.4322,18.7081,18.4322,18.7081,704600
#2000-05-08#,18.4322,18.5426,18.3218,18.4874,627600
#2000-05-09#,18.5426,18.653,18.2942,18.6254,653200
#2000-05-10#,18.3218,18.3218,17.7148,17.9631,885800
#2000-05-11#,17.3285,17.77,17.0526,17.77,2388600
#2000-05-12#,17.6596,18.1287,17.6596,17.9079,1213800
#2000-05-15#,17.9907,18.3494,17.9631,17.9631,832200
#2000-05-16#,18.2667,18.515,18.1839,18.4046,1340400
#2000-05-17#,17.9907,18.2115,17.8252,18.0183,1110400
#2000-05-18#,17.4665,17.77,17.4665,17.5216,587400
#2000-05-19#,17.3837,17.3837,16.6387,16.8042,1142800
#2000-05-22#,16.4455,16.4455,16.142,16.2248,1255600
#2000-05-23#,16.3903,16.6663,16.3627,16.3903,1055600
#2000-05-24#,16.0868,16.3351,15.9764,16.2248,1129400
#2000-05-25#,16.3351,16.887,16.2248,16.3075,1644200
#2000-05-26#,16.004,16.3075,15.7557,16.2248,2461400
#2000-05-29#,16.004,16.3075,15.7557,16.2248,2461400
#2000-05-30#,16.4455,17.7424,16.4455,17.6044,1174400
#2000-05-31#,17.1077,17.4665,17.025,17.3009,846000
#2000-06-01#,17.2181,18.4046,17.1905,18.1563,1758000
#2000-06-02#,18.9841,19.2876,18.7633,19.2876,3010200
#2000-06-05#,19.2048,19.2048,18.7633,18.9565,1309200
#2000-06-06#,18.9565,18.9841,18.5702,18.8185,749000
#2000-06-07#,18.5978,18.8185,18.3218,18.653,1789000
#2000-06-08#,18.7633,18.9289,18.6806,18.7081,1141000
#2000-06-09#,19.3152,19.4808,18.9289,18.9289,1112800
#2000-06-12#,19.0393,19.3152,18.8737,18.9013,592200
#2000-06-13#,18.7633,18.7633,18.3218,18.5702,1239600
#2000-06-14#,18.7633,19.2324,18.7081,19.0944,1895800
#2000-06-15#,19.5635,19.6187,19.2876,19.5911,2566600
#2000-06-16#,20.6949,20.7776,20.1154,20.4465,2360400
#2000-06-19#,20.75,20.888,20.4465,20.8052,1887200
#2000-06-20#,20.6397,20.7224,20.4741,20.5569,1483000
#2000-06-21#,20.9156,20.9708,20.4741,20.5569,1626400
#2000-06-22#,20.8604,20.8604,20.1982,20.1982,1057600
#2000-06-23#,20.0326,20.0878,19.7015,19.7291,814400
#2000-06-26#,19.4256,19.5083,19.0944,19.3704,482800
#2000-06-27#,18.9841,19.3428,18.9013,19.26,1188200
#2000-06-28#,19.3704,20.2258,19.3428,20.1706,1021200
#2000-06-29#,19.9774,20.143,19.6187,19.7015,622200
#2000-06-30#,20.5569,20.9708,20.3361,20.9708,2244400
#2000-07-03#,20.9708,21.3019,20.9708,21.2743,1070600
#2000-07-04#,20.9708,21.3019,20.9708,21.2743,1070600
#2000-07-05#,21.1915,21.1915,20.6949,20.7224,511400
#2000-07-06#,20.75,20.8052,20.5845,20.8052,988400
#2000-07-07#,20.3085,20.6121,20.143,20.143,553400
#2000-07-10#,20.4741,20.4741,20.2258,20.281,1006200
#2000-07-11#,20.1982,20.2534,19.9774,19.9774,906200
#2000-07-12#,20.0326,20.0326,19.7015,19.7567,998600
#2000-07-13#,19.7567,19.8119,19.4256,19.4256,1572400
#2000-07-14#,19.3152,19.8946,19.3152,19.8946,324600
#2000-07-17#,19.7567,19.8946,19.6463,19.8671,472800
#2000-07-18#,19.8119,19.8119,19.5635,19.6739,672200
#2000-07-19#,19.8395,19.9222,19.6463,19.7291,356600
#2000-07-20#,19.7567,20.0326,19.7567,20.0326,539400
#2000-07-21#,20.0878,20.1706,19.9222,19.9498,495000
#2000-07-24#,19.9222,19.9222,19.4532,19.4808,604800
#2000-07-25#,19.4256,19.4256,18.7357,18.9289,1297600
#2000-07-26#,19.0669,19.0669,18.8185,18.8185,686000
#2000-07-27#,18.8461,18.9841,18.7357,18.9013,506400
#2000-07-28#,18.9013,18.9013,18.5426,18.5702,640200
#2000-07-31#,18.653,18.6806,18.515,18.6254,338000
#2000-08-01#,18.6254,18.6806,18.5426,18.653,787600
#2000-08-02#,18.7909,19.2048,18.7909,19.0117,1631800
#2000-08-03#,18.9841,19.3152,18.8185,19.26,504400
#2000-08-04#,19.26,19.6187,19.2324,19.6187,696600
#2000-08-07#,19.8119,19.9774,19.7843,19.8671,1144800
#2000-08-08#,19.8671,20.0878,19.8671,19.9498,1083400
#2000-08-09#,19.9498,19.9498,19.5911,19.6187,775600
#2000-08-10#,19.6187,19.7015,19.5635,19.6187,570600
#2000-08-11#,19.5911,19.5911,18.9841,19.4808,1106600
#2000-08-14#,18.2115,19.1496,18.2115,19.0393,4309800
#2000-08-15#,19.2048,19.398,18.9841,19.0944,3495400
#2000-08-16#,19.7567,19.7567,19.2876,19.3152,2379400
#2000-08-17#,19.398,19.7015,19.1772,19.7015,2735000
#2000-08-18#,19.7015,19.7015,19.3428,19.5911,554000
#2000-08-21#,19.0944,19.4256,19.0944,19.4256,1019400
#2000-08-22#,19.4256,19.6187,19.3428,19.3704,1126200
#2000-08-23#,19.3152,19.4532,19.2048,19.4532,751400
#2000-08-24#,19.4256,19.5083,19.3428,19.398,1433200
#2000-08-25#,19.2876,19.7015,19.122,19.5911,902200
#2000-08-28#,19.6187,19.7015,19.5635,19.6187,694200
#2000-08-29#,19.5359,19.6463,19.2876,19.5083,883800
#2000-08-30#,19.5083,19.7567,19.4808,19.5635,719000
#2000-08-31#,19.5635,19.6463,19.26,19.5359,738200
#2000-09-01#,19.8671,21.0812,19.8671,20.9156,2639200
#2000-09-04#,19.8671,21.0812,19.8671,20.9156,2639200
#2000-09-05#,21.0812,21.0812,20.6121,20.6397,1097600
#2000-09-06#,20.5293,20.6397,20.143,20.3085,1182800
#2000-09-07#,19.9498,19.9498,19.6463,19.8946,1142200
#2000-09-08#,19.8671,19.8946,19.5635,19.7567,670800
#2000-09-11#,19.7015,19.8395,19.5635,19.7291,307800
#2000-09-12#,20.0878,20.3085,20.0326,20.2258,1180400
#2000-09-13#,20.4189,20.6397,20.3913,20.4741,1532200
#2000-09-14#,20.9708,20.9708,20.5293,20.75,2203200
#2000-09-15#,20.8604,21.2743,20.7776,20.9432,2124000
#2000-09-18#,20.5293,20.5293,20.0878,20.1982,1131200
#2000-09-19#,19.9222,19.9498,19.7843,19.8119,1387200
#2000-09-20#,19.4256,19.5911,19.0669,19.2876,1568000
#2000-09-21#,19.398,19.5635,19.3704,19.4256,1198400
#2000-09-22#,19.2048,19.4256,18.9841,19.398,757000
#2000-09-25#,19.5911,19.7843,19.2048,19.2876,868600
#2000-09-26#,20.0878,20.3085,20.005,20.143,1285600
#2000-09-27#,20.5845,21.2467,20.5293,20.9156,2774200
#2000-09-28#,21.1915,21.5502,21.1363,21.4675,2014000
#2000-09-29#,21.0812,21.1639,20.6397,20.6949,1342000
#2000-10-02#,20.5845,20.6121,20.2534,20.281,831200
#2000-10-03#,20.3085,20.4189,20.0326,20.0878,1865400
#2000-10-04#,19.9774,19.9774,19.4532,19.5083,2008400
#2000-10-05#,18.5426,18.9841,17.77,18.1011,1707000
#2000-10-06#,18.1287,18.1287,16.7766,17.2181,2357200
#2000-10-09#,17.8528,17.9631,17.494,17.6044,1021600
#2000-10-10#,17.3837,17.6596,17.3561,17.494,1301400
#2000-10-11#,17.4665,17.4665,16.8594,16.8594,1051000
#2000-10-12#,16.749,16.7766,16.0316,16.2248,2421400
#2000-10-13#,16.2248,16.9422,16.2248,16.8594,1296200
#2000-10-16#,16.9146,17.494,16.887,16.887,1098000
#2000-10-17#,16.7766,16.8042,15.6729,16.004,1477800
#2000-10-18#,15.4522,15.4522,14.514,15.3142,2414200
#2000-10-19#,15.2314,15.8385,14.9279,15.7557,2724000
#2000-10-20#,15.7557,16.1696,15.4797,15.8385,1997600
#2000-10-23#,15.9488,16.2799,15.8936,16.2799,2511600
#2000-10-24#,15.8936,16.2524,15.7281,15.7833,5820000
#2000-10-25#,15.3418,15.5901,15.3142,15.3418,1339200
#2000-10-26#,15.397,15.6177,14.9003,15.3694,880400
#2000-10-27#,15.6453,16.004,15.5073,15.6729,686400
#2000-10-30#,16.1696,16.3351,15.9212,15.9212,1683800
#2000-10-31#,15.4522,15.9764,15.4522,15.9764,2679200
#2000-11-01#,15.6729,15.6884,15.397,15.4246,1942800
#2000-11-02#,16.2248,16.4455,15.8936,16.2248,1705000
#2000-11-03#,16.4455,16.7766,16.4455,16.749,1532200
#2000-11-06#,16.887,17.1077,16.749,17.0802,1053600
#2000-11-07#,17.025,17.0802,16.749,16.8042,458400
#2000-11-08#,16.749,16.749,16.0592,16.1696,634400
#2000-11-09#,14.2381,14.7071,14.0173,14.2657,6723800
#2000-11-10#,13.6862,14.3484,13.631,14.3484,3167000
#2000-11-13#,14.2381,14.5416,14.0449,14.514,1160600
#2000-11-14#,14.514,14.8451,14.4588,14.7071,1936400
#2000-11-15#,14.4588,14.4864,13.9069,14.0449,925800
#2000-11-16#,13.9621,14.1001,13.8518,13.8518,511600
#2000-11-17#,14.1553,14.1829,13.769,13.8518,668000
#2000-11-20#,13.5206,13.6862,13.4654,13.5758,976600
#2000-11-21#,13.4654,13.493,13.0791,13.3827,1377400
#2000-11-22#,12.8584,13.1343,12.8308,12.9136,2019200
#2000-11-23#,12.8584,13.1343,12.8308,12.9136,2019200
#2000-11-24#,13.2447,13.2447,13.0516,13.1895,552400
#2000-11-27#,13.8518,14.1001,13.7414,13.9345,1239800
#2000-11-28#,13.8518,13.8793,13.2999,13.6586,1369400
#2000-11-29#,13.631,13.6586,13.3551,13.5206,1584600
#2000-11-30#,13.5482,13.5482,13.2447,13.4654,2230200
#2000-12-01#,13.7966,13.9069,13.6862,13.8793,1238400
#2000-12-04#,13.8518,13.9897,13.631,13.9621,2616800
#2000-12-05#,13.9621,14.514,13.9621,14.4588,1506000
#2000-12-06#,14.3484,14.4312,14.1001,14.2381,1599600
#2000-12-07#,14.0725,14.2657,13.7966,14.0173,1123400
#2000-12-08#,14.0725,14.0725,13.5482,13.5758,1613200
#2000-12-11#,13.5758,13.8518,13.3827,13.631,1306800
#2000-12-12#,13.631,13.6862,13.4103,13.5482,910800
#2000-12-13#,13.5206,13.5758,13.3827,13.493,1319600
#2000-12-14#,13.3827,13.3827,12.748,13.024,1270400
#2000-12-15#,12.9136,12.9136,12.3893,12.6652,818600
#2000-12-18#,13.024,13.3551,12.9136,13.024,707800
#2000-12-19#,13.1895,13.4654,12.9964,12.9964,929400
#2000-12-20#,13.1067,13.1067,12.6377,12.7204,860600
#2000-12-21#,12.6652,12.748,12.4721,12.6377,950600
#2000-12-22#,12.6377,12.6377,12.3065,12.3617,1159200
#2000-12-25#,12.6377,12.6377,12.3065,12.3617,1159200
#2000-12-26#,12.3893,12.4445,11.865,11.9202,907800
#2000-12-27#,12.0858,12.2514,12.003,12.2238,2073000
#2000-12-28#,12.2514,12.4721,12.2514,12.4445,1538400
#2000-12-29#,12.8584,12.9964,12.6377,12.8308,1424000
#2001-01-01#,12.8584,12.9964,12.6377,12.8308,1424000
