"Date","Open","High","Low","Close","Volume"
#1996-01-01#,10.528,10.639,10.5,10.611,3718350
#1996-01-02#,10.556,10.556,10.361,10.528,6835500
#1996-01-03#,10.333,10.417,10.222,10.333,11496150
#1996-01-04#,10.333,10.417,10.167,10.306,9165150
#1996-01-05#,10.111,10.222,9.972,10.056,9049050
#1996-01-08#,9.889,9.944,9.778,9.778,4271400
#1996-01-09#,9.75,9.778,9.556,9.556,8620200
#1996-01-10#,9.472,9.778,9.472,9.778,9157950
#1996-01-11#,9.75,9.75,9.639,9.722,9985050
#1996-01-12#,9.722,9.75,9.556,9.667,8393400
#1996-01-15#,9.667,9.722,9.639,9.667,4529250
#1996-01-16#,9.778,9.806,9.556,9.75,7642800
#1996-01-17#,9.694,9.75,9.222,9.222,10347300
#1996-01-18#,9.306,9.5,9.278,9.444,7651350
#1996-01-19#,9.472,9.861,9.444,9.75,8244000
#1996-01-22#,9.75,9.917,9.722,9.806,5710050
#1996-01-23#,9.861,10.167,9.806,10.167,8209350
#1996-01-24#,10.167,10.306,10.111,10.194,6056550
#1996-01-25#,10.194,10.194,10.083,10.139,3347100
#1996-01-26#,10,10.111,10,10.028,3405600
#1996-01-29#,10,10.083,9.778,9.778,5991300
#1996-01-30#,9.861,10,9.806,9.944,5202900
#1996-01-31#,9.972,10.25,9.944,10.222,8037450
#1996-02-01#,10.222,10.306,10.111,10.25,4600800
#1996-02-02#,10.222,10.25,10.056,10.111,5634000
#1996-02-05#,10.028,10.194,9.944,10.194,3236400
#1996-02-06#,10.194,10.194,9.972,10.028,5702850
#1996-02-07#,10.194,10.25,10.111,10.167,4890600
#1996-02-08#,10.194,10.333,10.167,10.333,6691500
#1996-02-09#,10.222,10.528,10.222,10.444,9994950
#1996-02-12#,10.444,10.528,10.306,10.306,4348800
#1996-02-13#,10.194,10.528,10.194,10.472,6295950
#1996-02-14#,10.417,10.472,10.333,10.389,5520150
#1996-02-15#,10.389,10.667,10.361,10.667,9328500
#1996-02-16#,10.667,10.667,10.472,10.528,8064450
#1996-02-19#,10.667,10.667,10.472,10.528,8064450
#1996-02-20#,10.528,10.528,10.083,10.167,7265700
#1996-02-21#,10.194,10.306,10.167,10.306,8152650
#1996-02-22#,10.389,10.528,10.278,10.5,7456500
#1996-02-23#,10.556,10.583,10.25,10.389,6509250
#1996-02-26#,10.111,10.222,9.944,9.972,6311250
#1996-02-27#,10,10.056,9.806,9.806,7910550
#1996-02-28#,9.917,10.028,9.556,9.639,8199000
#1996-02-29#,9.611,9.833,9.5,9.611,5979600
#1996-03-01#,9.778,9.889,9.611,9.833,5637600
#1996-03-04#,9.944,10.806,9.917,10.583,23203800
#1996-03-05#,10.5,10.889,10.417,10.806,13982850
#1996-03-06#,10.861,10.861,10.5,10.5,7738200
#1996-03-07#,10.444,10.75,10.389,10.694,6066450
#1996-03-08#,10.5,10.694,10.278,10.361,11778300
#1996-03-11#,10.361,10.667,10.278,10.667,6676200
#1996-03-12#,10.556,10.806,10.528,10.778,11975850
#1996-03-13#,10.806,10.806,10.667,10.778,4668750
#1996-03-14#,10.778,10.861,10.722,10.778,7033050
#1996-03-15#,10.833,11.056,10.778,11,13860000
#1996-03-18#,11.028,11.111,10.944,11.111,8006850
#1996-03-19#,11.111,11.194,10.806,10.972,15365250
#1996-03-20#,10.889,10.917,10.722,10.917,6569550
#1996-03-21#,10.917,10.944,10.75,10.75,3699900
#1996-03-22#,10.861,11,10.833,10.944,3930300
#1996-03-25#,11,11,10.806,10.889,3820500
#1996-03-26#,10.833,10.861,10.722,10.75,6291900
#1996-03-27#,10.806,10.944,10.694,10.778,4497750
#1996-03-28#,10.75,10.917,10.694,10.806,6105150
#1996-03-29#,10.917,10.917,10.611,10.611,4644450
#1996-04-01#,10.667,10.694,10.583,10.611,3196800
#1996-04-02#,10.583,10.639,10.472,10.5,4626450
#1996-04-03#,10.444,10.5,10.389,10.444,4727700
#1996-04-04#,10.389,10.417,10.278,10.389,5296950
#1996-04-05#,10.389,10.417,10.278,10.389,5296950
#1996-04-08#,10.111,10.306,10.056,10.111,6001650
#1996-04-09#,10.278,10.278,10.111,10.194,5500350
#1996-04-10#,10.083,10.167,9.833,9.861,9544950
#1996-04-11#,9.861,10.194,9.444,9.778,30580200
#1996-04-12#,9.972,10.028,9.778,9.972,17939250
#1996-04-15#,10.056,10.278,10.056,10.194,7732800
#1996-04-16#,10.25,10.361,10.222,10.306,5431950
#1996-04-17#,10.333,10.389,10.167,10.25,7745850
#1996-04-18#,10.306,10.361,10.222,10.25,5339700
#1996-04-19#,10.278,10.389,10.25,10.333,6103800
#1996-04-22#,10.333,10.5,10.306,10.306,5532300
#1996-04-23#,10.25,10.306,10.167,10.25,6219000
#1996-04-24#,10.278,10.278,10.139,10.222,4095450
#1996-04-25#,10.222,10.5,10.194,10.417,5951250
#1996-04-26#,10.472,10.583,10.389,10.472,3343500
#1996-04-29#,10.417,10.556,10.389,10.528,3682350
#1996-04-30#,10.5,10.611,10.472,10.528,3383100
#1996-05-01#,10.472,10.556,10.417,10.528,4891950
#1996-05-02#,10.472,10.528,10.306,10.361,5331600
#1996-05-03#,10.361,10.472,10.306,10.361,4986000
#1996-05-06#,10.472,10.472,10.278,10.333,3640050
#1996-05-07#,10.333,10.417,10.278,10.361,4727700
#1996-05-08#,10.306,10.333,10.111,10.222,7648200
#1996-05-09#,10.278,10.583,10.222,10.583,6051150
#1996-05-10#,10.722,11,10.694,11,13252950
#1996-05-13#,11.056,11.583,11.028,11.583,19653300
#1996-05-14#,11.556,11.917,11.5,11.806,23346000
#1996-05-15#,11.778,11.806,11.389,11.417,9742500
#1996-05-16#,11.361,11.778,11.306,11.639,10876050
#1996-05-17#,11.694,11.778,11.5,11.528,6705000
#1996-05-20#,11.472,11.833,11.472,11.833,4572000
#1996-05-21#,11.778,11.806,11.667,11.722,4786650
#1996-05-22#,11.639,11.722,11.611,11.639,5073300
#1996-05-23#,11.528,11.694,11.472,11.528,5615100
#1996-05-24#,11.472,11.583,11.472,11.528,3809250
#1996-05-27#,11.472,11.583,11.472,11.528,3809250
#1996-05-28#,11.583,11.611,11.306,11.444,3219750
#1996-05-29#,11.389,11.444,11.194,11.25,4587300
#1996-05-30#,11.111,11.583,11.028,11.5,6059700
#1996-05-31#,11.528,11.528,11.194,11.361,5694750
#1996-06-03#,11.306,11.556,11.222,11.556,3424050
#1996-06-04#,11.861,12.222,11.861,12.167,15159150
#1996-06-05#,12.222,12.528,11.944,12.417,10737900
#1996-06-06#,12.667,12.667,12.222,12.222,7301700
#1996-06-07#,11.889,12.167,11.806,12.111,6818400
#1996-06-10#,12.139,12.444,12.028,12.444,5232150
#1996-06-11#,12.472,12.694,12.361,12.611,9389700
#1996-06-12#,12.556,12.583,12.194,12.278,4382550
#1996-06-13#,12.278,12.417,12.083,12.139,5166000
#1996-06-14#,12.083,12.194,12.028,12.056,3330450
#1996-06-17#,12.056,12.139,12,12.028,2922300
#1996-06-18#,11.972,12.028,11.75,11.778,3290850
#1996-06-19#,11.778,11.972,11.778,11.806,5311350
#1996-06-20#,11.833,11.889,11.722,11.861,3550500
#1996-06-21#,11.917,12.278,11.861,12.167,7465500
#1996-06-24#,12.25,12.361,12.111,12.167,3523500
#1996-06-25#,12.167,12.306,12.139,12.25,5431050
#1996-06-26#,12.25,12.278,11.722,11.722,6332850
#1996-06-27#,11.667,12.194,11.583,12.194,8827200
#1996-06-28#,12.194,12.194,11.944,12,5350050
#1996-07-01#,12.028,12.083,11.889,12.056,4557150
#1996-07-02#,12.056,12.097,11.944,12,5322150
#1996-07-03#,11.972,12.333,11.944,12.306,5975100
#1996-07-04#,11.972,12.333,11.944,12.306,5975100
#1996-07-05#,11.944,12.083,11.917,12.028,3195450
#1996-07-08#,11.944,11.944,11.333,11.5,14265450
#1996-07-09#,11.556,11.833,11.444,11.667,9736650
#1996-07-10#,11.694,11.694,11.417,11.556,6192000
#1996-07-11#,11.694,11.694,11.056,11.167,8745750
#1996-07-12#,11.167,11.333,11.028,11.306,7969050
#1996-07-15#,11.361,11.389,10.75,10.889,7162200
#1996-07-16#,10.861,11.111,10.667,11.056,13343850
#1996-07-17#,11.333,11.639,11.139,11.528,6978600
#1996-07-18#,11.611,11.889,11.389,11.861,6797700
#1996-07-19#,11.917,11.917,11.681,11.694,7318350
#1996-07-22#,11.444,11.667,11.278,11.639,3978450
#1996-07-23#,11.5,11.611,11.167,11.194,5088150
#1996-07-24#,10.722,11.194,10.722,11.111,8437050
#1996-07-25#,11.194,11.25,11.028,11.028,3730500
#1996-07-26#,11.111,11.25,11.056,11.222,3238200
#1996-07-29#,11.222,11.694,11.194,11.472,4623300
#1996-07-30#,11.472,11.528,11.333,11.444,2552400
#1996-07-31#,11.389,11.472,11.194,11.194,4645800
#1996-08-01#,11.222,11.556,11.167,11.528,4996350
#1996-08-02#,11.778,12.111,11.75,11.944,6519150
#1996-08-05#,11.889,11.944,11.639,11.667,2473200
#1996-08-06#,11.583,11.778,11.556,11.639,3719700
#1996-08-07#,11.694,11.833,11.667,11.778,5161500
#1996-08-08#,11.75,11.944,11.611,11.917,4320900
#1996-08-09#,11.972,12.194,11.861,12.139,5474700
#1996-08-12#,12.111,12.361,12.083,12.306,5458500
#1996-08-13#,12.306,12.417,12,12.194,8237700
#1996-08-14#,12,12.194,11.833,11.972,9849600
#1996-08-15#,11.889,11.917,11.722,11.722,4743900
#1996-08-16#,11.75,11.972,11.694,11.722,6375150
#1996-08-19#,11.778,11.861,11.694,11.861,3303900
#1996-08-20#,11.861,11.861,11.75,11.75,2322900
#1996-08-21#,11.778,11.917,11.694,11.917,3136950
#1996-08-22#,11.944,12.083,11.944,12.028,5374800
#1996-08-23#,12.028,12.028,11.889,11.944,2019600
#1996-08-26#,11.972,12.111,11.917,11.972,3420000
#1996-08-27#,12.028,12.056,11.944,12.028,3008700
#1996-08-28#,12.056,12.25,12.028,12.222,5456250
#1996-08-29#,12.222,12.25,11.972,12.028,6023700
#1996-08-30#,12,12,11.722,11.806,3803400
#1996-09-02#,12,12,11.722,11.806,3803400
#1996-09-03#,11.556,11.806,11.528,11.75,3717000
#1996-09-04#,11.75,11.944,11.75,11.889,4416750
#1996-09-05#,11.889,11.972,11.75,11.806,4141350
#1996-09-06#,11.778,12.167,11.778,12.056,3410550
#1996-09-09#,12.111,12.25,12.083,12.222,3503700
#1996-09-10#,12.25,12.278,12.111,12.167,3190500
#1996-09-11#,12.111,12.25,12.056,12.25,3411450
#1996-09-12#,12.25,12.472,12.167,12.417,5615100
#1996-09-13#,12.472,12.694,12.472,12.556,8434350
#1996-09-16#,12.722,13.167,12.694,12.944,11140650
#1996-09-17#,13,13.056,12.694,12.694,6004800
#1996-09-18#,12.694,12.75,12.472,12.5,3311550
#1996-09-19#,12.5,12.806,12.389,12.667,4152150
#1996-09-20#,12.667,12.778,12.639,12.75,4202100
#1996-09-23#,12.694,12.722,12.528,12.667,2524050
#1996-09-24#,12.667,12.722,12.5,12.583,3282750
#1996-09-25#,12.611,12.611,12.306,12.472,5793300
#1996-09-26#,12.417,12.722,12.361,12.583,6974550
#1996-09-27#,12.528,12.556,12.444,12.528,7625250
#1996-09-30#,12.528,12.667,12.5,12.639,6149700
#1996-10-01#,12.75,12.972,12.667,12.944,10060650
#1996-10-02#,13,13.111,12.833,12.972,6671250
#1996-10-03#,12.944,12.972,12.889,12.972,4389300
#1996-10-04#,13,13.222,13,13.111,5972400
#1996-10-07#,13.083,13.167,12.944,13,3036150
#1996-10-08#,12.944,13,12.861,12.861,4261050
#1996-10-09#,12.917,12.972,12.583,12.639,5481450
#1996-10-10#,12.583,12.861,12.528,12.806,6682950
#1996-10-11#,12.889,12.917,12.75,12.861,2974500
#1996-10-14#,12.861,13,12.861,12.889,1690200
#1996-10-15#,12.889,12.972,12.528,12.611,3918600
#1996-10-16#,12.639,12.639,12.5,12.639,3228750
#1996-10-17#,12.75,12.861,12.528,12.694,3406500
#1996-10-18#,12.722,12.806,12.667,12.806,3280950
#1996-10-21#,12.806,12.861,12.722,12.833,3141000
#1996-10-22#,12.861,12.917,12.722,12.75,3567600
#1996-10-23#,12.639,12.667,12.444,12.5,3974850
#1996-10-24#,12.5,12.639,12.417,12.528,3774600
#1996-10-25#,12.472,12.528,12.25,12.278,4149450
#1996-10-28#,12.25,12.333,11.944,12,7226100
#1996-10-29#,11.972,12.222,11.861,12.222,7120350
#1996-10-30#,12.222,12.222,11.722,11.722,9774900
#1996-10-31#,11.778,12.194,11.75,12.194,7985250
#1996-11-01#,12.167,12.194,11.917,11.944,4381200
#1996-11-04#,11.889,12,11.861,11.889,3872700
#1996-11-05#,11.944,12.083,11.917,12.083,5773050
#1996-11-06#,12.083,12.278,12.028,12.222,4858200
#1996-11-07#,12.194,12.278,11.75,12.111,10858500
#1996-11-08#,12.111,12.722,12.111,12.639,9346500
#1996-11-11#,12.639,12.639,12.417,12.611,4057650
#1996-11-12#,12.556,12.556,11.778,11.861,22914000
#1996-11-13#,11.917,12,11.667,12,13030200
#1996-11-14#,11.889,12,11.833,11.833,8071650
#1996-11-15#,12,12,11.778,11.806,9160200
#1996-11-18#,11.833,11.889,11.583,11.75,7441650
