"Date","Open","High","Low","Close","Volume"
#1994-01-03#,14.2188,14.4688,14.2188,14.4063,4425600
#1994-01-04#,14.5313,14.7813,14.5,14.75,7390000
#1994-01-05#,14.75,14.9688,14.625,14.875,10291600
#1994-01-06#,15,15,14.625,14.625,9567200
#1994-01-07#,14.625,14.8438,14.5,14.7188,5834800
#1994-01-10#,14.7188,14.875,14.625,14.8125,6962000
#1994-01-11#,14.7813,14.8438,14.625,14.6563,6808800
#1994-01-12#,14.6875,14.7188,14.5313,14.5313,6050800
#1994-01-13#,14.5625,14.75,14.5625,14.6875,7180400
#1994-01-14#,14.6875,14.875,14.5938,14.6563,6346400
#1994-01-17#,14.625,14.625,14.2813,14.375,6111200
#1994-01-18#,14.3438,14.3438,14.0938,14.2813,9092800
#1994-01-19#,14.1875,14.25,13.9375,14,7836400
#1994-01-20#,13.9688,13.9688,13.7813,13.8125,8963200
#1994-01-21#,13.7813,13.9063,13.6875,13.8125,12729600
#1994-01-24#,13.9375,14.6875,13.9375,14.6563,16877200
#1994-01-25#,14.7188,14.8438,13.8125,14.5625,40619600
#1994-01-26#,14.6875,14.6875,14,14.0938,16367200
#1994-01-27#,14.1563,14.375,14.125,14.2813,8863200
#1994-01-28#,14.5313,14.5313,14.375,14.4375,6176800
#1994-01-31#,14.4688,14.4688,14.125,14.125,8376400
#1994-02-01#,14.2188,14.3438,14.125,14.125,7441200
#1994-02-02#,14.125,14.125,13.875,14.0938,8614400
#1994-02-03#,14.0625,14.2188,13.8438,13.9375,7058000
#1994-02-04#,13.875,13.9063,13,13,14304400
#1994-02-07#,13.0938,13.6563,13.0625,13.5625,16496000
#1994-02-08#,13.6875,13.6875,13.3438,13.4063,8034400
#1994-02-09#,13.4688,13.625,13.25,13.2813,7931200
#1994-02-10#,13.3438,13.4688,13.1875,13.2188,6264400
#1994-02-11#,13.125,13.3438,13,13.3125,7954400
#1994-02-14#,13.3438,13.6563,13.3438,13.5,7488000
#1994-02-15#,13.5938,13.6563,13.5,13.625,6914400
#1994-02-16#,13.8125,13.8125,13.625,13.6563,5993600
#1994-02-17#,13.7188,13.75,13.125,13.1875,9156800
#1994-02-18#,13.1563,13.2188,13.0313,13.1563,10718800
#1994-02-21#,13.1563,13.2188,13.0313,13.1563,10718800
#1994-02-22#,13.1563,13.4688,13.1563,13.4063,5101200
#1994-02-23#,13.4375,13.5625,13.3125,13.375,4780800
#1994-02-24#,13.3125,13.3438,13.1563,13.2188,6663600
#1994-02-25#,13.3438,13.3438,13.1563,13.2188,4246800
