"Date","Open","High","Low","Close","Volume"
#2010-01-01#,47.86,48,47.48,47.79,715837
#2010-01-04#,48.54,49.36,48.52,49.35,1717457
#2010-01-05#,49.35,49.66,49,49.45,1871017
#2010-01-06#,49.4,49.87,49.26,49.56,1670264
#2010-01-07#,49.32,49.51,49.03,49.45,1204380
#2010-01-08#,49.68,49.85,49.43,49.82,1353625
#2010-01-11#,50.17,50.21,49.095,49.53,2656270
#2010-01-12#,48.9,49.195,48.48,48.76,1844824
#2010-01-13#,49.27,49.34,48.39,48.9,2129896
#2010-01-14#,48.65,48.65,48.12,48.23,1515822
#2010-01-15#,48.2,48.32,47.42,47.48,2087647
#2010-01-18#,48.2,48.32,47.42,47.48,2087647
#2010-01-19#,47.84,48.31,47.67,48.31,1622288
#2010-01-20#,47.35,47.5,46.45,46.87,2891380
#2010-01-21#,46.73,46.93,44.95,44.95,5157133
#2010-01-22#,44.62,45.175,44.11,44.33,5082942
#2010-01-25#,44.79,45.1,44.14,44.29,5697231
#2010-01-26#,43.75,44.6015,43.43,43.87,3823172
#2010-01-27#,43.59,43.75,42.77,43.43,3775822
#2010-01-28#,44,44.007,42.765,43.55,5830286
#2010-01-29#,44.02,44.19,42.48,42.62,5150397
#2010-02-01#,43.12,44.2,43.11,44.15,3728431
#2010-02-02#,44.5,44.8219,44.05,44.69,2599129
#2010-02-03#,44.51,44.69,44.03,44.2,2125288
#2010-02-04#,43.44,43.44,41.84,41.84,5023913
#2010-02-05#,41.81,41.95,40.39,41.87,9017101
#2010-02-08#,41.81,42.35,41.41,41.45,3918014
#2010-02-09#,42.71,43.46,42.375,42.98,4847103
#2010-02-10#,42.99,43.24,42.34,42.75,2457214
#2010-02-11#,42.83,44.03,42.49,44.02,2419732
#2010-02-12#,43.01,43.89,42.89,43.75,1846873
#2010-02-15#,43.01,43.89,42.89,43.75,1846873
#2010-02-16#,44.37,44.98,44.27,44.9,2790364
#2010-02-17#,45.32,45.33,44.695,45.14,2736996
#2010-02-18#,44.83,45.69,44.82,45.45,3437822
#2010-02-19#,45.13,45.72,45.03,45.52,2145462
#2010-02-22#,45.78,45.84,45.06,45.24,2058146
#2010-02-23#,44.83,45.24,43.7674,44.02,3278781
#2010-02-24#,44.15,44.44,43.8,44.03,1434846
#2010-02-25#,43.16,44.43,42.901,44.31,4362723
#2010-02-26#,44.59,44.95,44.05,44.95,2126992
#2010-03-01#,45.49,45.57,44.97,45.42,1965422
#2010-03-02#,45.79,46.34,45.7101,46.12,1758089
#2010-03-03#,46.42,46.9,45.91,46.27,2152662
#2010-03-04#,46.55,46.55,45.67,46.06,1356867
#2010-03-05#,46.75,47.11,46.48,47.11,3063998
#2010-03-08#,47.14,47.27,46.69,46.88,1535906
#2010-03-09#,46.55,47.77,46.55,47.42,2580904
#2010-03-10#,47.59,48.09,47.43,47.77,1653230
#2010-03-11#,47.57,47.84,47.21,47.81,1126394
#2010-03-12#,48.11,48.13,47.67,47.71,1438616
#2010-03-15#,47.54,47.81,47.1501,47.59,1244239
#2010-03-16#,47.78,48.22,47.56,48.22,1397235
#2010-03-17#,48.48,48.59,47.93,48.12,2573896
#2010-03-18#,47.89,48.11,47.27,47.56,1424124
#2010-03-19#,47.82,47.82,46.77,46.84,2769858
#2010-03-22#,46.29,47.169,46.08,47.1,2084260
#2010-03-23#,47.52,47.73,47.24,47.71,1943554
#2010-03-24#,47.19,47.695,46.949,47,1891703
#2010-03-25#,47.39,47.57,46.52,46.54,1884784
#2010-03-26#,46.57,46.97,46.16,46.56,2546623
#2010-03-29#,46.95,47.76,46.89,47.75,1902350
#2010-03-30#,48,48.15,47.6,47.98,1441806
#2010-03-31#,47.95,48.35,47.82,48.27,1793990
#2010-04-01#,48.82,49.28,48.79,49.15,2183432
#2010-04-02#,48.82,49.28,48.79,49.15,2183432
#2010-04-05#,49.55,49.69,49.32,49.64,2722224
#2010-04-06#,49.41,49.9,49.35,49.77,1925581
#2010-04-07#,49.68,49.77,48.8585,49.23,2212948
#2010-04-08#,48.71,49.49,48.54,49.44,1983525
#2010-04-09#,49.56,49.83,49.3301,49.78,2076062
#2010-04-12#,49.76,49.83,49.4,49.46,1221102
#2010-04-13#,49.36,49.56,48.91,49.35,1340118
#2010-04-14#,49.83,49.93,49.57,49.78,1188157
#2010-04-15#,49.62,50,49.45,49.5,2246049
#2010-04-16#,49.35,49.37,48.05,48.38,3477625
#2010-04-19#,47.93,48.5,47.57,48.25,1899761
#2010-04-20#,48.73,48.79,48.405,48.44,1802007
#2010-04-21#,48.53,48.72,47.63,48.06,2673837
#2010-04-22#,47.91,48.545,47.45,48.52,2952015
#2010-04-23#,48.2,48.84,48.15,48.8,1645695
#2010-04-26#,49.02,49.21,48.6101,48.66,3522340
#2010-04-27#,47.99,48.17,46.62,46.66,3677535
#2010-04-28#,47.25,47.37,46.3,47.18,4373860
#2010-04-29#,47.8,48.46,47.74,48.31,3121112
#2010-04-30#,48.38,48.62,47.81,47.87,2878796
#2010-05-03#,47.99,48.42,47.39,47.69,1771662
#2010-05-04#,46.79,46.83,45.48,45.53,4498614
#2010-05-05#,44.67,45.79,44.07,44.95,4240819
#2010-05-06#,44.46,45.38,40.51,43.2,6080538
#2010-05-07#,43.29,43.85,41.7701,43.19,9812247
#2010-05-10#,46.15,46.46,45.47,46.21,4472363
#2010-05-11#,45.41,46.3378,45.36,45.59,3155575
#2010-05-12#,45.97,46.54,45.84,46.16,1926783
#2010-05-13#,46.16,46.33,45.53,45.53,1986990
#2010-05-14#,45.04,45.24,43.91,44.55,3043806
#2010-05-17#,44.36,44.81,43,43.96,3293100
#2010-05-18#,44.74,44.87,42.92,43.06,2951927
#2010-05-19#,41.85,42.55,41.34,42.1,4744412
#2010-05-20#,40.51,41.21,39.96,40.27,6398422
#2010-05-21#,39.6,41.72,39.44,41.69,5877657
#2010-05-24#,41.71,42.06,41.02,41.02,3127328
#2010-05-25#,39.41,40.93,39.21,40.87,5093761
#2010-05-26#,41.57,42.4,40.96,41.21,4097913
#2010-05-27#,42.68,43.54,42.37,43.54,3148760
#2010-05-28#,43.24,43.43,42.54,42.81,4328822
#2010-05-31#,43.24,43.43,42.54,42.81,4328822
#2010-06-01#,42.92,43.78,42.49,42.59,3698546
#2010-06-02#,42.92,43.95,42.75,43.94,2904152
#2010-06-03#,44.37,44.43,42.87,43.57,2191205
#2010-06-04#,42.74,43.19,42.06,42.14,2562928
#2010-06-07#,42.26,42.46,41.5,41.55,3013184
#2010-06-08#,41.96,42.66,41.6,42.52,2780972
#2010-06-09#,42.96,43.5,42.46,42.6,2695271
#2010-06-10#,43.58,44.29,43.58,44.27,2526914
#2010-06-11#,43.58,44.55,43.56,44.55,1793691
#2010-06-14#,44.97,45.09,44.1,44.18,2547052
#2010-06-15#,44.64,45.44,44.5,45.29,2318299
#2010-06-16#,44.95,45.81,44.8,45.47,3135187
#2010-06-17#,45.83,45.93,44.96,45.32,2993234
#2010-06-18#,45.49,45.72,45.23,45.4,1264133
#2010-06-21#,45.68,45.83,44.91,45.19,3397479
#2010-06-22#,45.32,45.51,44.34,44.4,2232692
#2010-06-23#,44.49,44.51,43.62,44.33,2586215
#2010-06-24#,44.13,44.17,43.29,43.52,1990336
#2010-06-25#,43.64,44.3162,43.33,44.15,2213485
#2010-06-28#,44.29,44.38,43.77,43.87,1467963
#2010-06-29#,42.68,42.8,41.6263,41.8,4411650
#2010-06-30#,42.03,42.5901,41.37,41.42,2658561
#2010-07-01#,41.62,41.86,40.65,41.86,2743253
#2010-07-02#,42.13,42.415,41.68,42.25,1734220
#2010-07-05#,42.13,42.415,41.68,42.25,1734220
#2010-07-06#,43.04,43.33,42.04,42.51,2206318
#2010-07-07#,42.54,43.92,42.47,43.9,2371096
#2010-07-08#,44.15,44.36,43.66,44.32,1751561
#2010-07-09#,44.31,44.91,44.21,44.91,1985312
#2010-07-12#,44.38,44.69,43.73,43.85,1860406
#2010-07-13#,44.43,44.73,44.28,44.57,2260483
#2010-07-14#,44.15,44.59,44.01,44.39,1189290
#2010-07-15#,44.35,44.39,43.64,44.08,1347613
#2010-07-16#,43.88,43.88,42.89,42.9,1519161
#2010-07-19#,43.36,43.56,43,43.45,1208958
#2010-07-20#,43.1,44.79,43.1,44.6,1920957
#2010-07-21#,45.02,45.25,44.32,44.58,2212446
#2010-07-22#,45.31,46.14,45.18,46.04,2051330
#2010-07-23#,45.75,46.31,45.57,46.27,1816600
#2010-07-26#,46.1,46.48,45.96,46.48,1849306
#2010-07-27#,46.75,46.9,46.01,46.12,2018933
#2010-07-28#,46.15,46.64,46,46.32,3061444
#2010-07-29#,46.8,46.85,45.92,46.26,1927529
#2010-07-30#,45.82,46.61,45.71,46.61,2378702
#2010-08-02#,47.26,47.66,47.12,47.6,3682128
#2010-08-03#,47.19,47.63,47,47.38,3585585
#2010-08-04#,47.6,47.64,47.03,47.58,2650959
#2010-08-05#,47.44,47.55,47.27,47.46,1412963
#2010-08-06#,47.26,47.52,46.91,47.2,2003227
#2010-08-09#,47.5,47.62,47.36,47.4,1475536
#2010-08-10#,46.8,47.29,46.62,47.02,2186210
#2010-08-11#,46.22,46.242,45.43,45.45,3905225
#2010-08-12#,45.08,45.85,44.9,45.79,1746152
#2010-08-13#,45.86,46.19,45.8,45.88,1233185
#2010-08-16#,45.75,46.505,45.74,46.44,1659819
#2010-08-17#,46.95,47.1,46.78,46.8,1356812
#2010-08-18#,46.83,47.05,46.57,46.88,1650984
#2010-08-19#,46.69,46.77,45.96,46.25,2702023
#2010-08-20#,46.05,46.12,45.5601,46.05,1128692
#2010-08-23#,46.39,46.4,45.41,45.41,2147382
#2010-08-24#,44.78,45.07,44.41,44.67,2639816
#2010-08-25#,44.35,44.66,43.83,44.55,2314728
#2010-08-26#,44.92,45.01,44.1,44.17,2122657
#2010-08-27#,44.52,45.47,44.2,45.43,2420260
#2010-08-30#,45.15,45.37,44.49,44.49,1419555
#2010-08-31#,44.75,45.25,44.63,45.21,2360750
#2010-09-01#,45.97,46.95,45.87,46.81,3117007
#2010-09-02#,46.8,47.15,46.73,47.15,1196152
#2010-09-03#,47.75,47.88,47.29,47.41,2335962
#2010-09-06#,47.75,47.88,47.29,47.41,2335962
#2010-09-07#,47.05,47.2,46.7,46.8,2478107
#2010-09-08#,47.24,47.39,47.01,47.11,1488405
#2010-09-09#,47.48,47.51,46.94,47.14,1266574
#2010-09-10#,47.26,47.34,47.1,47.34,937627
#2010-09-13#,47.98,48.46,47.73,48.41,1811612
#2010-09-14#,48.46,48.8,48.18,48.35,1175972
#2010-09-15#,48.11,48.39,47.96,48.3,1319018
#2010-09-16#,48.32,48.39,48.09,48.31,1183823
#2010-09-17#,48.41,48.56,47.95,48.05,1784164
#2010-09-20#,48.29,48.62,48.02,48.51,1497722
#2010-09-21#,48.52,48.64,48.0981,48.41,2039384
#2010-09-22#,48.66,49,48.45,48.65,2043530
#2010-09-23#,48.42,49.27,48.29,48.72,2395945
#2010-09-24#,49.08,49.42,48.73,48.73,2094925
#2010-09-27#,48.98,49.45,48.8,49.25,1820355
#2010-09-28#,49.41,49.88,48.98,49.71,1564932
#2010-09-29#,49.75,50.1,49.65,49.91,1685111
#2010-09-30#,50.31,50.54,49.7705,50.54,2422935
#2010-10-01#,50.96,51.13,50.54,51.05,2708449
#2010-10-04#,50.95,51.1,50.47,50.68,2384005
#2010-10-05#,51,51.86,50.99,51.82,2399250
#2010-10-06#,51.63,51.82,51.26,51.38,1785377
#2010-10-07#,51.72,51.75,50.5,50.71,2284574
#2010-10-08#,50.83,51.7062,50.8,51.66,1694392
#2010-10-11#,51.85,51.99,51.55,51.73,1507147
#2010-10-12#,51.53,51.85,51.07,51.85,1885861
#2010-10-13#,52.37,52.86,52.23,52.75,2500008
#2010-10-14#,52.54,52.8499,52.3093,52.55,1888828
#2010-10-15#,53.03,53.03,52.22,52.39,2151011
#2010-10-18#,52.05,52.99,52.04,52.99,1178589
#2010-10-19#,51.49,52,51.07,51.26,2776939
#2010-10-20#,51.59,52.31,51.46,52.1,1729378
#2010-10-21#,52.11,52.5,50.93,51.32,3014064
#2010-10-22#,51.87,51.95,51.29,51.56,1259257
#2010-10-25#,51.93,52.48,51.93,52.14,2173113
#2010-10-26#,51.95,52.42,51.7,52.36,1225728
#2010-10-27#,51.9,51.95,51.0501,51.44,2136524
#2010-10-28#,52,52.47,51.56,51.83,1754111
#2010-10-29#,51.83,52.23,51.83,52.12,1290827
#2010-11-01#,52.27,52.89,52.15,52.58,2233340
#2010-11-02#,52.79,53.43,52.79,53.41,1632517
#2010-11-03#,53.46,53.46,52.6,53.17,1629682
#2010-11-04#,53.77,54.63,53.76,54.63,1953807
#2010-11-05#,54.57,54.87,54.24,54.53,2771037
#2010-11-08#,54.07,54.52,53.97,54.49,1390929
#2010-11-09#,54.66,54.85,53.12,53.35,2090400
#2010-11-10#,53.44,53.79,52.66,53.55,1619536
#2010-11-11#,53.03,53.25,52.82,53.15,1189202
#2010-11-12#,52.64,53.03,51.95,52.21,1625215
#2010-11-15#,52.58,52.7519,52.16,52.17,1057706
#2010-11-16#,51.56,51.8,50.63,50.81,2564460
#2010-11-17#,51.18,51.59,51.05,51.3,2113728
#2010-11-18#,52.31,52.65,52.15,52.52,1972272
#2010-11-19#,52.28,52.725,51.92,52.71,1399325
#2010-11-22#,52.34,52.67,51.78,52.41,1300354
#2010-11-23#,51.57,51.68,50.84,51.02,1821936
#2010-11-24#,51.87,52.31,51.75,52.31,1832960
#2010-11-25#,51.87,52.31,51.75,52.31,1832960
#2010-11-26#,51.4,51.78,51.26,51.33,910841
#2010-11-29#,51.18,51.52,50.52,51.46,2194018
#2010-11-30#,50.78,51.63,50.78,51.11,1060483
#2010-12-01#,52.05,52.28,51.8261,52.09,2249809
#2010-12-02#,52.25,52.88,52.22,52.82,1640676
#2010-12-03#,52.43,53.1795,52.38,53.17,1486500
#2010-12-06#,52.97,53.23,52.922,53.21,857483
