"Date","Open","High","Low","Close","Volume"
#2009-01-01#,7100,7200,7060,7100,338658
#2009-01-02#,7050,7200,6980,7200,15867
#2009-01-05#,7140,7210,7050,7200,363713
#2009-01-06#,7150,7400,7150,7400,287666
#2009-01-07#,7390,7390,7200,7300,128618
#2009-01-08#,7300,7400,7220,7400,314275
#2009-01-09#,7400,7450,7310,7380,205225
#2009-01-12#,7400,7450,7310,7380,205225
#2009-01-13#,7350,7410,7210,7400,167346
#2009-01-14#,7480,7480,7300,7300,196379
#2009-01-15#,7300,7400,7260,7400,425932
#2009-01-16#,7400,7410,7280,7300,133517
#2009-01-19#,7290,7340,7210,7300,276159
#2009-01-20#,7270,7300,7230,7300,217718
#2009-01-21#,7300,7320,7250,7320,69946
#2009-01-22#,7280,7340,7240,7340,201612
#2009-01-23#,7280,7300,7220,7280,150214
#2009-01-26#,7290,7320,7280,7320,283569
#2009-01-27#,7340,7380,7330,7380,124659
#2009-01-28#,7400,7510,7400,7410,541564
#2009-01-29#,7410,7420,7350,7360,75960
#2009-01-30#,7380,7470,7300,7440,226163
#2009-02-02#,7390,7400,7280,7290,409568
#2009-02-03#,7300,7340,7290,7340,233585
#2009-02-04#,7340,7340,7310,7320,147106
#2009-02-05#,7320,7360,7310,7340,405533
#2009-02-06#,7360,7390,7340,7350,536035
#2009-02-09#,7380,7450,7250,7400,601403
#2009-02-10#,7300,7310,7280,7280,284243
#2009-02-11#,7240,7300,7240,7280,182134
#2009-02-12#,7210,7250,7140,7250,1127267
#2009-02-13#,7280,7430,7280,7430,672890
#2009-02-16#,7320,7400,7320,7390,101120
#2009-02-17#,7320,7340,7220,7300,147634
#2009-02-18#,7300,7300,7210,7250,280639
#2009-02-19#,7280,7280,7250,7250,132435
#2009-02-20#,7220,7240,7200,7200,147438
#2009-02-23#,7210,7230,7200,7210,199203
#2009-02-24#,7200,7250,7180,7250,351021
#2009-02-25#,7210,7250,7200,7250,126315
#2009-02-26#,7200,7350,7200,7350,225736
#2009-02-27#,7300,7370,7300,7300,477359
#2009-03-02#,7250,7250,7190,7200,471277
#2009-03-03#,7200,7240,7160,7240,190822
#2009-03-04#,7240,7250,7240,7250,81247
#2009-03-05#,7200,7230,7200,7210,243636
#2009-03-06#,7200,7250,7200,7240,87965
#2009-03-09#,7240,7250,7210,7220,215894
#2009-03-10#,7270,7350,7260,7260,329085
#2009-03-11#,7250,7260,7250,7250,55873
#2009-03-12#,7250,7300,7250,7270,144390
#2009-03-13#,7240,7290,7230,7290,93562
#2009-03-16#,7250,7350,7250,7270,304561
#2009-03-17#,7300,7350,7290,7350,163458
#2009-03-18#,7300,7400,7260,7400,380618
#2009-03-19#,7410,7500,7410,7500,533626
#2009-03-20#,7400,7500,7400,7500,140636
#2009-03-23#,7400,7500,7400,7500,140636
#2009-03-24#,7360,7500,7360,7500,76746
#2009-03-25#,7490,7490,7400,7450,83905
#2009-03-26#,7430,7450,7390,7390,77459
#2009-03-27#,7390,7390,7370,7390,41991
#2009-03-30#,7390,7390,7260,7350,80065
#2009-03-31#,7300,7440,7300,7440,141370
#2009-04-01#,7440,7540,7400,7540,303065
#2009-04-02#,7550,7720,7550,7700,592040
#2009-04-03#,7700,7700,7600,7640,116717
#2009-04-06#,7640,7680,7620,7680,45657
#2009-04-07#,7680,7700,7580,7600,90130
#2009-04-08#,7600,7650,7500,7500,176835
#2009-04-09#,7600,7650,7500,7500,176835
#2009-04-10#,7600,7650,7500,7500,176835
#2009-04-13#,7500,7610,7500,7570,84020
#2009-04-14#,7600,7700,7570,7700,194771
#2009-04-15#,7700,7930,7700,7930,672903
#2009-04-16#,7880,7950,7810,7950,170570
#2009-04-17#,7900,7900,7800,7800,219903
#2009-04-20#,7800,7800,7680,7680,116894
#2009-04-21#,7670,7760,7660,7750,187551
#2009-04-22#,7740,7800,7700,7800,165202
#2009-04-23#,7800,7850,7800,7850,104910
#2009-04-24#,7830,8000,7830,7970,590383
#2009-04-27#,7840,8050,7840,8040,256866
#2009-04-28#,7980,8180,7980,8180,301609
#2009-04-29#,8180,8390,8150,8390,409618
#2009-04-30#,8400,8400,8150,8150,762362
#2009-05-01#,8400,8400,8150,8150,762362
#2009-05-04#,8200,8450,8200,8450,285118
#2009-05-05#,8420,8580,8380,8550,279483
#2009-05-06#,8550,8550,8470,8500,131399
#2009-05-07#,8550,8580,8380,8380,460803
#2009-05-08#,8500,8620,8370,8620,307425
#2009-05-11#,8420,8500,8420,8460,111194
#2009-05-12#,8500,8680,8500,8500,209798
#2009-05-13#,8430,8500,8370,8400,235133
#2009-05-14#,8450,8600,8450,8500,186361
#2009-05-15#,8500,8640,8500,8640,203334
#2009-05-18#,8640,8650,8590,8600,107175
#2009-05-19#,8600,8610,8550,8600,70529
#2009-05-20#,8620,8650,8460,8520,135534
#2009-05-21#,8440,8440,8300,8330,148780
#2009-05-22#,8330,8430,8330,8430,169962
#2009-05-25#,8330,8430,8330,8430,169962
