"Date","Open","High","Low","Close","Volume"
#2018-01-01#,120.1,120.28,119.35,119.43,92240
#2018-01-02#,119.96,119.99,118.78,119.17,250733
#2018-01-03#,119.17,119.7464,119.15,119.57,298780
#2018-01-04#,120.05,121.0297,119.96,120.15,203509
#2018-01-05#,120.68,120.7399,120.045,120.63,292683
#2018-01-08#,120.67,120.88,120.3,120.74,120362
#2018-01-09#,121.2,121.67,120.99,121.16,350786
#2018-01-10#,121.04,121.965,120.94,121.52,388709
#2018-01-11#,122.08,122.08,121.55,122.03,831580
#2018-01-12#,122.53,122.78,122.0572,122.72,178897
#2018-01-15#,122.53,122.78,122.0572,122.72,178897
#2018-01-16#,123.68,123.9,122.1,122.5,391570
#2018-01-17#,122.86,123.63,122.13,123.46,405927
#2018-01-18#,123.64,123.64,122.95,123.13,103858
#2018-01-19#,123.45,123.95,123.27,123.94,138021
#2018-01-22#,123.95,125.02,123.95,125,444284
#2018-01-23#,124.94,125.45,124.491,125.35,328543
#2018-01-24#,125.89,126.17,125,125.81,213094
#2018-01-25#,126.22,126.22,125.2413,125.62,204263
#2018-01-26#,125.88,126.34,125.4,126.31,108793
#2018-01-29#,126.36,126.54,125.48,125.57,202078
#2018-01-30#,124.84,125.29,124.28,124.3,268306
#2018-01-31#,124.5,125.1448,124.2838,124.73,535850
#2018-02-01#,124.64,125.6075,124.6,125.46,182911
#2018-02-02#,124.83,125.15,122.89,122.99,1027224
#2018-02-05#,121.19,122.55,116.7,117.52,1116006
#2018-02-06#,115.39,119.66,114.68,119.38,527016
#2018-02-07#,119.14,121.02,118.8379,119.34,265577
#2018-02-08#,119.57,119.57,114.44,114.44,1322562
#2018-02-09#,116,117.52,112.96,116.69,564938
#2018-02-12#,117.44,118.8768,116.5,118.09,555593
#2018-02-13#,117.59,118.88,117.34,118.63,146594
#2018-02-14#,118.43,120.86,118.13,120.78,697460
#2018-02-15#,121.53,121.725,120.39,121.65,416373
#2018-02-16#,121.28,122.54,121.11,121.81,234186
#2018-02-19#,121.28,122.54,121.11,121.81,234186
#2018-02-20#,121.56,122.445,120.87,121.25,383294
#2018-02-21#,121.28,122.68,120.74,120.78,405984
#2018-02-22#,121.01,121.689,119.9235,120.2,237475
#2018-02-23#,120.73,122.02,120.63,122.02,134712
