"Date","Open","High","Low","Close","Volume"
#2001-01-01#,56.8438,57.3438,56.4375,56.5,4600
#2001-01-02#,55.7813,55.7813,53.4063,53.4063,1200
#2001-01-03#,54.125,56.875,53.7813,56.875,37800
#2001-01-04#,57.2188,57.2188,56.2188,56.3125,2900
#2001-01-05#,55.4688,55.4688,54.7188,54.7188,2000
#2001-01-08#,54.1563,54.5313,54,54,1600
#2001-01-09#,54.4063,54.4063,54.1563,54.4063,1100
#2001-01-10#,53.5,54.6563,53.5,54.5313,2500
#2001-01-11#,55.0625,56.125,55.0625,56.125,1100
#2001-01-12#,56.25,56.25,55.5938,55.5938,1100
#2001-01-15#,56.25,56.25,55.5938,55.5938,1100
#2001-01-16#,56,56.5,55.8125,56.5,2000
#2001-01-17#,57.1563,57.4375,56.8438,56.9375,1000
#2001-01-18#,56.4688,57.25,56.3906,57.25,700
#2001-01-19#,56.6563,56.6563,56.4375,56.625,1500
#2001-01-22#,56.25,56.25,56.0625,56.0625,1400
#2001-01-23#,56.25,57.4063,56.1563,57.0625,2000
#2001-01-24#,57.4688,57.4688,56.75,56.75,3200
#2001-01-25#,56.5,57.125,56.5,57.125,4300
#2001-01-26#,56.5625,56.5938,56.25,56.25,1800
#2001-01-29#,56.65,56.65,56.35,56.4,1100
#2001-01-30#,56.25,57.6,56.25,57.6,4500
#2001-01-31#,58,58,57.15,57.15,7100
#2001-02-01#,57.4,57.4,57.13,57.3,4000
#2001-02-02#,57,57,56.35,56.4,1400
#2001-02-05#,56.3,56.85,56.25,56.75,2600
#2001-02-06#,56.6,57.2,56.6,57.1,1100
#2001-02-07#,56.2,56.2,56.2,56.2,100
#2001-02-08#,57,57,56.65,56.65,1300
#2001-02-09#,56.05,56.05,55.15,55.15,300
#2001-02-12#,56.05,56.05,55.15,55.15,300
#2001-02-13#,56.6,56.6,56.15,56.15,400
#2001-02-14#,55.7,55.7,55.7,55.7,4700
#2001-02-15#,56.2,57.2,56.2,57.2,2400
#2001-02-16#,55.35,55.5,55.3,55.3,600
#2001-02-19#,55.35,55.5,55.3,55.3,600
#2001-02-20#,56,56,55.6,55.6,600
#2001-02-21#,54.8,55.15,54.8,55,1400
#2001-02-22#,53.55,54.1,53.55,54.1,2900
#2001-02-23#,53.5,53.5,52.8,52.8,9900
#2001-02-26#,54.05,54.95,53.95,54.95,2400
#2001-02-27#,54.85,54.85,54.45,54.45,300
#2001-02-28#,53.48,53.75,53.15,53.75,400
#2001-03-01#,52.65,53.5,52.65,53.5,1200
#2001-03-02#,52.9,54,52.65,53.35,1000
#2001-03-05#,53.45,53.8,53.45,53.8,300
#2001-03-06#,54.98,54.98,54.45,54.45,200
#2001-03-07#,54.7,54.85,54.6,54.8,1300
#2001-03-08#,54.71,54.82,54.68,54.68,1900
#2001-03-09#,54.2,54.2,53.45,53.45,2500
#2001-03-12#,51.75,52,50.2,50.2,28700
#2001-03-13#,50.3,50.7,50.25,50.32,1100
#2001-03-14#,50,50.05,49.65,49.65,5400
#2001-03-15#,49.85,49.9,49.6,49.9,600
#2001-03-16#,49.5,49.5,47.85,47.85,2600
#2001-03-19#,47.9,47.9,47.9,47.9,200
#2001-03-20#,49.35,49.5,48.85,48.85,600
#2001-03-21#,47.4,47.75,47,47.1,3100
#2001-03-22#,46.1,46.2,44.85,46.2,6600
#2001-03-23#,46.75,47.4,46.55,47.1,5600
#2001-03-26#,48.15,48.45,48.15,48.2,1900
#2001-03-27#,48.65,49.2,48.65,49.2,300
#2001-03-28#,48,48.05,48,48.05,2100
#2001-03-29#,47.45,47.7,47.45,47.7,400
#2001-03-30#,47.85,47.85,47.58,47.58,1300
#2001-04-02#,47.7,47.7,47.7,47.7,200
#2001-04-03#,46.35,46.35,45.45,45.45,600
#2001-04-04#,45.25,45.75,45.25,45.65,4300
#2001-04-05#,47.55,47.75,47.55,47.75,6000
#2001-04-06#,46.55,46.9,46.55,46.9,3100
#2001-04-09#,47.35,47.9,47.35,47.5,5900
#2001-04-10#,48.35,49.65,48.35,49.65,4200
#2001-04-11#,50.15,50.15,48.9,48.9,2000
#2001-04-12#,50.15,50.15,48.9,48.9,2000
#2001-04-13#,50.15,50.15,48.9,48.9,2000
#2001-04-16#,50.35,50.35,49.85,49.85,3700
#2001-04-17#,49.75,50.35,49.75,50.2,1000
#2001-04-18#,51.35,53.25,51.35,53.15,3000
#2001-04-19#,53.25,53.6,53.2,53.55,1300
#2001-04-20#,53.55,53.55,53.25,53.55,3400
#2001-04-23#,52.9,52.9,52.25,52.55,4200
#2001-04-24#,52.45,52.6,52.33,52.33,1600
#2001-04-25#,52.15,52.95,52.15,52.95,1300
#2001-04-26#,53.3,53.6,53.25,53.6,3600
#2001-04-27#,53.85,54.2,53.65,54.2,1500
#2001-04-30#,54.75,54.95,54.25,54.25,4900
#2001-05-01#,53.85,54.4,53.55,54.3,5000
#2001-05-02#,54.2,54.7,54.1,54.25,3000
#2001-05-03#,53.35,53.8,53.35,53.8,2100
#2001-05-04#,53.65,54.45,53.65,54.45,1200
#2001-05-07#,54.65,54.65,54.25,54.4,1600
#2001-05-08#,54.7,54.7,54.4,54.47,2600
#2001-05-09#,54.25,54.9,54.25,54.4,4000
#2001-05-10#,55.15,55.15,54.85,55,1300
#2001-05-11#,54.45,54.5,54.22,54.22,2300
#2001-05-14#,54.4,54.4,54.4,54.4,2800
#2001-05-15#,54.5,54.9,54.5,54.9,3200
#2001-05-16#,55.4,56.4,55.4,56.35,35300
#2001-05-17#,57,57.7,57,57.1,6300
#2001-05-18#,57.35,57.4,57.3,57.4,2200
#2001-05-21#,57.85,58.2,57.8,58.2,1200
#2001-05-22#,58.45,58.45,57.9,58.35,6100
#2001-05-23#,58.05,58.05,57.45,57.5,1100
#2001-05-24#,57.05,57.25,56.85,57.1,900
#2001-05-25#,56.25,56.35,55.9,56.23,2800
#2001-05-28#,56.25,56.35,55.9,56.23,2800
#2001-05-29#,56.1,56.1,55.75,55.75,1300
#2001-05-30#,55.5,55.5,54.6,54.9,2100
#2001-05-31#,54.8,55.43,54.8,55.2,900
#2001-06-01#,55.15,55.15,55.15,55.15,100
#2001-06-04#,55.15,55.6,55.15,55.55,600
#2001-06-05#,55.85,56.05,55.6,56.05,3200
#2001-06-06#,55.9,55.9,55.55,55.55,3900
#2001-06-07#,55.55,55.75,55.2,55.75,1000
#2001-06-08#,55.3,55.4,54.95,55.05,1900
#2001-06-11#,54.9,54.9,54,54,1900
#2001-06-12#,53.9,54.5,53.9,54.45,500
#2001-06-13#,54.75,54.8,54.1,54.1,2400
#2001-06-14#,54.1,54.1,53.1,53.55,6900
#2001-06-15#,52.65,53.35,52.55,53.35,1800
#2001-06-18#,53.25,53.6,53.1,53.4,1800
#2001-06-19#,53.35,53.35,52.62,52.62,3400
#2001-06-20#,52.85,52.9,52.75,52.75,600
#2001-06-21#,53.03,53.45,53.03,53.25,1300
#2001-06-22#,53.4,53.4,52.95,53.2,2400
#2001-06-25#,52.55,52.55,52.55,52.55,100
#2001-06-26#,51.9,51.95,51.8,51.8,1100
#2001-06-27#,51.9,52.25,51.9,52,2000
#2001-06-28#,52.8,52.8,52.75,52.8,300
#2001-06-29#,52.93,53.2,52.93,53.2,500
#2001-07-02#,52.9,53.34,52.5,53.1,5700
#2001-07-03#,52.95,53.05,52.95,53.05,600
#2001-07-04#,52.95,53.05,52.95,53.05,600
#2001-07-05#,52.85,52.95,52.75,52.75,900
#2001-07-06#,51.95,51.95,51.38,51.4,2300
#2001-07-09#,51.35,51.5,50.95,51.35,1400
#2001-07-10#,51.6,51.7,51.1,51.1,2400
#2001-07-11#,50.2,50.2,50.15,50.15,2300
#2001-07-12#,50.75,52,50.75,52,2500
#2001-07-13#,51.9,52.29,51.9,52.25,2400
#2001-07-16#,52,52.05,51.45,51.45,3000
#2001-07-17#,51,52.05,51,52.05,400
#2001-07-18#,51.4,51.9,51.4,51.7,400
#2001-07-19#,51.4,51.9,51.4,51.7,400
#2001-07-20#,52.15,52.2,52.15,52.2,300
#2001-07-23#,52.2,52.2,51.34,51.4,1700
#2001-07-24#,51,51.05,50,50.1,1600
#2001-07-25#,50.25,50.4,49.91,50.4,1500
#2001-07-26#,50.05,50.2,50.05,50.2,15800
