"Date","Open","High","Low","Close","Volume"
#2012-01-02#,64.27,64.64,64.14,64.3,179935
#2012-01-03#,66,66.74,65.92,66.46,271771
#2012-01-04#,66.14,67.11,65.96,66.92,225368
#2012-01-05#,66.66,67.09,65.76,66.72,349897
#2012-01-06#,66.8,66.8,66.09,66.52,267972
#2012-01-09#,66.75,66.79,66.23,66.46,187361
#2012-01-10#,67.63,68.22,67.63,67.88,107762
#2012-01-11#,67.76,68.68,67.52,68.55,466326
#2012-01-12#,68.89,69.71,68.46,69.69,248129
#2012-01-13#,69.05,69.11,68.05,68.92,109186
#2012-01-16#,69.05,69.11,68.05,68.92,109186
#2012-01-17#,69.85,70.01,68.87,69.15,184642
#2012-01-18#,69.09,70.21,68.89,70.21,203736
#2012-01-19#,70.5,70.5,69.82,70.26,294732
#2012-01-20#,70.02,70.44,69.9,70.08,100024
#2012-01-23#,70.18,70.76,69.98,70.19,232527
#2012-01-24#,69.48,70.28,69.09,70.21,152968
#2012-01-25#,69.98,71.7,69.51,71.54,300904
#2012-01-26#,72.16,72.72,70.923,71.26,181076
#2012-01-27#,71.2,72.0672,71.01,71.86,111559
#2012-01-30#,70.91,71.8992,70.6071,71.58,230077
#2012-01-31#,72.15,72.42,70.76,71.4,1134004
#2012-02-01#,72.12,72.87,72.12,72.36,1337093
#2012-02-02#,72.42,73.13,72.2,72.41,109656
#2012-02-03#,73.36,73.7571,73.0101,73.61,827206
#2012-02-06#,73.09,73.52,72.94,73.49,174681
#2012-02-07#,73.33,73.54,72.52,73.12,209086
#2012-02-08#,73.39,73.758,72.78,73.19,282258
#2012-02-09#,73.36,73.55,72.71,73.25,143143
#2012-02-10#,72.2,72.2,71.47,71.81,630184
#2012-02-13#,72.46,72.47,71.84,72.1,194451
#2012-02-14#,71.82,71.86,70.35,70.97,1206380
#2012-02-15#,71.36,71.45,70.68,70.9,277406
#2012-02-16#,70.78,72.3,70.65,72.2,233684
#2012-02-17#,72.53,72.67,71.98,72.16,102439
#2012-02-20#,72.53,72.67,71.98,72.16,102439
#2012-02-21#,72.54,73.216,72.24,72.55,764351
#2012-02-22#,72.51,72.82,71.96,72.26,381259
#2012-02-23#,72.09,72.67,71.67,72.55,491203
#2012-02-24#,72.58,72.917,72.3,72.47,166998
#2012-02-27#,71.89,72.64,71.55,72.43,101795
#2012-02-28#,72.54,73.02,72.39,72.67,143220
#2012-02-29#,72.76,73,71.06,71.29,315459
#2012-03-01#,71.71,72.2,71.58,71.9,337343
#2012-03-02#,71.54,72.09,71,71.38,124239
#2012-03-05#,71.14,71.15,69.5,69.87,156017
#2012-03-06#,68.67,68.67,67.831,68.16,381821
#2012-03-07#,68.5,68.76,68.01,68.57,838034
#2012-03-08#,69.38,69.82,68.85,69.66,134700
#2012-03-09#,69.79,70.64,69.55,69.92,130364
#2012-03-12#,69.85,70.2,69.21,69.32,96916
#2012-03-13#,69.68,70.72,69.64,70.69,130467
#2012-03-14#,70.68,70.78,69.95,70.23,124770
#2012-03-15#,70.52,70.93,70.1,70.91,116814
#2012-03-16#,71.22,71.61,71.07,71.41,131849
#2012-03-19#,71.28,72.15,71.21,71.69,109431
#2012-03-20#,71,71.2529,70.35,71.11,136357
#2012-03-21#,71.31,71.45,70.81,71.17,106069
#2012-03-22#,70.32,70.45,69.28,69.69,528626
#2012-03-23#,69.84,70.728,69.49,70.6,985196
#2012-03-26#,71.09,71.26,70.696,71.25,270286
#2012-03-27#,71.4,71.89,71.05,71.07,105796
#2012-03-28#,70.92,70.92,69.31,69.95,141205
#2012-03-29#,69.43,70.23,68.95,70.15,427808
#2012-03-30#,70.63,70.87,69.85,70.36,267890
#2012-04-02#,70.32,71.67,70.22,71.41,440981
#2012-04-03#,71.29,71.29,70.15,70.65,259459
#2012-04-04#,69.71,69.8899,69.1,69.57,351486
#2012-04-05#,69.42,70.312,68.98,69.14,155900
#2012-04-06#,69.42,70.312,68.98,69.14,155900
#2012-04-09#,68.07,68.61,67.9,68.17,199131
#2012-04-10#,68.01,68.31,66.63,66.85,243552
#2012-04-11#,67.91,68.05,67.26,67.37,110694
#2012-04-12#,67.61,69.72,67.61,69.58,193842
#2012-04-13#,69.41,69.48,68.74,68.74,564082
#2012-04-16#,69.35,69.48,68.494,68.97,681761
#2012-04-17#,69.4,70.54,69.4,70.04,278230
#2012-04-18#,69.76,70.1,69.67,69.78,99207
#2012-04-19#,69.97,70.4,69.27,69.7,145149
#2012-04-20#,70.01,70.3,69.58,69.58,97098
#2012-04-23#,68.51,68.69,67.74,68.62,334077
#2012-04-24#,68.7,69.01,68.3,68.7,214865
#2012-04-25#,69.57,70.35,69.4914,70.35,195817
#2012-04-26#,69.88,70.57,69.59,70.39,176769
#2012-04-27#,70.75,70.86,70.2,70.56,170452
