"Date","Open","High","Low","Close","Volume"
#1991-01-01#,7.219,7.313,7.188,7.281,1770000
#1991-01-02#,7.281,7.281,7.094,7.125,2855200
#1991-01-03#,7.156,7.156,7.031,7.031,1977600
#1991-01-04#,7,7.063,6.969,7.063,2447600
#1991-01-07#,6.969,7,6.813,6.844,2286800
#1991-01-08#,6.844,6.875,6.719,6.875,1636400
#1991-01-09#,6.938,7.094,6.75,6.875,3122400
#1991-01-10#,6.938,6.969,6.844,6.938,1650000
#1991-01-11#,6.906,6.938,6.781,6.781,1956000
#1991-01-14#,6.563,6.719,6.531,6.688,3384800
#1991-01-15#,6.719,6.844,6.719,6.781,1489600
#1991-01-16#,6.781,6.813,6.688,6.75,2614800
#1991-01-17#,7.313,7.406,6.938,7.188,9170800
#1991-01-18#,7.156,7.375,7.156,7.313,4742000
#1991-01-21#,7.25,7.281,7.125,7.188,2346000
#1991-01-22#,7.219,7.219,7.125,7.188,2525200
#1991-01-23#,7.188,7.281,7.125,7.125,3044400
#1991-01-24#,7.188,7.281,7,7.094,3535200
#1991-01-25#,7.094,7.125,6.906,7.094,7468000
#1991-01-28#,7.094,7.281,6.906,6.938,4814400
#1991-01-29#,6.719,6.781,6.594,6.688,13659200
#1991-01-30#,6.75,6.938,6.719,6.938,8976400
#1991-01-31#,6.875,7.156,6.844,7.125,7570000
#1991-02-01#,7.188,7.281,7.125,7.156,9740000
#1991-02-04#,7.219,7.344,7.156,7.313,6231200
#1991-02-05#,7.281,7.344,7.125,7.281,6110000
#1991-02-06#,7.219,7.344,7.156,7.281,7136800
#1991-02-07#,7.219,7.438,7.125,7.156,8616000
#1991-02-08#,7.156,7.25,7.125,7.188,4593600
#1991-02-11#,7.281,7.594,7.281,7.5,9870800
#1991-02-12#,7.625,7.875,7.594,7.813,10102800
#1991-02-13#,7.906,8.125,7.875,8.094,8634400
#1991-02-14#,8.156,8.156,7.844,7.906,6454000
#1991-02-15#,7.875,7.969,7.813,7.875,6316800
#1991-02-18#,7.875,7.969,7.813,7.875,6316800
#1991-02-19#,7.938,8.063,7.875,8.031,6122800
#1991-02-20#,7.938,8,7.813,7.969,4928000
#1991-02-21#,7.969,8.094,7.938,8.031,3307200
#1991-02-22#,7.969,8.094,7.719,7.781,6273200
#1991-02-25#,7.906,7.938,7.719,7.75,4914400
#1991-02-26#,7.688,7.75,7.594,7.656,3854400
#1991-02-27#,7.625,7.719,7.594,7.688,4075200
#1991-02-28#,7.813,8.031,7.719,7.906,4988400
#1991-03-01#,7.844,8.094,7.813,8,4362400
#1991-03-04#,8.063,8.281,8.031,8.125,6002400
#1991-03-05#,8.156,8.313,8.094,8.281,4240000
#1991-03-06#,8.375,8.438,8.25,8.25,7104000
#1991-03-07#,8.438,8.625,8.406,8.531,7242800
#1991-03-08#,8.594,8.75,8.375,8.5,10714400
#1991-03-11#,8.438,8.438,8.219,8.219,2731200
#1991-03-12#,8.219,8.469,8.219,8.469,3340400
#1991-03-13#,8.563,8.844,8.563,8.781,10786400
#1991-03-14#,8.75,8.969,8.656,8.75,8187200
#1991-03-15#,8.75,8.781,8.5,8.625,6551200
#1991-03-18#,8.594,8.75,8.5,8.75,4805600
#1991-03-19#,8.625,8.75,8.563,8.719,3676400
#1991-03-20#,8.656,8.75,8.625,8.625,4402000
#1991-03-21#,8.625,8.688,8.188,8.313,5308400
#1991-03-22#,8.25,8.531,8.188,8.406,3809600
#1991-03-25#,8.438,8.531,8.375,8.406,3030000
#1991-03-26#,8.375,8.469,8.344,8.469,2308000
#1991-03-27#,8.625,8.719,8.531,8.688,4139600
#1991-03-28#,8.688,8.813,8.625,8.688,3455600
#1991-03-29#,8.688,8.813,8.625,8.688,3455600
#1991-04-01#,8.656,8.688,8.469,8.469,2386400
#1991-04-02#,8.5,8.719,8.469,8.719,4150400
#1991-04-03#,8.719,9.188,8.594,8.656,3575200
#1991-04-04#,8.688,8.969,8.656,8.875,3821200
#1991-04-05#,8.938,9,8.813,8.938,4908800
#1991-04-08#,8.844,8.906,8.813,8.875,2276400
#1991-04-09#,8.844,8.844,8.594,8.594,2702400
#1991-04-10#,8.594,8.75,8.531,8.563,1938800
#1991-04-11#,8.688,8.875,8.688,8.844,2754800
#1991-04-12#,8.969,9,8.75,8.781,2716000
#1991-04-15#,8.844,8.875,8.688,8.688,2769600
#1991-04-16#,8.719,8.875,8.656,8.844,3809200
#1991-04-17#,8.844,8.906,8.75,8.844,5162000
