"Date","Open","High","Low","Close","Volume"
#2008-01-01#,16407.91,16487.36,16388.04,16388.04,10707
#2008-01-02#,16388.04,16487.36,16388.04,16487.36,52629
#2008-01-03#,16487.36,16566.82,16487.36,16566.82,68939
#2008-01-04#,16487.36,16566.82,16487.36,16566.82,68939
#2008-01-07#,16487.36,16566.82,16487.36,16566.82,68939
#2008-01-08#,16388.04,16487.36,16348.31,16348.31,3041
#2008-01-09#,16388.04,16487.36,16348.31,16348.31,438
#2008-01-10#,16189.4,16189.4,16090.08,16129.81,14176
#2008-01-11#,16169.54,16189.4,15990.76,16090.08,12822
#2008-01-14#,16149.67,16149.67,15871.57,15891.44,66800
#2008-01-15#,15494.15,15692.79,15494.15,15553.74,2606
#2008-01-16#,15494.15,15494.15,15096.86,15315.37,21630
#2008-01-17#,14898.22,15355.1,14878.36,14878.36,30696
#2008-01-18#,15295.51,15295.51,13507.72,14401.61,42775
#2008-01-21#,13388.53,13408.4,13050.84,13229.62,81707
#2008-01-22#,13229.62,14103.65,13130.3,14103.65,32334
#2008-01-23#,14004.33,14620.12,14004.33,14500.93,465893
#2008-01-24#,14898.22,15096.86,14659.85,14759.17,637811
#2008-01-25#,15096.86,15216.05,14858.49,14898.22,39305
#2008-01-28#,14719.44,15394.83,14719.44,15394.83,30827
#2008-01-29#,15613.34,15613.34,15434.56,15593.47,15238
#2008-01-30#,15692.79,15692.79,15454.42,15593.47,23964
#2008-01-31#,15394.83,15891.44,15394.83,15851.71,123597
#2008-02-01#,15593.47,15593.47,15394.83,15394.83,375829
#2008-02-04#,15593.47,15593.47,15394.83,15394.83,524
#2008-02-05#,15394.83,15394.83,15196.18,15196.18,13519
#2008-02-06#,15196.18,15196.18,14659.85,14719.44,141682
#2008-02-07#,14461.21,14600.26,14461.21,14600.26,307270
#2008-02-08#,14620.12,14898.22,14500.93,14898.22,45032
#2008-02-11#,14997.54,14997.54,14620.12,14898.22,262182
#2008-02-12#,14620.12,14798.9,14620.12,14620.12,8530
#2008-02-13#,14798.9,14798.9,14441.34,14461.21,125300
#2008-02-14#,14500.93,14580.39,14500.93,14580.39,27793
#2008-02-15#,14500.93,14699.58,14421.48,14679.71,20623
#2008-02-18#,14679.71,14898.22,14659.85,14679.71,36115
#2008-02-19#,15096.86,15096.86,14898.22,14898.22,35619
#2008-02-20#,14659.85,14898.22,14659.85,14898.22,93703
#2008-02-21#,14898.22,14957.81,14898.22,14937.95,57262
#2008-02-22#,14918.08,14918.08,14898.22,14898.22,2554
#2008-02-25#,14898.22,14977.68,14798.9,14798.9,19530
#2008-02-26#,14699.58,14878.36,14699.58,14798.9,12688
#2008-02-27#,14798.9,14798.9,14620.12,14639.98,19969
#2008-02-28#,14699.58,14699.58,14481.07,14679.71,31055
#2008-02-29#,14461.21,14679.71,14421.48,14421.48,251967
#2008-03-03#,14401.61,14401.61,13646.77,13905.01,17171
#2008-03-04#,13805.68,13885.14,13607.04,13646.77,124068
#2008-03-05#,13905.01,14481.07,13905.01,14302.29,13278
#2008-03-06#,13607.04,14183.11,13607.04,14183.11,59424
#2008-03-07#,13905.01,14103.65,13905.01,14004.33,130056
#2008-03-10#,14520.8,14639.98,14302.29,14401.61,201308
#2008-03-11#,14600.26,14639.98,14302.29,14560.53,48722
#2008-03-12#,14580.39,14580.39,14123.51,14421.48,65427
#2008-03-13#,14461.21,14481.07,14381.75,14381.75,9274
#2008-03-14#,14401.61,14401.61,14083.78,14302.29,42171
#2008-03-17#,14302.29,14302.29,14202.97,14202.97,87091
#2008-03-18#,14381.75,14381.75,13905.01,14361.88,22127
#2008-03-19#,14401.61,14401.61,14401.61,14401.61,7954
#2008-03-20#,14401.61,14401.61,14401.61,14401.61,7954
#2008-03-21#,14401.61,14401.61,14401.61,14401.61,7954
#2008-03-24#,14401.61,14401.61,14401.61,14401.61,7954
#2008-03-25#,14202.97,14242.7,14103.65,14103.65,8855
#2008-03-26#,14123.51,14401.61,14103.65,14322.16,30757
#2008-03-27#,14123.51,14401.61,14103.65,14322.16,1425
#2008-03-28#,14322.16,14600.26,14202.97,14500.93,34719
#2008-03-31#,14580.39,14580.39,14500.93,14500.93,13539
#2008-04-01#,14500.93,14699.58,14500.93,14699.58,43806
#2008-04-02#,14580.39,14699.58,14580.39,14699.58,16558
#2008-04-03#,14520.8,14560.53,14401.61,14520.8,29655
#2008-04-04#,14421.48,14441.34,14302.29,14302.29,50797
#2008-04-07#,14361.88,14679.71,14302.29,14639.98,92869
#2008-04-08#,14600.26,14798.9,14600.26,14699.58,296936
#2008-04-09#,14699.58,14898.22,14699.58,14898.22,186437
#2008-04-10#,14878.36,14918.08,14759.17,14759.17,104276
#2008-04-11#,14798.9,14798.9,14600.26,14719.44,66607
#2008-04-14#,14699.58,14739.31,14679.71,14739.31,61910
#2008-04-15#,14898.22,15096.86,14798.9,15096.86,173099
#2008-04-16#,15295.51,15394.83,15017.41,15096.86,38979
#2008-04-17#,15096.86,15096.86,14937.95,14997.54,428436
#2008-04-18#,15057.13,15196.18,15017.41,15176.32,22665
#2008-04-21#,15096.86,15176.32,15017.41,15136.59,70956
#2008-04-22#,14937.95,15136.59,14918.08,15136.59,92973
#2008-04-23#,14898.22,14918.08,14898.22,14918.08,25031
#2008-04-24#,15414.69,15414.69,14997.54,15156.46,216798
#2008-04-25#,15116.73,15156.46,15116.73,15156.46,10047
#2008-04-28#,15156.46,15295.51,15156.46,15295.51,60400
#2008-04-29#,15255.78,15295.51,15216.05,15295.51,49972
#2008-04-30#,15196.18,15335.23,15116.73,15335.23,47629
#2008-05-01#,15196.18,15335.23,15116.73,15335.23,47629
#2008-05-02#,15434.56,15553.74,15335.23,15553.74,46713
#2008-05-05#,15434.56,15553.74,15335.23,15553.74,46713
#2008-05-06#,15553.74,15871.57,15553.74,15633.2,271496
#2008-05-07#,15593.47,15593.47,15394.83,15394.83,8741
#2008-05-08#,15255.78,15394.83,15136.59,15136.59,52424
#2008-05-09#,15196.18,15216.05,15116.73,15216.05,13074
#2008-05-12#,15216.05,15275.64,14699.58,15216.05,64742
#2008-05-13#,15275.64,15573.61,15235.91,15573.61,157780
#2008-05-14#,15494.15,15891.44,15454.42,15732.52,165707
#2008-05-15#,15851.71,15931.16,15792.11,15851.71,109547
#2008-05-16#,15891.44,16388.04,15593.47,15593.47,97621
#2008-05-19#,15514.01,15692.79,15394.83,15613.34,59446
#2008-05-20#,15494.15,15573.61,15494.15,15573.61,104100
#2008-05-21#,15573.61,15653.06,15573.61,15633.2,135433
#2008-05-22#,15613.34,15653.06,15593.47,15653.06,54330
#2008-05-23#,15355.1,15394.83,15335.23,15394.83,127910
#2008-05-26#,15355.1,15394.83,15335.23,15394.83,127910
#2008-05-27#,15394.83,15573.61,15394.83,15494.15,45042
#2008-05-28#,15394.83,15494.15,15315.37,15315.37,34672
#2008-05-29#,15315.37,15494.15,15295.51,15434.56,291019
#2008-05-30#,15394.83,16566.82,15394.83,15593.47,1562275
#2008-06-02#,15394.83,16566.82,15394.83,15593.47,1562275
#2008-06-03#,15394.83,15593.47,15394.83,15573.61,160155
#2008-06-04#,15533.88,15573.61,15394.83,15474.29,43610
#2008-06-05#,15355.1,15573.61,15355.1,15394.83,49891
#2008-06-06#,15394.83,15394.83,15295.51,15295.51,22313
#2008-06-09#,15394.83,15474.29,15394.83,15394.83,122993
#2008-06-10#,15315.37,15692.79,15295.51,15295.51,67801
#2008-06-11#,15315.37,15315.37,15295.51,15295.51,29903
#2008-06-12#,15295.51,15394.83,15216.05,15216.05,21607
#2008-06-13#,15216.05,15275.64,15216.05,15275.64,4525
#2008-06-16#,15295.51,15295.51,15255.78,15295.51,8690
