"Date","Open","High","Low","Close","Volume"
#1995-01-02#,16.922,16.922,16.691,16.749,1770600
#1995-01-03#,16.749,16.749,16.46,16.633,2551400
#1995-01-04#,16.171,16.402,15.94,16.402,6746600
#1995-01-05#,16.344,16.402,15.998,16.056,4363400
#1995-01-06#,16.113,16.229,16.056,16.056,2686600
#1995-01-09#,16.056,16.229,16.056,16.113,3072800
#1995-01-10#,16.113,16.171,15.94,15.94,3744000
#1995-01-11#,16.056,16.113,15.651,15.709,5880000
#1995-01-12#,15.709,15.825,15.651,15.651,3480400
#1995-01-13#,15.825,15.94,15.651,15.825,3748600
#1995-01-16#,15.882,15.998,15.825,15.998,2901400
#1995-01-17#,15.998,16.287,15.94,16.229,3746400
#1995-01-18#,16.171,16.229,15.998,15.998,2341400
#1995-01-19#,15.998,16.113,15.767,15.94,2090400
#1995-01-20#,15.94,15.998,15.767,15.882,4870600
#1995-01-23#,15.825,16.056,15.767,16.056,2160800
#1995-01-24#,16.113,16.287,15.998,16.171,4545200
#1995-01-25#,16.287,16.46,16.171,16.402,3315200
#1995-01-26#,16.518,16.575,16.46,16.46,2845400
#1995-01-27#,16.691,16.98,16.691,16.806,3941400
#1995-01-30#,16.749,17.038,16.633,16.806,4864600
#1995-01-31#,16.864,17.095,16.806,17.038,4467200
#1995-02-01#,17.211,17.384,17.038,17.153,6123200
#1995-02-02#,16.98,17.557,16.98,17.557,4886200
#1995-02-03#,17.557,18.077,17.5,17.962,9624800
#1995-02-06#,17.904,18.193,17.731,17.846,3708000
#1995-02-07#,17.615,17.673,17.384,17.5,6423600
#1995-02-08#,17.326,17.384,17.038,17.038,5335800
#1995-02-09#,17.038,17.153,16.749,17.038,3784400
#1995-02-10#,17.095,17.384,16.98,17.326,2310800
#1995-02-13#,17.269,17.384,17.095,17.095,1353000
#1995-02-14#,17.615,18.019,17.5,17.846,9591400
#1995-02-15#,17.846,17.904,17.557,17.731,4079200
#1995-02-16#,17.673,17.962,17.615,17.846,2313600
#1995-02-17#,17.846,18.019,17.673,17.846,3440800
#1995-02-20#,17.846,18.019,17.673,17.846,3440800
#1995-02-21#,17.904,18.019,17.788,18.019,2981200
#1995-02-22#,18.019,18.135,17.904,18.019,6173800
#1995-02-23#,18.077,18.308,18.077,18.135,3901400
#1995-02-24#,18.077,18.308,18.077,18.308,3160400
#1995-02-27#,18.25,18.366,17.846,17.904,3156600
#1995-02-28#,17.846,18.077,17.788,18.077,2842800
#1995-03-01#,18.25,18.308,17.904,17.904,2723600
#1995-03-02#,17.904,17.962,17.731,17.904,2543000
#1995-03-03#,17.904,18.019,17.788,17.962,1590600
#1995-03-06#,17.788,18.193,17.673,18.135,2343800
#1995-03-07#,18.077,18.193,17.731,17.731,2343600
#1995-03-08#,17.731,17.846,17.5,17.615,1887400
#1995-03-09#,17.615,17.904,17.557,17.788,2631400
#1995-03-10#,17.846,18.366,17.788,18.366,3310000
#1995-03-13#,18.25,18.424,18.135,18.25,3394400
#1995-03-14#,18.308,18.597,18.308,18.366,4902200
#1995-03-15#,18.308,18.481,18.25,18.424,2988400
#1995-03-16#,18.424,18.597,18.366,18.481,3702400
#1995-03-17#,18.597,18.828,18.424,18.539,6671990
#1995-03-20#,18.539,18.712,18.366,18.597,2752400
#1995-03-21#,18.712,18.943,18.655,18.828,5074400
#1995-03-22#,18.886,18.943,18.77,18.886,3889600
#1995-03-23#,18.77,18.828,18.655,18.77,5109800
#1995-03-24#,18.77,18.828,18.481,18.597,3859000
#1995-03-27#,18.712,18.77,18.597,18.655,3419000
#1995-03-28#,18.539,18.655,18.366,18.597,2371400
#1995-03-29#,18.597,18.886,18.481,18.539,3938800
#1995-03-30#,18.597,18.655,18.019,18.019,5138200
#1995-03-31#,17.788,18.25,17.5,18.077,4343000
#1995-04-03#,17.962,18.366,17.962,18.308,1844800
#1995-04-04#,18.308,18.539,18.308,18.424,3260000
#1995-04-05#,18.481,18.597,18.366,18.481,2865400
#1995-04-06#,18.481,18.481,18.366,18.424,1902400
#1995-04-07#,18.424,18.597,18.25,18.424,2594000
#1995-04-10#,18.424,18.712,18.366,18.655,2103800
#1995-04-11#,18.712,18.886,18.539,18.655,3245400
#1995-04-12#,18.655,18.886,18.655,18.886,3782000
#1995-04-13#,18.886,19.001,18.828,18.943,3906200
#1995-04-14#,18.886,19.001,18.828,18.943,3906200
#1995-04-17#,18.886,18.943,18.539,18.712,3573600
#1995-04-18#,18.77,19.232,18.655,18.943,3620400
#1995-04-19#,18.828,18.943,18.597,18.712,2755200
#1995-04-20#,18.712,18.77,18.539,18.655,2098400
#1995-04-21#,18.77,19.117,18.597,19.059,4103600
#1995-04-24#,18.943,19.29,18.886,19.117,4021200
#1995-04-25#,19.117,19.174,18.943,19.059,1653200
#1995-04-26#,18.886,19.29,18.886,19.232,2676800
#1995-04-27#,19.232,19.29,18.943,19.001,2262000
#1995-04-28#,19.059,19.348,18.77,19.232,3269800
#1995-05-01#,19.174,19.405,19.174,19.405,3525800
#1995-05-02#,19.521,19.983,19.463,19.867,12318792
#1995-05-03#,20.214,20.734,20.156,20.676,9526800
#1995-05-04#,20.618,21.138,20.561,20.734,7792600
#1995-05-05#,20.792,20.907,20.445,20.503,6994600
#1995-05-08#,20.329,20.907,20.272,20.849,4751000
#1995-05-09#,20.618,20.849,20.561,20.618,4896800
#1995-05-10#,20.734,21.08,20.618,21.08,4683000
#1995-05-11#,21.08,21.311,21.023,21.08,4841800
#1995-05-12#,20.849,21.08,20.503,20.503,4344200
#1995-05-15#,20.503,21.138,20.445,21.138,5036400
#1995-05-16#,21.023,21.196,20.907,20.965,2490400
#1995-05-17#,20.849,21.023,20.849,20.965,3088400
#1995-05-18#,20.792,20.907,20.387,20.387,3678600
#1995-05-19#,20.272,20.734,20.214,20.734,4567800
#1995-05-22#,20.676,20.907,20.561,20.676,2297200
#1995-05-23#,20.618,21.023,20.618,21.023,3929400
#1995-05-24#,21.196,21.716,21.023,21.716,7070800
#1995-05-25#,21.6,21.889,21.427,21.485,4408000
#1995-05-26#,21.138,21.658,21.138,21.485,3943200
#1995-05-29#,21.138,21.658,21.138,21.485,3943200
#1995-05-30#,21.658,22.004,21.658,21.889,5992800
#1995-05-31#,21.831,22.64,21.831,22.64,8266600
#1995-06-01#,22.466,22.524,21.947,22.235,7105400
#1995-06-02#,22.004,22.351,21.773,21.831,3636000
#1995-06-05#,21.889,21.947,21.369,21.485,5250800
#1995-06-06#,21.427,21.773,21.196,21.311,5395400
#1995-06-07#,21.311,21.6,21.254,21.311,4601000
#1995-06-08#,21.254,21.831,21.196,21.658,3327800
#1995-06-09#,21.542,21.716,21.369,21.658,3344400
#1995-06-12#,21.658,21.831,21.542,21.658,3210200
#1995-06-13#,21.658,21.773,21.485,21.6,2484000
#1995-06-14#,21.6,21.716,21.542,21.716,1578800
#1995-06-15#,21.658,21.773,21.427,21.485,2409000
#1995-06-16#,21.6,21.658,21.485,21.542,4471000
#1995-06-19#,21.542,21.716,21.485,21.542,2252000
#1995-06-20#,21.485,21.658,21.485,21.658,3223200
#1995-06-21#,21.658,21.889,21.485,21.658,4490400
