"Date","Open","High","Low","Close","Volume"
#2011-01-03#,22720,22720,22340,22380,97893
#2011-01-04#,22380,22460,22200,22460,30602
#2011-01-05#,22240,22300,22240,22260,78127
#2011-01-06#,22260,22260,22080,22100,51714
#2011-01-07#,22260,22380,22160,22380,57137
#2011-01-10#,22260,22380,22160,22380,57137
#2011-01-11#,22300,22400,22000,22180,128200
#2011-01-12#,22300,22400,22220,22320,153100
#2011-01-13#,22400,22400,22360,22380,72126
#2011-01-14#,22400,22600,22400,22440,122967
#2011-01-17#,22480,22480,22480,22480,26365
#2011-01-18#,22400,22400,22300,22400,74758
#2011-01-19#,22360,22360,21840,21840,306245
#2011-01-20#,21800,21840,21360,21800,217417
#2011-01-21#,21900,22140,21900,22100,175643
#2011-01-24#,22000,22100,22000,22100,95742
#2011-01-25#,22000,22100,21820,22000,144429
#2011-01-26#,22020,22200,22020,22200,134905
#2011-01-27#,22200,22340,22140,22240,192958
#2011-01-28#,22200,22280,22000,22020,445952
#2011-01-31#,22040,22040,21820,22000,796844
#2011-02-01#,21840,22060,21720,21720,175715
#2011-02-02#,21740,21880,21700,21700,67658
#2011-02-03#,21600,21700,21600,21600,80634
#2011-02-04#,21980,21980,21700,21820,115456
#2011-02-07#,21800,21800,21720,21720,82848
#2011-02-08#,21640,21640,21600,21620,124956
#2011-02-09#,21700,21800,21640,21660,259114
#2011-02-10#,21660,21800,21660,21680,232737
#2011-02-11#,21580,21880,21580,21860,126572
#2011-02-14#,21720,21840,21720,21740,46042
#2011-02-15#,21840,21860,21700,21700,175046
#2011-02-16#,21720,21800,21600,21640,151140
#2011-02-17#,21740,21780,21640,21640,226463
#2011-02-18#,21600,21740,21580,21700,192401
#2011-02-21#,21580,21700,21580,21700,93716
#2011-02-22#,21380,21720,21380,21700,171181
#2011-02-23#,21660,21860,21660,21860,144955
#2011-02-24#,21900,22000,21760,21860,186746
#2011-02-25#,21900,21960,21800,21840,130691
#2011-02-28#,21880,22060,21820,21820,213067
#2011-03-01#,21840,22080,21820,22020,206573
#2011-03-02#,22020,22060,21860,22000,80501
#2011-03-03#,21980,22080,21960,22080,90500
#2011-03-04#,22080,22120,22020,22020,108351
#2011-03-07#,22040,22040,22000,22000,56772
#2011-03-08#,21980,22000,21800,22000,50160
#2011-03-09#,21840,22040,21840,22040,367730
#2011-03-10#,22000,22000,21800,21800,67714
#2011-03-11#,21660,22000,21420,21700,165079
#2011-03-14#,21560,21600,21440,21600,141613
#2011-03-15#,21320,21600,21220,21240,60977
#2011-03-16#,21280,21500,20400,21240,162166
#2011-03-17#,21000,21580,21000,21240,232499
#2011-03-18#,21400,21600,21400,21600,116445
#2011-03-21#,21400,21600,21400,21600,116445
#2011-03-22#,21600,21600,21120,21600,93338
#2011-03-23#,21500,21680,21480,21580,105097
#2011-03-24#,21500,21680,21500,21560,74115
#2011-03-25#,21600,21600,21400,21480,99113
#2011-03-28#,21460,21460,21220,21360,61579
#2011-03-29#,21360,21500,21020,21020,103137
#2011-03-30#,21020,21260,20520,20980,86963
#2011-03-31#,20520,20960,20420,20560,67855
#2011-04-01#,20880,20900,20700,20740,1286761
#2011-04-04#,20860,20900,20640,20700,120236
#2011-04-05#,20640,21000,20640,20980,194696
#2011-04-06#,21000,21100,20960,20980,153545
#2011-04-07#,21000,21000,20840,20860,1762333
#2011-04-08#,20900,21000,20720,20720,86150
#2011-04-11#,20700,20920,20700,20700,198462
#2011-04-12#,20700,20700,20300,20440,78100
#2011-04-13#,20440,20640,20020,20280,63689
#2011-04-14#,20100,20200,19880,19980,187890
#2011-04-15#,20200,20200,20060,20160,208257
#2011-04-18#,20200,20200,20020,20100,253950
#2011-04-19#,20100,20180,20000,20100,56832
#2011-04-20#,20200,20860,20200,20860,46540
#2011-04-21#,20200,20860,20200,20860,46540
#2011-04-22#,20200,20860,20200,20860,46540
#2011-04-25#,20800,21000,20800,21000,95150
#2011-04-26#,20800,21000,20800,20900,288887
#2011-04-27#,20900,20920,20840,20900,246727
#2011-04-28#,20900,21000,20900,21000,316756
#2011-04-29#,20900,21100,20840,21000,88076
#2011-05-02#,21000,21000,20900,21000,191235
#2011-05-03#,20820,20980,20800,20880,254532
#2011-05-04#,20780,21060,20780,20900,413444
#2011-05-05#,20820,20980,20800,20800,170161
#2011-05-06#,20800,21000,20780,21000,190895
#2011-05-09#,20940,21400,20940,21400,485634
#2011-05-10#,21180,21700,21180,21700,411881
#2011-05-11#,21480,21740,21440,21580,124812
#2011-05-12#,21580,21840,21580,21800,585877
#2011-05-13#,21840,22000,21800,22000,614955
#2011-05-16#,21820,22040,21820,22040,138789
#2011-05-17#,21960,22120,21960,22080,172134
#2011-05-18#,22020,22200,22000,22000,412049
#2011-05-19#,21960,22160,21940,22140,115807
#2011-05-20#,22000,22200,22000,22200,96613
#2011-05-23#,22100,22460,22100,22260,154582
#2011-05-24#,22260,22280,22140,22240,94107
#2011-05-25#,22240,22240,22160,22220,68419
#2011-05-26#,22180,22200,22080,22100,67100
#2011-05-27#,22120,22300,22120,22300,148316
#2011-05-30#,22400,22460,22340,22400,226288
#2011-05-31#,22400,22500,22340,22400,129633
#2011-06-01#,22400,22500,22400,22500,132604
#2011-06-02#,22420,22560,22420,22460,46397
#2011-06-03#,22300,22820,22300,22780,186936
#2011-06-06#,22300,22820,22300,22780,186936
#2011-06-07#,22520,22860,22520,22860,249592
#2011-06-08#,22800,23000,22800,22920,294316
#2011-06-09#,22800,22940,22800,22940,298020
#2011-06-10#,22760,22880,22760,22800,54823
#2011-06-13#,22720,22780,22700,22700,63932
#2011-06-14#,22660,22700,22600,22600,82678
#2011-06-15#,22560,22600,22440,22500,170707
#2011-06-16#,22340,23000,22340,22800,427162
#2011-06-17#,22680,22820,22680,22760,53070
#2011-06-20#,22540,22900,22520,22900,81231
#2011-06-21#,22620,22960,22620,22900,913137
#2011-06-22#,22860,22960,22860,22940,1741929
#2011-06-23#,22760,22900,22700,22900,171931
#2011-06-24#,22880,22880,22700,22720,449222
#2011-06-27#,22880,22880,22700,22720,449222
#2011-06-28#,22660,22680,22320,22320,215439
#2011-06-29#,22300,22300,22000,22160,679613
#2011-06-30#,22180,22200,21900,21900,155957
#2011-07-01#,21900,21940,21600,21600,202898
#2011-07-04#,21900,21940,21600,21600,202898
#2011-07-05#,21800,21800,21780,21800,33201
#2011-07-06#,21660,21820,21560,21800,131508
#2011-07-07#,21680,21920,21620,21920,25610
#2011-07-08#,21720,21860,21720,21820,39656
#2011-07-11#,21600,21600,21100,21100,528973
#2011-07-12#,21000,21380,21000,21120,940461
#2011-07-13#,21200,21600,21200,21540,109211
#2011-07-14#,21540,21540,21380,21380,115876
#2011-07-15#,21520,21520,21360,21360,25866
#2011-07-18#,21100,21500,21100,21300,45366
#2011-07-19#,21400,21940,21400,21900,1746327
#2011-07-20#,21400,21940,21400,21900,1746327
#2011-07-21#,21920,22500,21820,22400,1689019
#2011-07-22#,22260,22400,22240,22400,129599
#2011-07-25#,22320,22600,22300,22340,690201
#2011-07-26#,22380,22480,22360,22460,190852
#2011-07-27#,22300,22460,22120,22160,116620
#2011-07-28#,22200,22300,22100,22100,1211416
#2011-07-29#,22100,22180,21720,21720,119897
#2011-08-01#,21720,22100,21720,21960,151605
#2011-08-02#,21960,22380,21780,22380,140166
#2011-08-03#,21820,22000,21820,21940,37056
#2011-08-04#,21800,21800,21500,21560,59341
#2011-08-05#,21100,21240,21100,21240,66295
#2011-08-08#,20800,21600,20540,20800,968980
#2011-08-09#,20800,21900,20800,21700,377724
#2011-08-10#,21600,21940,21600,21740,68106
#2011-08-11#,21900,22100,21800,21800,40808
#2011-08-12#,21700,21860,21680,21860,37623
#2011-08-15#,21700,21860,21680,21860,37623
#2011-08-16#,21480,21600,21420,21420,53172
#2011-08-17#,21420,21440,21000,21000,120968
#2011-08-18#,20500,21000,20500,20720,148934
#2011-08-19#,20980,20980,20720,20780,65939
#2011-08-22#,20980,20980,20720,20780,12450
