"Date","Open","High","Low","Close","Volume"
#1999-01-01#,46.0625,46.3438,45.2813,45.6563,2905200
#1999-01-04#,45,46.0625,44.625,45,5048000
#1999-01-05#,45.0313,46.25,45.0313,45.7813,4471800
#1999-01-06#,45.8438,46.5,45.3438,46.3125,4772800
#1999-01-07#,45.7813,46.0938,44.8438,45.4375,4036200
#1999-01-08#,45.3125,45.3438,43.5313,44.5938,6724600
#1999-01-11#,43.6563,44.125,43,43.625,6553400
#1999-01-12#,43.5,44.4375,43.25,44.2188,6698200
#1999-01-13#,43.375,44.4688,42.9375,44,6318400
#1999-01-14#,44.0625,44.25,41.875,42.5938,7559800
#1999-01-15#,42.75,43.75,42.2188,43.3125,6325000
#1999-01-18#,42.75,43.75,42.2188,43.3125,6325000
#1999-01-19#,43.8438,43.9063,42.5,43.2188,4146800
#1999-01-20#,43.0625,43.125,42.1563,42.375,3025200
#1999-01-21#,42.8125,43.375,41.5938,43.25,8431200
#1999-01-22#,42.75,43.5313,41.8125,42.6563,5195000
#1999-01-25#,42.5,43,41.5625,41.8125,6820400
#1999-01-26#,41.5313,43.0625,41,42.7813,5839600
#1999-01-27#,42.6563,43.8125,42.2188,43.1563,5312800
#1999-01-28#,43.1563,44.2813,43.1563,43.9063,5123400
#1999-01-29#,44.4375,45.5,44.3125,45.4375,7095000
#1999-02-01#,45.0625,45.4375,44.625,45.3125,5209600
#1999-02-02#,45.0625,45.125,43.875,44.9063,4945600
#1999-02-03#,44.25,44.8438,44,44.4375,3779000
#1999-02-04#,44.5625,44.5625,42.0313,43.9063,8186000
#1999-02-05#,43.875,44.125,42.25,42.4375,4541400
#1999-02-08#,42.6875,43.1563,42.25,43.1563,3785800
#1999-02-09#,42.4063,43.75,42.0313,43.125,4307600
#1999-02-10#,43.125,44.0625,42.5938,44,3098200
#1999-02-11#,43.875,44.5,43.7813,44.2188,3094800
#1999-02-12#,44.7188,44.7188,43.2813,43.75,3335000
#1999-02-15#,44.7188,44.7188,43.2813,43.75,3335000
#1999-02-16#,43.9375,44.9375,43.875,44.8438,3807600
#1999-02-17#,44.6875,45.5,44.5938,45.1563,5881000
#1999-02-18#,45.3125,45.9688,45.1563,45.8125,5405600
#1999-02-19#,45.0625,45.9063,45.0625,45.9063,4339800
#1999-02-22#,45.6875,46.5,45.5313,46.5,5011600
#1999-02-23#,45.8125,46.4375,45.2813,45.375,4010200
#1999-02-24#,45.3125,45.5938,44.5,44.7813,3768000
#1999-02-25#,44.7188,44.9688,43.8125,44.9063,3625200
#1999-02-26#,44.7813,45.0938,44.125,44.75,3660200
#1999-03-01#,45.0625,45.3125,44.25,44.25,3521200
#1999-03-02#,44.6563,45.4375,44.5,45.0938,3735600
#1999-03-03#,45.0313,45.75,45.0313,45.6563,4053000
#1999-03-04#,45.7813,46.5,45.5625,46,6393600
#1999-03-05#,46.625,47,46.0938,47,6977800
#1999-03-08#,46.5625,46.7188,46.0938,46.5,3665200
#1999-03-09#,46.5,46.9688,45.8438,46.1875,4754600
#1999-03-10#,46.0938,46.4063,45.5938,46.0938,4139400
#1999-03-11#,45.9063,46.7813,45.3438,46.0625,5185000
#1999-03-12#,46,46,45.0313,45.1563,5242200
#1999-03-15#,45.4375,46,45.0313,45.8438,3374200
#1999-03-16#,45.25,46.4375,45.25,45.9688,4033200
#1999-03-17#,45.5313,46.4375,45.3125,45.7813,3873800
#1999-03-18#,45.6563,46.5625,45.0625,46.375,4623800
#1999-03-19#,46.75,47.4688,46.5313,46.8125,8882600
#1999-03-22#,46.875,47.8438,46.7188,47.75,6264200
#1999-03-23#,47.5625,47.9375,46.75,46.8438,6480800
#1999-03-24#,47.2188,47.75,46.875,47.6875,6474600
#1999-03-25#,48,50.4688,47.9688,50.25,10818200
#1999-03-26#,49.7813,49.9688,49.5938,49.625,5255600
#1999-03-29#,49.8125,50.5625,49.375,50.5625,4042000
#1999-03-30#,49.9375,50.5625,49.8125,50.0938,5319000
#1999-03-31#,50.875,50.9063,48.9063,48.9688,4708800
#1999-04-01#,49.0625,49.5938,48.6875,49.2188,3386000
#1999-04-02#,49.0625,49.5938,48.6875,49.2188,3386000
#1999-04-05#,49.3125,50.75,49.0313,50.4375,3811200
#1999-04-06#,50.0313,50.9688,49.1875,50.3125,5166800
#1999-04-07#,50.4375,50.4375,48.9063,50.375,4773200
#1999-04-08#,50.375,51,49.5625,50.375,4021200
#1999-04-09#,50.25,50.875,49.3125,50.7188,3697200
#1999-04-12#,50.0625,51.4688,50.0313,51.4688,3837200
#1999-04-13#,51.0313,51.9063,50.7813,51.4375,4220200
#1999-04-14#,51.4375,51.4375,49.4688,49.5625,5099000
#1999-04-15#,49.5,49.7813,48.0625,48.25,5565200
#1999-04-16#,48.1875,49.4688,47.5625,49.0938,5085200
#1999-04-19#,48.75,49.5,46.9063,47.3125,5003200
#1999-04-20#,47.4375,48.0938,47.25,47.9063,4530400
#1999-04-21#,47.4375,49.5,47.1875,49.4688,3781400
#1999-04-22#,49.5938,49.875,47,47.0625,11893200
#1999-04-23#,46.125,46.8125,45,45.25,11759400
#1999-04-26#,45.125,47.4375,44.9375,47.4063,9350800
#1999-04-27#,47.4063,47.625,46.5625,46.7813,4280800
#1999-04-28#,46.9063,47.0625,46.0313,46.1875,3973600
#1999-04-29#,46.3125,46.9375,46.1563,46.75,5548200
#1999-04-30#,45.875,47.3125,45.875,46.9063,7260200
#1999-05-03#,46.25,47.375,46.25,47.125,4339400
#1999-05-04#,46.625,47.0313,45.375,45.875,6565000
#1999-05-05#,45.9375,46.2813,45.2813,45.5938,4690400
#1999-05-06#,45.3125,46.25,45.125,46.0625,4588000
