"Date","Open","High","Low","Close","Volume"
#2017-01-02#,1363.589,1364.981,1353.92,1357.13,259801296
#2017-01-03#,1357.985,1375.085,1355.395,1365.492,295646080
#2017-01-04#,1366.701,1388.599,1366.701,1387.954,318657824
#2017-01-05#,1387.705,1387.705,1366.571,1371.936,257434032
#2017-01-06#,1372.487,1375.064,1366.816,1367.281,259725504
#2017-01-09#,1367.133,1367.133,1356.545,1357.491,293273952
#2017-01-10#,1357.743,1371.5,1357.743,1370.904,303181376
#2017-01-11#,1370.888,1375.539,1365.14,1373.3,260039168
#2017-01-12#,1372.84,1372.84,1346.815,1361.066,247771792
#2017-01-13#,1361.382,1376.174,1361.382,1372.047,230913264
#2017-01-16#,1361.382,1376.174,1361.382,1372.047,230913264
#2017-01-17#,1371.513,1371.513,1351.503,1352.324,254484528
#2017-01-18#,1352.738,1358.839,1350.812,1358.556,219443280
#2017-01-19#,1358.827,1360.757,1342.141,1345.744,239428160
#2017-01-20#,1345.961,1355.213,1345.961,1351.848,256178656
#2017-01-23#,1351.411,1353.127,1341.464,1347.836,220565232
#2017-01-24#,1348.115,1370.972,1348.115,1369.21,263514848
#2017-01-25#,1371.108,1383.357,1371.108,1382.437,248072096
#2017-01-26#,1382.427,1384.132,1374.62,1375.595,234680400
#2017-01-27#,1375.677,1375.931,1366.355,1370.704,218564640
#2017-01-30#,1369.49,1369.49,1342.656,1352.333,272986304
#2017-01-31#,1351.72,1363.597,1345.655,1361.824,345068864
#2017-02-01#,1364.073,1374.19,1357.493,1361.228,303214720
#2017-02-02#,1360.538,1364.098,1354.861,1357.432,279354848
#2017-02-03#,1358.048,1377.926,1358.048,1377.837,262669072
#2017-02-06#,1377.333,1377.333,1364.627,1366.66,246158720
#2017-02-07#,1366.824,1371.877,1357.606,1361.061,277587360
#2017-02-08#,1360.467,1360.467,1349.427,1358.737,292428160
#2017-02-09#,1359.303,1379.728,1359.303,1378.526,281430976
#2017-02-10#,1380.074,1391.178,1380.074,1388.844,279291584
#2017-02-13#,1390.408,1398.601,1389.938,1392.378,261128016
#2017-02-14#,1391.799,1397.138,1386.35,1396.651,265560848
#2017-02-15#,1396.337,1405.209,1392.041,1404.207,250467104
#2017-02-16#,1403.597,1404.845,1391.865,1399.133,276872608
#2017-02-17#,1399.073,1399.862,1392.672,1399.862,330004320
#2017-02-20#,1399.073,1399.862,1392.672,1399.862,330004320
#2017-02-21#,1400.664,1410.397,1400.664,1410.344,281292096
#2017-02-22#,1410.105,1410.105,1401.304,1403.855,273863872
#2017-02-23#,1404.384,1406.56,1385.633,1394.623,304997024
#2017-02-24#,1393.615,1394.525,1382.211,1394.525,276194464
#2017-02-27#,1394.527,1407.97,1392.243,1407.97,323617120
#2017-02-28#,1406.866,1406.866,1386.532,1386.684,440730720
#2017-03-01#,1389.116,1414.824,1389.116,1413.635,363504064
#2017-03-02#,1413.162,1413.162,1395.155,1395.668,309341152
#2017-03-03#,1395.553,1399.076,1387.969,1394.127,302221792
#2017-03-06#,1392.337,1392.337,1378.451,1384.245,272323168
#2017-03-07#,1383.323,1383.663,1374.199,1374.876,264654096
#2017-03-08#,1375.662,1381.962,1365.842,1366.039,284824928
#2017-03-09#,1366.233,1371.041,1357.38,1360.119,281811776
#2017-03-10#,1361.149,1369.052,1356.688,1365.265,298271040
#2017-03-13#,1365.161,1373.254,1365.047,1370.285,236363584
#2017-03-14#,1369.163,1369.163,1353.465,1362.379,248575600
#2017-03-15#,1363.363,1385.691,1363.363,1382.83,302767520
#2017-03-16#,1383.758,1389.79,1382.469,1386.029,261934272
#2017-03-17#,1385.273,1393.179,1380.689,1391.524,1043201856
#2017-03-20#,1391.465,1391.484,1381.12,1384.096,259932112
#2017-03-21#,1385.533,1390.198,1346.027,1346.546,331245248
#2017-03-22#,1346.208,1348.639,1335.221,1345.598,298070528
#2017-03-23#,1345.418,1361.216,1343.288,1353.425,247283392
#2017-03-24#,1354.518,1362.787,1349.175,1354.642,264691920
#2017-03-27#,1352.701,1359.332,1335.038,1357.321,249691968
#2017-03-28#,1356.704,1367.942,1352.53,1367.261,273174720
#2017-03-29#,1366.684,1373.132,1363.348,1371.645,246336080
#2017-03-30#,1371.987,1382.933,1371.987,1382.345,248157488
#2017-03-31#,1382.196,1389.953,1380.122,1385.92,389404704
#2017-04-03#,1386.429,1388.741,1366.527,1369.668,269840544
#2017-04-04#,1368.58,1374.05,1363.295,1368.175,300415840
#2017-04-05#,1369.79,1381.337,1350.956,1352.143,353875136
#2017-04-06#,1351.958,1364.515,1349.338,1364.426,287478720
#2017-04-07#,1363.84,1367.502,1358.01,1364.563,274676160
#2017-04-10#,1364.762,1376.561,1361.545,1367.085,246960704
#2017-04-11#,1366.47,1377.227,1360.54,1376.946,283090176
#2017-04-12#,1376.863,1376.863,1358.151,1359.199,243580224
#2017-04-13#,1358.607,1361.325,1345.244,1345.244,253483008
#2017-04-14#,1358.607,1361.325,1345.244,1345.244,253483008
#2017-04-17#,1345.363,1361.252,1345.363,1361.18,223834592
#2017-04-18#,1359.891,1362.488,1351.422,1361.894,243751056
#2017-04-19#,1362.318,1376.686,1362.318,1367.133,263176768
#2017-04-20#,1368.39,1384.584,1368.39,1384.15,280885184
#2017-04-21#,1384.15,1384.15,1376.37,1379.854,328752128
#2017-04-24#,1380.528,1399.957,1380.528,1397.942,291036160
#2017-04-25#,1400.101,1415.554,1400.101,1411.077,285679840
#2017-04-26#,1411.048,1425.699,1409.828,1419.431,324577728
#2017-04-27#,1419.573,1423.517,1413.684,1417.127,313070752
#2017-04-28#,1417.747,1419.209,1399.746,1400.428,335464128
#2017-05-01#,1401.007,1411.042,1397.077,1407.362,270572064
#2017-05-02#,1407.539,1409.048,1395.63,1399.362,338878912
#2017-05-03#,1399.126,1399.126,1386.323,1390.922,319726784
#2017-05-04#,1391.171,1394.158,1380.49,1388.846,336911648
#2017-05-05#,1389.206,1397.206,1385.196,1396.995,316101184
#2017-05-08#,1396.396,1397.429,1386.422,1391.639,287008800
#2017-05-09#,1392.309,1395.485,1386.732,1391.864,303623488
#2017-05-10#,1392.031,1400.808,1390.44,1399.589,305577664
#2017-05-11#,1399.203,1399.203,1379.145,1390.196,276919136
#2017-05-12#,1389.393,1389.393,1380.024,1382.77,266392672
#2017-05-15#,1383.272,1398.988,1383.272,1393.923,274455648
#2017-05-16#,1394.575,1396.355,1384.823,1394.683,281154176
#2017-05-17#,1388.302,1388.302,1355.845,1355.889,337132032
#2017-05-18#,1354.926,1365.008,1351.014,1361.077,306945792
#2017-05-19#,1361.527,1374.423,1361.527,1367.33,328457408
#2017-05-22#,1367.879,1378.297,1367.879,1377.139,260821008
#2017-05-23#,1378.235,1383.08,1372.048,1380.982,244230352
#2017-05-24#,1381.159,1386.074,1376.554,1382.509,274118368
#2017-05-25#,1384.809,1391.421,1380.325,1383.388,268476576
#2017-05-26#,1383.144,1383.677,1376.148,1382.244,268299776
#2017-05-29#,1383.144,1383.677,1376.148,1382.244,268299776
#2017-05-30#,1381.171,1381.171,1370.958,1371.193,258798432
#2017-05-31#,1372.2,1374.434,1354.855,1370.208,397119328
#2017-06-01#,1370.33,1396.195,1370.33,1396.06,338055392
#2017-06-02#,1396.083,1414.958,1396.04,1405.387,284126240
#2017-06-05#,1405.135,1405.135,1396.444,1396.451,237917600
#2017-06-06#,1395.052,1401.785,1386.704,1394.899,273823136
#2017-06-07#,1395.528,1400.406,1392.195,1396.674,277299744
#2017-06-08#,1396.783,1419.315,1394.69,1415.612,270410240
#2017-06-09#,1416.155,1433.79,1413.614,1421.707,346205280
#2017-06-12#,1421.103,1426.102,1415.589,1419.211,311715648
#2017-06-13#,1420.062,1427.554,1420.062,1425.985,260002608
#2017-06-14#,1426.026,1426.127,1411.395,1417.573,257503488
#2017-06-15#,1415.467,1415.467,1402.52,1410.084,241685664
#2017-06-16#,1407.217,1407.217,1399.258,1406.728,833474944
#2017-06-19#,1407.068,1420.192,1407.068,1418.081,256424432
#2017-06-20#,1417.762,1417.762,1402.791,1402.968,254789616
#2017-06-21#,1403.331,1411.884,1398.464,1399.255,280670368
#2017-06-22#,1399.366,1408.339,1396.868,1404.538,272502336
#2017-06-23#,1404.777,1415.771,1402.774,1414.778,1210814720
#2017-06-26#,1415.12,1420.768,1409.155,1416.64,278612576
#2017-06-27#,1416.352,1420.607,1403.377,1403.522,294730944
#2017-06-28#,1404.464,1426.334,1404.464,1425.269,305443616
#2017-06-29#,1425.486,1428.032,1403.016,1416.199,304321152
#2017-06-30#,1416.725,1420.99,1413.287,1415.359,299319200
#2017-07-03#,1416.469,1429.369,1416.469,1426.682,159276304
#2017-07-04#,1416.469,1429.369,1416.469,1426.682,159276304
#2017-07-05#,1426.535,1426.535,1412.624,1420.147,262523568
#2017-07-06#,1418.857,1418.857,1398.831,1400.815,310233760
#2017-07-07#,1401.352,1416.679,1401.352,1415.835,243757520
#2017-07-10#,1415.278,1418.052,1405.75,1408.475,265623888
#2017-07-11#,1408.609,1413.475,1402.625,1413.054,287694016
#2017-07-12#,1414.341,1431.34,1414.341,1424.321,251106656
#2017-07-13#,1424.532,1425.738,1416.271,1425.661,267518224
#2017-07-14#,1425.474,1432.968,1424.097,1428.817,216172320
#2017-07-17#,1428.781,1434.448,1425.972,1431.602,229039344
#2017-07-18#,1431.109,1431.109,1422.493,1427.614,235715648
#2017-07-19#,1428.277,1441.771,1428.277,1441.771,239971008
#2017-07-20#,1442.157,1445.061,1438.964,1442.354,239600272
#2017-07-21#,1443.375,1452.048,1433.831,1435.839,295671712
#2017-07-24#,1435.824,1438.597,1431.345,1438.055,243191760
#2017-07-25#,1438.863,1452.091,1438.863,1450.387,301511072
#2017-07-26#,1450.576,1452.021,1441.254,1442.279,254222288
#2017-07-27#,1442.262,1446.629,1427.693,1433.624,301219968
#2017-07-28#,1432.593,1432.593,1425.801,1429.26,266413712
#2017-07-31#,1429.464,1432.463,1420.659,1425.144,300317792
#2017-08-01#,1426.031,1430.664,1420.823,1428.33,265887008
#2017-08-02#,1428.026,1428.026,1408.516,1412.903,288205280
#2017-08-03#,1413.086,1414.725,1402.389,1405.229,304274720
#2017-08-04#,1405.139,1413.045,1405.139,1412.321,303771936
#2017-08-07#,1412.402,1417.42,1408.62,1414.167,285725152
#2017-08-08#,1413.929,1426.288,1407.573,1410.151,308742912
#2017-08-09#,1409.776,1409.776,1393.242,1396.948,348621504
#2017-08-10#,1396.595,1396.595,1372.544,1372.544,317880768
#2017-08-11#,1372.264,1376.373,1368.332,1374.231,305680352
#2017-08-14#,1375.132,1394.525,1375.132,1394.309,261822912
#2017-08-15#,1394.7,1395.876,1382.952,1383.237,232435008
#2017-08-16#,1384.176,1391.678,1381.901,1383.534,238880640
#2017-08-17#,1383.07,1384.74,1358.802,1358.94,242260672
#2017-08-18#,1357.012,1362.342,1349.354,1357.793,314030272
#2017-08-21#,1357.737,1358.089,1351.2,1356.905,218862528
#2017-08-22#,1357.887,1372.332,1357.887,1371.537,221180048
#2017-08-23#,1370.681,1373.276,1363.171,1369.739,223411040
#2017-08-24#,1370.155,1377.052,1370.155,1373.875,225090480
#2017-08-25#,1374.384,1380.597,1373.53,1377.453,211199056
#2017-08-28#,1377.757,1382.527,1377.063,1382.229,249164912
#2017-08-29#,1381.314,1385.195,1371.802,1383.681,262697232
#2017-08-30#,1383.211,1392.772,1381.203,1391.324,235542896
#2017-08-31#,1392.042,1406.444,1392.042,1405.277,289321856
#2017-09-01#,1405.825,1413.865,1405.825,1413.571,224214400
#2017-09-04#,1405.825,1413.865,1405.825,1413.571,224214400
#2017-09-05#,1413.304,1414.546,1394.507,1399.655,279171904
#2017-09-06#,1400.009,1406.021,1399.273,1402.196,247704000
#2017-09-07#,1402.457,1404.307,1393.885,1398.674,267059200
#2017-09-08#,1398.189,1403.529,1394.433,1399.429,277623904
#2017-09-11#,1400.558,1415.748,1400.558,1414.828,250951136
#2017-09-12#,1415.344,1423.927,1415.179,1423.463,244519600
#2017-09-13#,1423.298,1428.745,1421.879,1426.894,285335008
#2017-09-14#,1426.571,1427.924,1421.634,1425.023,271523264
#2017-09-15#,1425.349,1431.991,1422.246,1431.712,963640256
#2017-09-18#,1431.748,1444.269,1431.748,1441.083,292346176
#2017-09-19#,1441.185,1442.578,1438.291,1440.404,276357280
#2017-09-20#,1440.476,1446.479,1440.001,1445.42,253838928
#2017-09-21#,1445.198,1448.844,1441.686,1444.184,231163936
#2017-09-22#,1443.47,1451.506,1441.865,1450.781,259656544
#2017-09-25#,1450.635,1455.219,1445.02,1451.958,283108960
#2017-09-26#,1452.251,1460.95,1452.251,1456.863,267484080
#2017-09-27#,1457.27,1487.95,1457.27,1484.813,315426080
#2017-09-28#,1484.802,1489.354,1478.198,1488.786,280214112
#2017-09-29#,1488.795,1493.555,1488.795,1490.861,363997440
#2017-10-02#,1491.053,1509.476,1491.053,1509.472,292727680
#2017-10-03#,1509.94,1512.258,1503.52,1511.967,287662048
#2017-10-04#,1512.002,1514.775,1505.073,1507.765,265346528
#2017-10-05#,1508.338,1514.943,1508.338,1512.088,287951328
#2017-10-06#,1511.407,1511.407,1506.409,1510.217,257099904
#2017-10-09#,1510.41,1513.297,1501.772,1503.561,220281152
#2017-10-10#,1504.108,1511.332,1503.92,1508.005,220337888
#2017-10-11#,1507.906,1510.618,1505.144,1506.925,237426208
#2017-10-12#,1506.455,1508.434,1501.136,1505.164,254083632
#2017-10-13#,1505.464,1508.219,1502.225,1502.658,255753744
#2017-10-16#,1502.968,1511.289,1499.636,1502.681,233004048
#2017-10-17#,1502.529,1505.796,1495.896,1497.499,219680400
#2017-10-18#,1497.985,1507.838,1497.985,1505.144,241873856
#2017-10-19#,1502.972,1502.972,1491.378,1502.044,236443312
#2017-10-20#,1504.717,1512.749,1504.717,1509.247,264062544
#2017-10-23#,1509.671,1511.481,1497.339,1497.492,227538848
#2017-10-24#,1498.187,1505.568,1498.187,1500.42,241354672
#2017-10-25#,1500.254,1500.425,1482.528,1493.478,261454928
#2017-10-26#,1494.106,1501.357,1494.106,1497.459,264672016
#2017-10-27#,1497.538,1508.316,1493.491,1508.316,295634880
#2017-10-30#,1507.484,1507.484,1484.815,1490.899,277150272
#2017-10-31#,1491.436,1506.783,1491.436,1502.773,330528288
#2017-11-01#,1504.536,1512.404,1485.127,1492.778,307388256
#2017-11-02#,1492.898,1499.942,1487.73,1496.547,329035872
#2017-11-03#,1496.323,1497.141,1490.659,1494.91,306727680
#2017-11-06#,1495.029,1501.494,1494.737,1497.962,295455616
#2017-11-07#,1497.98,1497.996,1476.722,1479.091,328593920
#2017-11-08#,1477.953,1482.861,1469.342,1481.734,330078848
#2017-11-09#,1481.285,1481.625,1463.489,1475.019,329739296
#2017-11-10#,1474.924,1479.111,1473.138,1475.275,305282688
#2017-11-13#,1474.436,1476.678,1466.086,1475.068,271026592
#2017-11-14#,1474.267,1474.267,1465.384,1471.257,267956768
#2017-11-15#,1470.899,1470.899,1454.165,1464.095,303581312
#2017-11-16#,1464.969,1490.966,1464.969,1486.881,274888288
#2017-11-17#,1485.698,1496.863,1481.088,1492.822,296363520
#2017-11-20#,1492.93,1503.4,1492.93,1503.396,256587376
#2017-11-21#,1503.446,1519.526,1503.446,1518.89,302391968
#2017-11-22#,1518.982,1524.183,1516.761,1516.762,225772752
#2017-11-23#,1518.982,1524.183,1516.761,1516.762,225772752
#2017-11-24#,1517.408,1521.383,1516.521,1519.163,133133664
#2017-11-27#,1519.175,1522.032,1513.193,1513.309,277430208
#2017-11-28#,1514.152,1536.625,1514.152,1536.433,278993568
#2017-11-29#,1536.821,1547.274,1536.821,1542.297,302233664
#2017-11-30#,1542.622,1551.689,1541.213,1544.141,404717760
#2017-12-01#,1544.104,1544.923,1498.78,1537.021,330782784
#2017-12-04#,1539.267,1559.607,1531.727,1532.414,322745216
#2017-12-05#,1532.719,1534.011,1516.749,1516.761,292046112
#2017-12-06#,1516.359,1516.543,1508.126,1508.883,265092192
#2017-12-07#,1508.934,1524.001,1508.15,1520.469,303317504
#2017-12-08#,1521.779,1529.005,1520.881,1521.724,245417760
#2017-12-11#,1522.097,1527.474,1518.296,1519.84,262916864
#2017-12-12#,1520.064,1525.113,1515.952,1516.117,278523008
#2017-12-13#,1516.188,1532.383,1516.082,1524.446,315064224
#2017-12-14#,1524.539,1527.001,1504.887,1506.95,304997440
#2017-12-15#,1507.677,1538.058,1507.677,1530.425,1151503616
#2017-12-18#,1530.812,1552.316,1530.812,1548.925,315840544
#2017-12-19#,1549.324,1552.21,1535.906,1536.75,301441504
#2017-12-20#,1538.742,1544.346,1536.231,1540.076,243302640
#2017-12-21#,1540.461,1551.208,1540.461,1547.107,246712176
#2017-12-22#,1547.241,1548.254,1541.699,1542.925,226100496
#2017-12-25#,1547.241,1548.254,1541.699,1542.925,226100496
#2017-12-26#,1542.74,1546.592,1541.214,1544.226,217613504
#2017-12-27#,1544.387,1550.622,1541.948,1543.937,199655120
#2017-12-28#,1544.051,1549.042,1542.523,1548.926,189612576
#2017-12-29#,1549.059,1551.938,1535.505,1535.511,278709280
#2018-01-01#,1549.059,1551.938,1535.505,1535.511,278709280
