"Date","Open","High","Low","Close","Volume"
#2003-01-01#,879.39,881.93,869.45,879.82,1089798656
#2003-01-02#,879.82,909.03,879.82,909.03,1365863936
#2003-01-03#,909.03,911.25,903.07,908.59,1243935872
#2003-01-06#,908.59,931.77,908.59,929.01,1564659840
#2003-01-07#,929.01,930.81,919.93,922.93,1799512576
#2003-01-08#,922.93,922.93,908.32,909.93,1586210176
#2003-01-09#,909.93,928.31,909.93,927.58,1679834240
#2003-01-10#,927.58,932.89,917.66,927.57,1664545536
#2003-01-13#,927.57,935.05,922.05,926.26,1517662464
#2003-01-14#,926.26,931.66,921.72,931.66,1453396352
#2003-01-15#,931.66,932.59,916.7,918.22,1559642496
#2003-01-16#,918.22,926.03,911.98,914.6,1609923200
#2003-01-17#,914.6,914.6,899.02,901.78,1652766336
#2003-01-20#,914.6,914.6,899.02,901.78,1652766336
#2003-01-21#,901.78,906,887.62,887.62,1437314688
#2003-01-22#,887.62,889.74,877.64,878.36,1685112704
#2003-01-23#,878.36,890.25,876.89,887.34,1772318592
#2003-01-24#,887.34,887.34,859.71,861.4,1642155264
#2003-01-27#,861.4,863.95,844.25,847.48,1500256896
#2003-01-28#,847.48,860.76,847.48,858.54,1536853376
#2003-01-29#,858.54,868.72,845.86,864.36,1664347264
#2003-01-30#,864.36,865.48,843.74,844.61,1595390976
#2003-01-31#,844.61,858.33,840.34,855.7,1769505152
#2003-02-03#,855.7,864.64,855.7,860.32,1340887040
#2003-02-04#,860.32,860.32,840.19,848.2,1560779264
#2003-02-05#,848.2,861.63,842.11,843.59,1574005248
#2003-02-06#,843.59,844.23,833.25,838.15,1485124608
#2003-02-07#,838.15,845.73,826.7,829.69,1353997696
#2003-02-10#,829.69,837.16,823.53,835.97,1284572544
#2003-02-11#,835.97,843.02,825.09,829.2,1384184704
#2003-02-12#,829.2,832.12,818.49,818.68,1341041280
#2003-02-13#,818.68,821.25,806.29,817.37,1517866368
#2003-02-14#,817.37,834.89,815.03,834.89,1475231360
#2003-02-17#,817.37,834.89,815.03,834.89,1475231360
#2003-02-18#,834.89,852.87,834.89,851.17,1293168128
#2003-02-19#,851.17,851.17,838.79,845.13,1156303104
#2003-02-20#,845.13,849.37,836.56,837.1,1282523904
#2003-02-21#,837.1,852.28,831.48,848.17,1465508864
#2003-02-24#,848.17,848.17,832.16,832.58,1271908480
#2003-02-25#,832.58,839.55,818.54,838.57,1504602368
#2003-02-26#,838.57,840.1,826.68,827.55,1357707136
#2003-02-27#,827.55,842.19,827.55,837.28,1339666048
#2003-02-28#,837.28,847,837.28,841.15,1369665280
#2003-03-03#,841.15,852.34,832.74,834.81,1262005760
#2003-03-04#,834.81,835.43,821.96,821.99,1259889920
#2003-03-05#,821.99,829.87,819,829.85,1405474688
#2003-03-06#,829.85,829.85,819.85,822.1,1357716992
#2003-03-07#,822.1,829.55,811.23,828.89,1549240320
#2003-03-10#,828.89,828.89,806.57,807.48,1260488448
#2003-03-11#,807.48,814.25,800.3,800.73,1427940864
#2003-03-12#,800.73,804.19,788.9,804.19,1690073472
#2003-03-13#,804.19,832.02,804.19,831.9,1946516736
#2003-03-14#,831.89,841.39,828.26,833.27,1691278336
#2003-03-17#,833.27,862.79,827.17,862.79,1945798400
#2003-03-18#,862.79,866.94,857.36,866.45,1658423808
#2003-03-19#,866.45,874.99,861.21,874.02,1649711616
#2003-03-20#,874.02,879.6,859.01,875.67,1582953984
#2003-03-21#,875.84,895.9,875.84,895.79,2028466432
#2003-03-24#,895.79,895.79,862.02,864.23,1378648320
#2003-03-25#,864.23,879.87,862.59,874.74,1420890496
#2003-03-26#,874.74,875.8,866.47,869.95,1298111360
#2003-03-27#,869.95,874.15,858.09,868.52,1289898112
#2003-03-28#,868.52,869.88,860.83,863.5,1201223808
#2003-03-31#,863.5,863.5,843.68,848.18,1489501568
#2003-04-01#,848.18,861.28,847.85,858.48,1471576192
#2003-04-02#,858.48,884.57,858.48,880.9,1671950976
#2003-04-03#,880.9,885.89,876.12,876.45,1423471616
#2003-04-04#,876.45,882.73,874.23,878.85,1336915584
#2003-04-07#,878.85,904.89,878.85,879.93,1504312448
#2003-04-08#,879.93,883.11,874.68,878.29,1215750272
#2003-04-09#,878.29,887.35,865.72,865.99,1314967552
#2003-04-10#,865.99,871.78,862.76,871.58,1174039680
#2003-04-11#,871.58,883.34,865.92,868.3,1110571648
#2003-04-14#,868.3,885.26,868.3,885.23,1069684160
#2003-04-15#,885.23,891.27,881.85,890.81,1343367296
#2003-04-16#,890.81,896.77,877.93,879.91,1560477184
#2003-04-17#,879.91,893.83,879.2,893.58,1446080256
#2003-04-18#,879.91,893.83,879.2,893.58,1446080256
#2003-04-21#,893.58,898.01,888.17,892.01,1103114496
#2003-04-22#,892.01,911.74,886.7,911.37,1588888576
#2003-04-23#,911.37,919.74,909.89,919.02,1593531776
#2003-04-24#,919.02,919.02,906.69,911.43,1429689344
#2003-04-25#,911.43,911.43,897.52,898.81,1280409344
#2003-04-28#,898.81,918.15,898.81,914.84,1244800256
#2003-04-29#,914.84,924.24,911.1,917.84,1445282816
#2003-04-30#,917.84,922.01,911.7,916.92,1617787264
#2003-05-01#,916.92,919.68,902.83,916.3,1286662912
#2003-05-02#,916.3,930.56,912.35,930.08,1437194752
#2003-05-05#,930.08,933.88,924.55,926.55,1376816256
#2003-05-06#,926.55,939.61,926.38,934.39,1579601792
#2003-05-07#,934.39,937.22,926.41,929.62,1470632704
#2003-05-08#,929.62,929.62,919.72,920.27,1314417664
#2003-05-09#,920.27,933.77,920.27,933.41,1257306624
#2003-05-12#,933.41,946.84,929.3,945.11,1421648512
#2003-05-13#,945.11,947.51,938.91,942.3,1330104960
#2003-05-14#,942.3,947.29,935.24,939.28,1308009728
#2003-05-15#,939.28,948.23,938.79,946.67,1385924992
#2003-05-16#,946.67,948.65,938.6,944.3,1393449088
#2003-05-19#,944.3,944.3,920.23,920.77,1299808128
#2003-05-20#,920.77,925.34,912.05,919.73,1446291200
#2003-05-21#,919.73,923.85,914.91,923.42,1412707968
#2003-05-22#,923.42,935.3,922.54,931.87,1362942464
#2003-05-23#,931.87,935.2,927.42,933.22,1110155008
#2003-05-26#,931.87,935.2,927.42,933.22,1110155008
#2003-05-27#,933.22,952.76,927.33,951.48,1430602112
#2003-05-28#,951.48,959.39,950.12,953.22,1452431616
#2003-05-29#,953.22,962.08,946.23,949.64,1684347136
#2003-05-30#,949.64,965.38,949.64,963.59,1681509248
#2003-06-02#,963.59,979.11,963.59,967,1591288448
#2003-06-03#,967,973.02,964.47,971.56,1365144960
#2003-06-04#,971.56,987.85,970.72,986.24,1539941760
#2003-06-05#,986.24,990.14,978.13,990.14,1651607424
#2003-06-06#,990.14,1007.69,986.01,987.76,2080171392
#2003-06-09#,987.76,987.76,972.59,975.93,1304266368
#2003-06-10#,975.93,984.84,975.93,984.84,1231888000
#2003-06-11#,984.84,997.48,981.61,997.48,1448761728
#2003-06-12#,997.48,1002.74,991.27,998.51,1353281152
