"Date","Open","High","Low","Close","Volume"
#1999-01-01#,123.3125,123.9375,122.4688,123.3125,6790500
#1999-01-04#,123.375,125.2188,121.7188,123.0313,9450400
#1999-01-05#,122.9375,124.875,122.9375,124.4375,8031000
#1999-01-06#,125.8125,127.75,125.75,127.4375,7737700
#1999-01-07#,126.375,127.2188,125.7813,126.8125,5504900
#1999-01-08#,128.1875,128.5,125.9688,127.75,6224400
#1999-01-11#,127.6875,127.6875,125.2188,126.5313,7578300
#1999-01-12#,126.2188,126.2188,123.75,124.25,7768800
#1999-01-13#,120.4063,125.125,120.375,123.375,10810600
#1999-01-14#,123.625,123.9063,120.9063,121.2188,11400700
#1999-01-15#,122.375,124.7813,122.0625,124.375,7817700
#1999-01-18#,122.375,124.7813,122.0625,124.375,7817700
#1999-01-19#,125.2969,125.625,123.5,125.1875,6535100
#1999-01-20#,126.0938,127.9375,125.0313,126.1875,6534400
#1999-01-21#,125.5781,125.8438,122.5938,122.8438,6937500
#1999-01-22#,122.125,123.8438,121.7813,122.5625,7522300
#1999-01-25#,123.2813,124,121.9063,123.8125,5700300
#1999-01-26#,124.125,126.0625,123.625,126.0625,6047000
#1999-01-27#,126.375,126.625,124.1563,124.5938,7399400
#1999-01-28#,125.25,126.9688,125.1875,126.6875,5961700
#1999-01-29#,127.3438,128.2969,125.4063,127.6563,6456800
#1999-02-01#,128.6875,128.6875,126.9063,126.9063,9426800
#1999-02-02#,127.0781,127.2188,124.7656,126.125,9194500
#1999-02-03#,125.6875,127.9375,125.6563,127.4063,10290700
#1999-02-04#,127.375,127.5,124.7813,125.5,7761100
#1999-02-05#,125.6563,125.6563,123.2188,124.0625,7516100
#1999-02-08#,125.0938,125.0938,123.3438,124.3125,8528400
#1999-02-09#,124.375,124.5,121.5156,121.5313,8985700
#1999-02-10#,122.125,123,121.3281,122.3125,6936700
#1999-02-11#,123.0625,126.0938,122.5,125.125,9181800
#1999-02-12#,124.8125,125.5,122.625,123.625,10676400
#1999-02-15#,124.8125,125.5,122.625,123.625,10676400
