"Date","Open","High","Low","Close","Volume"
#1998-01-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#1998-01-12#,26.0678,26.0678,26.0678,26.0678,1098
#1998-01-13#,26.0678,26.0678,26.0678,26.0678,1098
#1998-01-14#,32.101,32.101,32.101,32.101,1098
#1998-01-15#,32.101,32.101,32.101,32.101,1098
#1998-01-16#,32.101,32.101,32.101,32.101,1098
#1998-01-19#,32.101,32.101,32.101,32.101,1098
#1998-01-20#,32.101,32.101,32.101,32.101,1098
#1998-01-21#,32.101,32.101,32.101,32.101,1098
#1998-01-22#,32.101,32.101,32.101,32.101,1098
#1998-01-23#,32.101,32.101,32.101,32.101,1098
#1998-01-26#,32.101,32.101,32.101,32.101,1098
#1998-01-27#,32.101,32.101,32.101,32.101,1098
#1998-01-28#,32.101,32.101,32.101,32.101,1098
#1998-01-29#,32.101,32.101,32.101,32.101,1098
#1998-01-30#,32.101,32.101,32.101,32.101,1098
#1998-02-02#,32.101,32.101,32.101,32.101,1098
#1998-02-03#,32.101,32.101,32.101,32.101,1098
#1998-02-04#,32.101,32.101,32.101,32.101,1098
#1998-02-05#,32.101,32.101,32.101,32.101,1098
#1998-02-06#,32.101,32.101,32.101,32.101,1098
#1998-02-09#,32.101,32.101,32.101,32.101,1098
#1998-02-10#,32.101,32.101,32.101,32.101,1098
#1998-02-11#,32.101,32.101,32.101,32.101,1098
#1998-02-12#,32.101,32.101,32.101,32.101,1098
#1998-02-13#,32.101,32.101,32.101,32.101,1098
#1998-02-16#,32.101,32.101,32.101,32.101,1098
#1998-02-17#,32.101,32.101,32.101,32.101,1098
#1998-02-18#,32.101,32.101,32.101,32.101,1098
#1998-02-19#,32.101,32.101,32.101,32.101,1098
#1998-02-20#,32.101,32.101,32.101,32.101,1098
#1998-02-23#,47.3729,47.3729,47.3729,47.3729,2196
#1998-02-24#,47.3729,47.3729,47.3729,47.3729,2196
#1998-02-25#,47.3729,47.3729,47.3729,47.3729,2196
#1998-02-26#,47.3729,47.3729,47.3729,47.3729,2196
#1998-02-27#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-02#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-03#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-04#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-05#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-06#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-09#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-10#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-11#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-12#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-13#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-16#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-17#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-18#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-19#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-20#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-23#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-24#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-25#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-26#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-27#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-30#,47.3729,47.3729,47.3729,47.3729,2196
#1998-03-31#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-01#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-02#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-03#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-06#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-07#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-08#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-09#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-10#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-13#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-14#,47.3729,47.3729,47.3729,47.3729,2196
#1998-04-15#,47.3729,47.3729,47.3729,47.3729,2196
