"Date","Open","High","Low","Close","Volume"
#2008-01-01#,284.72,291.297,284.72,290,85591
#2008-01-02#,297.28,306,296.48,306,247787
#2008-01-03#,300.16,308.4,294.24,298.56,196548
#2008-01-04#,296.32,303.84,290.32,302,200805
#2008-01-07#,300.56,307.039,298,304.4,179853
#2008-01-08#,306.96,309.28,305.44,307.2,129943
#2008-01-09#,314,314.96,310.48,314,200694
#2008-01-10#,314,320.64,309.28,320.08,180734
#2008-01-11#,321.04,324.96,313.04,315.12,171667
#2008-01-14#,326.8,327.839,318.48,323.04,169760
#2008-01-15#,320.56,321.2,312.4,315.28,121859
#2008-01-16#,317.92,318.9785,313.2,314.24,113895
#2008-01-17#,311.36,315.52,308,311.6,90203
#2008-01-18#,318.08,318.08,307.2,307.2,75113
#2008-01-21#,318.08,318.08,307.2,307.2,75113
#2008-01-22#,301.12,304.88,296.32,297.12,146536
#2008-01-23#,298.72,299.68,293.921,297.44,117688
#2008-01-24#,298.72,305.12,298.16,305.12,108996
#2008-01-25#,305.36,310.8,304.16,309.44,112331
#2008-01-28#,310.16,315.04,307.601,315.04,60899
#2008-01-29#,311.04,312.32,306.4,310.4,62596
#2008-01-30#,316.16,316.776,311.04,314.08,75913
#2008-01-31#,313.52,316.08,309.92,314.24,92506
#2008-02-01#,309.28,309.6,301.44,301.44,127366
#2008-02-04#,298,312.48,296.72,307.04,134680
#2008-02-05#,308.96,312.48,307.84,310.96,133463
#2008-02-06#,313.6,314.64,309.2,311.68,87363
#2008-02-07#,313.76,319.2,311.121,319.2,104958
#2008-02-08#,316.32,326.96,316,324,132047
#2008-02-11#,330.88,336.48,329.121,333.04,267894
#2008-02-12#,332.96,336.16,326,326.961,199250
#2008-02-13#,327.36,333.76,325.68,328.16,52242
#2008-02-14#,332,343.04,331.92,341.368,169850
#2008-02-15#,343.36,343.36,336.88,338.96,122534
#2008-02-18#,343.36,343.36,336.88,338.96,122534
#2008-02-19#,347.6,350.8,347.12,350.08,114325
#2008-02-20#,352.4,352.96,347.28,348.56,130694
#2008-02-21#,348.8,352.24,345.44,346.24,211044
#2008-02-22#,344.24,361.44,343.28,361.44,235125
#2008-02-25#,362.48,365.6,353.52,359.2,165305
#2008-02-26#,361.92,365.68,357.361,358.88,171543
#2008-02-27#,356.4,358.8,350.24,352.559,91681
#2008-02-28#,358.8,370.32,358,368.08,130528
#2008-02-29#,367.2,368,363.12,364.64,64409
#2008-03-03#,366.08,374.4,361.52,363.44,138084
#2008-03-04#,366.24,370.16,362.8,364.88,156174
#2008-03-05#,371.84,384.96,369.44,380.8,202182
#2008-03-06#,379.2,384,376.16,380.8,142969
#2008-03-07#,388.16,389.92,377.84,381.76,152833
#2008-03-10#,380,392.24,375.44,391.2,135297
#2008-03-11#,387.44,394.449,384.161,390.401,156814
#2008-03-12#,388.32,392,383.76,391.12,141042
#2008-03-13#,391.36,400.96,390.88,400.96,169312
#2008-03-14#,400,400.96,379.2,387.2,166660
#2008-03-17#,373.52,380.72,353.28,359.92,289907
#2008-03-18#,358.24,369.6,355.28,369.6,138874
#2008-03-19#,360.96,362.8,350.48,350.8,262174
#2008-03-20#,341.6,359.6,332,354.72,252676
#2008-03-21#,341.6,359.6,332,354.72,252676
#2008-03-24#,356.48,368.48,355.6,364.479,75304
#2008-03-25#,366.56,370.16,362.304,367.92,115654
#2008-03-26#,368.88,376.64,368,373.92,90868
#2008-03-27#,368.32,377.36,364.8,373.84,70446
#2008-03-28#,377.12,380.24,373.68,379.92,68681
#2008-03-31#,387.36,394.16,385.6,388,179201
#2008-04-01#,382,385.6,370,371.84,181765
#2008-04-02#,368.8,384.4,362.88,379.84,129927
