"Date","Open","High","Low","Close","Volume"
#1992-01-01#,2.434,2.445,2.328,2.328,8854400
#1992-01-02#,2.32,2.34,2.297,2.297,4099200
#1992-01-03#,2.375,2.477,2.367,2.473,5900800
#1992-01-06#,2.484,2.539,2.477,2.508,4588800
#1992-01-07#,2.5,2.5,2.469,2.484,2057600
#1992-01-08#,2.473,2.496,2.461,2.488,4451200
#1992-01-09#,2.508,2.637,2.508,2.586,5843200
#1992-01-10#,2.578,2.598,2.578,2.59,2096000
#1992-01-13#,2.59,2.59,2.539,2.547,3366400
#1992-01-14#,2.547,2.68,2.547,2.676,5907200
#1992-01-15#,2.703,2.773,2.703,2.766,7305600
#1992-01-16#,2.758,2.766,2.531,2.59,12243200
#1992-01-17#,2.59,2.602,2.508,2.555,7436800
#1992-01-20#,2.578,2.578,2.523,2.543,2540800
#1992-01-21#,2.543,2.563,2.461,2.469,7648000
#1992-01-22#,2.477,2.57,2.469,2.57,4777600
#1992-01-23#,2.609,2.672,2.609,2.648,4681600
#1992-01-24#,2.633,2.75,2.625,2.75,2979200
#1992-01-27#,2.809,2.828,2.754,2.758,8454400
#1992-01-28#,2.75,2.758,2.703,2.711,4316800
#1992-01-29#,2.695,2.695,2.578,2.578,2896000
#1992-01-30#,2.586,2.625,2.586,2.617,5587200
#1992-01-31#,2.633,2.633,2.594,2.602,1510400
#1992-02-03#,2.594,2.625,2.594,2.605,2662400
#1992-02-04#,2.617,2.621,2.617,2.621,2953600
#1992-02-05#,2.641,2.766,2.633,2.762,7859200
#1992-02-06#,2.762,2.828,2.723,2.73,2371200
#1992-02-07#,2.734,2.734,2.684,2.688,1446400
#1992-02-10#,2.691,2.82,2.688,2.809,3926400
#1992-02-11#,2.82,2.906,2.82,2.883,6019200
#1992-02-12#,2.883,2.895,2.801,2.832,7302400
#1992-02-13#,2.824,2.883,2.805,2.809,3468800
#1992-02-14#,2.801,2.801,2.766,2.766,3196800
#1992-02-17#,2.801,2.801,2.766,2.766,3196800
#1992-02-18#,2.762,2.762,2.641,2.68,3667200
#1992-02-19#,2.672,2.672,2.434,2.434,9072000
#1992-02-20#,2.477,2.547,2.477,2.516,13984000
#1992-02-21#,2.527,2.566,2.445,2.473,3238400
#1992-02-24#,2.477,2.484,2.266,2.328,11350400
#1992-02-25#,2.328,2.449,2.328,2.449,16969600
#1992-02-26#,2.441,2.594,2.441,2.594,5648000
#1992-02-27#,2.594,2.648,2.531,2.535,6179200
#1992-02-28#,2.516,2.523,2.492,2.5,36227200
#1992-03-02#,2.496,2.539,2.496,2.508,5782400
#1992-03-03#,2.516,2.52,2.484,2.484,4201600
#1992-03-04#,2.484,2.508,2.469,2.469,5299200
#1992-03-05#,2.469,2.469,2.313,2.34,10480000
#1992-03-06#,2.375,2.414,2.367,2.41,7168000
#1992-03-09#,2.418,2.445,2.418,2.426,4073600
#1992-03-10#,2.434,2.527,2.43,2.527,5718400
#1992-03-11#,2.516,2.516,2.453,2.473,4028800
#1992-03-12#,2.465,2.488,2.465,2.477,1785600
#1992-03-13#,2.5,2.504,2.469,2.484,2387200
#1992-03-16#,2.488,2.5,2.465,2.5,3107200
#1992-03-17#,2.5,2.516,2.488,2.5,3030400
#1992-03-18#,2.496,2.5,2.453,2.492,2864000
#1992-03-19#,2.5,2.531,2.488,2.52,1478400
#1992-03-20#,2.57,2.57,2.516,2.516,2713600
#1992-03-23#,2.52,2.52,2.492,2.52,2348800
#1992-03-24#,2.523,2.57,2.523,2.551,3984000
#1992-03-25#,2.555,2.559,2.539,2.559,2460800
#1992-03-26#,2.563,2.637,2.547,2.602,3372800
#1992-03-27#,2.609,2.609,2.508,2.516,1312000
#1992-03-30#,2.508,2.508,2.488,2.488,956800
#1992-03-31#,2.492,2.5,2.477,2.477,3497600
#1992-04-01#,2.457,2.469,2.445,2.469,3203200
#1992-04-02#,2.477,2.539,2.477,2.508,5088000
#1992-04-03#,2.504,2.508,2.484,2.5,2188800
#1992-04-06#,2.5,2.508,2.492,2.5,4777600
#1992-04-07#,2.492,2.492,2.43,2.43,1174400
#1992-04-08#,2.402,2.402,2.305,2.355,7561600
#1992-04-09#,2.363,2.445,2.363,2.438,5382400
#1992-04-10#,2.438,2.48,2.438,2.445,3788800
#1992-04-13#,2.438,2.453,2.414,2.453,3203200
#1992-04-14#,2.445,2.52,2.445,2.5,7030400
#1992-04-15#,2.516,2.539,2.492,2.492,2460800
