"Date","Open","High","Low","Close","Volume"
#1996-01-01#,6.4914,6.5188,6.4777,6.5188,189900
#1996-01-02#,6.5051,6.5188,6.4777,6.5188,601200
#1996-01-03#,6.5051,6.5051,6.4914,6.5051,324000
#1996-01-04#,6.423,6.423,6.2997,6.2997,1030500
#1996-01-05#,6.286,6.3545,6.286,6.3408,199800
#1996-01-08#,6.3408,6.3408,6.3271,6.3271,39600
#1996-01-09#,6.2997,6.2997,6.1491,6.2449,550800
#1996-01-10#,6.2175,6.2175,6.1491,6.1901,495000
#1996-01-11#,6.2038,6.2586,6.1901,6.2586,1308600
#1996-01-12#,6.2312,6.2723,6.2175,6.2312,414900
#1996-01-15#,6.2586,6.2586,6.2312,6.2449,217800
#1996-01-16#,6.2312,6.3271,6.2312,6.2312,384300
#1996-01-17#,6.2449,6.2997,6.2449,6.2997,310500
#1996-01-18#,6.286,6.3682,6.286,6.3682,202500
#1996-01-19#,6.3408,6.464,6.3408,6.464,269100
#1996-01-22#,6.464,6.464,6.4367,6.4504,79200
#1996-01-23#,6.4367,6.4914,6.4367,6.4777,425700
#1996-01-24#,6.4914,6.6147,6.4914,6.6147,218700
#1996-01-25#,6.6147,6.6832,6.5462,6.6421,216900
#1996-01-26#,6.6421,6.7243,6.6421,6.7243,466200
#1996-01-29#,6.7516,6.8064,6.7379,6.7516,642600
#1996-01-30#,6.7516,6.9434,6.7516,6.916,333000
#1996-01-31#,6.8886,6.9023,6.8338,6.8475,392400
#1996-02-01#,6.8749,6.9023,6.8475,6.8475,132300
#1996-02-02#,6.8338,6.9571,6.8338,6.8749,101700
#1996-02-05#,6.8886,6.9297,6.8612,6.9297,82800
#1996-02-06#,6.9297,7.0666,6.9297,6.9982,282600
#1996-02-07#,7.0118,7.0118,6.9571,6.9571,61200
#1996-02-08#,6.9708,7.0392,6.9434,7.0118,242100
#1996-02-09#,7.0255,7.0529,7.0118,7.0255,304200
#1996-02-12#,6.9982,7.0666,6.9982,7.0392,196200
#1996-02-13#,7.0529,7.0666,7.0529,7.0666,81900
#1996-02-14#,7.0666,7.1077,7.0666,7.0803,512100
#1996-02-15#,7.0529,7.1077,7.0392,7.0803,591300
#1996-02-16#,7.0803,7.094,7.0529,7.0666,330300
#1996-02-19#,7.0803,7.094,7.0529,7.0666,330300
#1996-02-20#,7.0392,7.094,6.9434,7.094,446400
#1996-02-21#,7.0666,7.1899,7.0666,7.1899,361800
#1996-02-22#,7.1762,7.2994,7.1488,7.2721,569700
#1996-02-23#,7.2447,7.2721,7.1351,7.231,202500
#1996-02-26#,7.2173,7.2173,7.1214,7.1214,377100
#1996-02-27#,7.1214,7.1488,7.0803,7.094,320400
#1996-02-28#,7.094,7.1214,7.0255,7.0255,455400
#1996-02-29#,7.0118,7.0118,6.9023,6.9023,342000
#1996-03-01#,6.9297,6.9434,6.8612,6.8749,858600
#1996-03-04#,6.8749,6.9982,6.8749,6.9845,245700
