"Date","Open","High","Low","Close","Volume"
#1996-01-01#,29.9715,30.0276,29.7475,29.9715,873400
#1996-01-02#,29.8595,30.3637,29.8035,30.3637,976600
#1996-01-03#,30.4757,31.3161,30.4757,31.3161,1248800
#1996-01-04#,31.092,31.5962,30.5318,30.7558,1459200
#1996-01-05#,30.5878,31.092,30.4757,31.092,1123000
#1996-01-08#,30.8119,30.8679,30.5318,30.8679,233000
#1996-01-09#,30.9799,31.036,30.6998,30.7558,1245800
#1996-01-10#,30.7558,30.8679,30.5318,30.5878,1578400
#1996-01-11#,30.5878,30.8119,30.4197,30.8119,1819800
#1996-01-12#,30.8119,30.9799,30.5878,30.8119,1249800
#1996-01-15#,30.7558,31.204,30.7558,31.036,761800
#1996-01-16#,31.148,31.6522,31.036,31.6522,985800
#1996-01-17#,31.5962,31.8763,31.4281,31.4281,1188400
#1996-01-18#,31.3161,31.3721,31.148,31.3161,909400
#1996-01-19#,31.036,31.26,30.8679,30.9799,1669400
#1996-01-22#,30.7558,30.9239,30.2517,30.4757,1994800
#1996-01-23#,30.4197,30.4197,29.9155,30.1956,1295400
#1996-01-24#,30.1396,30.6438,30.0836,30.6438,1162800
#1996-01-25#,30.4757,30.5878,30.2517,30.3077,788800
#1996-01-26#,30.3077,30.5878,30.1396,30.3637,1209600
#1996-01-29#,30.4757,30.4757,30.1396,30.2517,1140000
#1996-01-30#,30.2517,30.3077,29.8035,30.3077,985800
#1996-01-31#,30.4197,30.8679,30.1956,30.8679,1386000
#1996-02-01#,30.6998,31.092,30.6438,30.9239,1251200
#1996-02-02#,31.3161,31.3721,30.8119,30.8679,1914000
#1996-02-05#,31.036,31.3721,30.9799,31.26,1448800
#1996-02-06#,31.204,31.7082,31.036,31.6522,1334800
#1996-02-07#,31.7082,32.5485,31.7082,32.4365,1748000
#1996-02-08#,32.3245,32.3245,31.5402,32.2124,1854000
#1996-02-09#,32.2124,32.6606,32.1564,32.4365,1675600
#1996-02-12#,32.4365,33.5009,32.4365,33.3328,1428800
#1996-02-13#,33.2208,33.5569,32.8847,32.9407,1443400
#1996-02-14#,32.8286,33.0527,32.3805,32.3805,1161600
#1996-02-15#,32.3805,32.4365,31.4841,31.4841,1360400
#1996-02-16#,31.5402,31.5402,30.6438,30.6438,2763000
#1996-02-19#,31.5402,31.5402,30.6438,30.6438,2763000
#1996-02-20#,30.3637,30.7558,29.6354,30.0276,1443800
#1996-02-21#,30.0836,30.4757,29.9715,30.3077,2160000
#1996-02-22#,30.4197,30.6438,30.3637,30.6438,1783400
#1996-02-23#,30.7558,30.8679,30.0836,30.4757,1306200
#1996-02-26#,30.3637,30.4197,29.4674,29.6914,1170600
#1996-02-27#,29.8035,29.8035,29.1872,29.5234,1344200
#1996-02-28#,29.8595,30.0836,29.2433,29.5794,915600
#1996-02-29#,29.2433,29.6354,29.0192,29.6354,2172200
#1996-03-01#,29.7475,29.8595,28.9632,29.6354,1469400
#1996-03-04#,29.6354,29.8035,29.2993,29.4113,1140600
#1996-03-05#,29.3553,29.5234,29.1312,29.4674,1269600
#1996-03-06#,29.4674,29.7475,29.2993,29.2993,1242600
#1996-03-07#,29.2433,29.2433,28.9071,29.1312,905000
#1996-03-08#,28.571,28.7951,28.459,28.515,2137200
#1996-03-11#,28.459,29.1312,28.4029,28.6831,2073400
#1996-03-12#,28.459,28.571,27.4506,28.0668,2165600
#1996-03-13#,28.1228,28.1228,27.6747,27.8987,1599800
#1996-03-14#,27.7307,27.8427,27.3946,27.4506,1458000
#1996-03-15#,27.5066,27.8987,27.5066,27.5626,2480600
#1996-03-18#,27.8987,28.2349,27.7867,28.2349,2268800
#1996-03-19#,28.4029,28.627,28.1789,28.571,2934000
#1996-03-20#,28.6831,28.9632,28.515,28.9632,1242200
#1996-03-21#,28.9071,29.0752,28.6831,28.8511,952800
#1996-03-22#,28.9632,29.0192,28.7951,28.8511,641600
#1996-03-25#,28.9071,29.2993,28.6831,28.8511,995600
#1996-03-26#,28.8511,28.9071,28.6831,28.7951,1048400
#1996-03-27#,28.627,28.8511,28.4029,28.515,1014400
#1996-03-28#,28.4029,28.571,27.7307,27.8427,1620000
#1996-03-29#,28.0668,28.1789,27.6186,27.7307,1007800
#1996-04-01#,28.1228,28.4029,28.0108,28.2909,2365000
#1996-04-02#,28.2349,28.6831,28.1228,28.515,2105200
#1996-04-03#,28.4029,28.4029,27.9548,28.0668,1238600
#1996-04-04#,28.0108,28.0668,27.5626,27.7867,1116000
#1996-04-05#,28.0108,28.0668,27.5626,27.7867,1116000
#1996-04-08#,26.4422,27.0024,26.4422,26.9464,2400200
#1996-04-09#,26.9464,27.1144,26.7783,26.8904,1526200
#1996-04-10#,26.8904,27.6747,26.8343,27.4506,2018600
#1996-04-11#,27.3946,27.4506,26.6103,26.6663,1458800
#1996-04-12#,26.8343,27.3946,26.7223,27.3946,1475200
#1996-04-15#,27.3946,27.6186,27.2265,27.5066,809600
