"Date","Open","High","Low","Close","Volume"
#2019-01-01#,50.27,50.61,49.96,50.52,7797996
#2019-01-02#,49.78,50.97,49.5,50.78,9096305
#2019-01-03#,50.51,50.51,49.24,49.34,9833967
#2019-01-04#,50.14,51.48,50.06,51.28,8950618
#2019-01-07#,51.3,52.065,50.96,51.46,7468344
#2019-01-08#,51.71,52.08,51.42,52,10328615
#2019-01-09#,52.13,52.22,51.53,52.02,8125154
#2019-01-10#,51.65,52.51,51.6,52.48,8471371
#2019-01-11#,52.21,52.4,51.93,52.27,6186215
#2019-01-14#,51.81,52.15,51.55,51.87,11503238
#2019-01-15#,51.54,51.86,51.21,51.53,7547102
#2019-01-16#,51.54,52,51.46,51.73,13718673
#2019-01-17#,51.45,52.76,51.45,52.64,10205511
#2019-01-18#,53.08,53.76,52.93,53.51,8757425
#2019-01-21#,53.08,53.76,52.93,53.51,8757425
#2019-01-22#,53.26,53.35,52.46,52.77,7433445
#2019-01-23#,52.85,52.99,51.91,52.41,5704980
#2019-01-24#,52.12,52.45,51.9,52.13,5249672
#2019-01-25#,52.93,53.41,52.71,53.12,4916976
#2019-01-28#,52.74,53.08,52.58,53.04,5971989
#2019-01-29#,53.17,53.7399,53.17,53.59,8222997
#2019-01-30#,53.81,54.59,53.5901,54.16,7073290
#2019-01-31#,53,53.58,52.43,53.35,12475263
#2019-02-01#,53.32,53.635,53.08,53.51,5539469
#2019-02-04#,53.41,53.4675,53.0599,53.42,3557811
#2019-02-05#,53.54,53.94,53.51,53.81,4428865
#2019-02-06#,53.55,53.76,53.3915,53.49,4955033
#2019-02-07#,53.15,53.25,52.315,52.75,6367955
#2019-02-08#,52.46,52.71,52.03,52.7,4521382
#2019-02-11#,52.89,52.96,52.53,52.78,4158324
#2019-02-12#,53.27,54.03,53.12,53.96,10069829
#2019-02-13#,54.26,54.42,54.01,54.03,7347124
#2019-02-14#,53.78,54.14,53.6,53.75,4884989
#2019-02-15#,54.34,54.62,54.08,54.48,7647158
#2019-02-18#,54.34,54.62,54.08,54.48,7647158
#2019-02-19#,54.28,55.08,54.23,54.82,12264493
#2019-02-20#,54.92,56.1,54.84,55.76,11309283
#2019-02-21#,55.83,55.96,55.31,55.54,8551895
#2019-02-22#,55.82,55.95,55.58,55.78,4790764
#2019-02-25#,56.01,56.295,55.89,56.14,6187927
#2019-02-26#,56.01,56.18,55.8,55.82,6192295
#2019-02-27#,55.7,55.9,55.37,55.73,4631198
#2019-02-28#,55.67,55.72,54.93,55.05,8762524
#2019-03-01#,55.45,55.74,54.79,54.98,9841530
#2019-03-04#,55.1,55.455,54.39,55.23,7960375
#2019-03-05#,55.11,55.25,54.91,54.97,5231730
#2019-03-06#,55.13,55.48,55.01,55.09,4615534
#2019-03-07#,54.97,54.98,54.23,54.64,11961864
#2019-03-08#,54.35,54.77,54.06,54.73,7144551
#2019-03-11#,54.96,55.53,54.88,55.51,6857708
#2019-03-12#,55.59,56.04,55.59,55.72,7216143
#2019-03-13#,56.03,56.34,55.875,55.99,5518388
#2019-03-14#,55.83,55.95,55.44,55.57,5039791
#2019-03-15#,55.56,55.83,55.19,55.4,7259022
#2019-03-18#,55.44,55.61,55.11,55.53,4345470
#2019-03-19#,55.8,56.15,55.21,55.46,5271277
#2019-03-20#,55.43,55.7,54.88,55.41,11234984
#2019-03-21#,55.22,56.205,55.16,56,7959661
#2019-03-22#,55.51,55.52,54.23,54.33,9123744
#2019-03-25#,54.3,54.72,54.14,54.23,6562715
#2019-03-26#,54.59,54.73,54.17,54.56,5899772
#2019-03-27#,54.42,54.685,54.1,54.49,9782585
#2019-03-28#,54.57,55.045,54.55,55.02,4870911
#2019-03-29#,55.08,55.52,54.83,55.5,6327316
#2019-04-01#,55.89,56.41,55.815,56.33,6454300
#2019-04-02#,56.47,56.76,56.24,56.52,7112307
#2019-04-03#,56.98,57.62,56.81,57.26,17364483
#2019-04-04#,57.3,57.86,57.27,57.84,6102846
#2019-04-05#,57.85,58.05,57.65,57.82,3668642
#2019-04-08#,57.78,57.895,57.54,57.84,6574723
#2019-04-09#,57.6,57.68,57.25,57.42,6110767
#2019-04-10#,57.47,57.58,57.17,57.39,3797388
#2019-04-11#,57.37,57.57,57.2,57.36,3494571
#2019-04-12#,57.83,58.12,57.65,58.12,3608661
