"Date","Open","High","Low","Close","Volume"
#2016-01-01#,31.32,31.39,31.184,31.184,36795
#2016-01-04#,30.98,30.98,30.3612,30.46,1937
#2016-01-05#,30.93,31.383,30.93,31.383,1518
#2016-01-06#,30.82,31.1849,30.82,31.08,3724
#2016-01-07#,30.7208,30.7495,30.507,30.51,1547
#2016-01-08#,30.51,30.519,30.08,30.11,3993
#2016-01-11#,30.2899,30.2899,30.2899,30.2899,477
#2016-01-12#,30.04,30.11,29.96,29.96,2269
#2016-01-13#,30.24,30.29,29.65,29.65,3338
#2016-01-14#,29.8284,29.8284,29.5001,29.75,3706
#2016-01-15#,29.146,29.3,29.146,29.25,1414
#2016-01-18#,29.146,29.3,29.146,29.25,1414
#2016-01-19#,29.5099,29.5099,29.355,29.45,4705
#2016-01-20#,28.66,28.89,28.1199,28.66,4609
#2016-01-21#,28.88,28.88,28.88,28.88,101
#2016-01-22#,29.465,29.48,29.4574,29.48,330
#2016-01-25#,29.465,29.48,29.4574,29.48,153
#2016-01-26#,29.59,29.8559,29.59,29.7422,529
#2016-01-27#,29.48,29.48,29.48,29.48,930
#2016-01-28#,29.48,29.4899,29.16,29.16,1652
#2016-01-29#,29.01,29.2,29.01,29.19,553
#2016-02-01#,29.607,29.8101,29.607,29.81,744
#2016-02-02#,29.68,29.68,29.43,29.43,1094
#2016-02-03#,29.68,29.68,29.0465,29.46,3781
#2016-02-04#,29.4439,29.645,29.4439,29.6365,1506
#2016-02-05#,29.21,29.21,29.098,29.098,221
#2016-02-08#,28.1,28.1,27.556,27.556,718
#2016-02-09#,27.42,27.55,27.0707,27.34,1359
#2016-02-10#,27.92,27.92,27.92,27.92,293
#2016-02-11#,27.2999,27.2999,27.22,27.22,810
#2016-02-12#,27.22,27.5079,27.22,27.49,1823
#2016-02-15#,27.22,27.5079,27.22,27.49,1823
#2016-02-16#,27.22,27.5079,27.22,27.49,17
#2016-02-17#,28.4,28.45,28.328,28.35,2640
#2016-02-18#,28.4808,28.7,28.4808,28.7,3898
#2016-02-19#,28.66,28.66,28.66,28.66,200
#2016-02-22#,29.1,29.1552,29.075,29.1,827
#2016-02-23#,28.95,28.95,28.95,28.95,328
#2016-02-24#,28.919,28.974,28.91,28.974,751
#2016-02-25#,29.16,29.16,29.16,29.16,125
#2016-02-26#,29.5,29.505,29.37,29.37,2504
#2016-02-29#,29.627,29.65,29.33,29.33,732
#2016-03-01#,29.8,30.04,29.79,30.03,951
